,what,type,of,assistance,to,out,of,town,students,is,the,muslim,brotherhood,known,for,?
islamist,0.17762082815170288,0.09872180223464966,0.19512814283370972,0.22826701402664185,0.1878976970911026,0.2261262834072113,0.19512814283370972,0.12562571465969086,0.23037366569042206,0.16276392340660095,0.2459319531917572,0.6390535831451416,0.427336186170578,0.1306268274784088,0.11837603896856308,0.14697067439556122
movements,0.23197974264621735,0.14660808444023132,0.24170123040676117,0.210544154047966,0.278380423784256,0.19923216104507446,0.24170123040676117,0.08411742001771927,0.17104531824588776,0.1564955711364746,0.31594985723495483,0.2667117714881897,0.30064424872398376,0.16895659267902374,0.19706670939922333,0.1501890867948532
such,0.23989605903625488,0.2636772096157074,0.3209529519081116,0.20169901847839355,0.2871878743171692,0.2411147654056549,0.3209529519081116,0.09015920758247375,0.19131532311439514,0.23545363545417786,0.3575236201286316,0.16065463423728943,0.22414007782936096,0.30818676948547363,0.36098620295524597,0.17851735651493073
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.284326434135437,0.42092081904411316,0.3124499022960663,0.3886612355709076,0.17528915405273438,0.2101105898618698,0.43216490745544434,0.48381632566452026,0.22233983874320984,0.22813482582569122,0.4815765619277954,0.44774648547172546,0.27043893933296204
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.19771957397460938,0.535392165184021,0.39404502511024475,0.733189046382904,0.2974243760108948,0.25268980860710144,0.5823672413825989,1.0,0.28099653124809265,0.2368839830160141,0.3624623417854309,0.4739971458911896,0.22068053483963013
muslim,0.2631456255912781,0.01690736971795559,0.267849862575531,0.17709414660930634,0.2551989257335663,0.20520347356796265,0.267849862575531,0.16239890456199646,0.28376346826553345,0.18165594339370728,0.28099653124809265,1.0,0.41785529255867004,0.169891819357872,0.21262682974338531,0.17456822097301483
brotherhood,0.168807253241539,0.046130966395139694,0.2067413628101349,0.20535360276699066,0.21977385878562927,0.19660624861717224,0.2067413628101349,0.1770368069410324,0.18218059837818146,0.16092538833618164,0.2368839830160141,0.41785529255867004,0.9999998807907104,0.16414982080459595,0.21096177399158478,0.1117945984005928
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.26452720165252686,0.44245919585227966,0.3161109685897827,0.4946078956127167,0.27598801255226135,0.26501646637916565,0.4691906273365021,0.4933079481124878,0.21974200010299683,0.21324464678764343,0.3604377806186676,0.4464869201183319,0.31091248989105225
``,0.008517155423760414,0.03534303233027458,0.06780257821083069,0.0692327618598938,0.06720756739377975,0.024644849821925163,0.06780257821083069,-0.044438961893320084,-0.0182420052587986,0.058766357600688934,0.029072100296616554,0.1470780074596405,-0.030100610107183456,0.00922766886651516,0.01270448137074709,0.0685480609536171
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.13998980820178986,0.3504326641559601,0.31390950083732605,0.39081433415412903,0.18265709280967712,0.2835792899131775,0.5330929756164551,0.40399202704429626,0.19271345436573029,0.19225813448429108,0.26720109581947327,0.3895993232727051,0.24591213464736938
well,0.4154493808746338,0.18039114773273468,0.3343164324760437,0.19391417503356934,0.3422003388404846,0.30654069781303406,0.3343164324760437,0.21466368436813354,0.23191611468791962,0.33406564593315125,0.42630070447921753,0.21200791001319885,0.1805972158908844,0.5025942921638489,0.46352139115333557,0.24815571308135986
known,0.20381177961826324,0.15942366421222687,0.35814476013183594,0.0505274161696434,0.14337651431560516,0.17213989794254303,0.35814476013183594,0.1841980218887329,0.10616770386695862,0.41921812295913696,0.3624623417854309,0.169891819357872,0.16414982080459595,1.0,0.363901823759079,0.18314571678638458
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.334347665309906,0.4451248347759247,0.3312093913555145,0.4185989499092102,0.13830983638763428,0.2460945099592209,0.43268078565597534,0.4739971458911896,0.21262682974338531,0.21096177399158478,0.363901823759079,0.9999999403953552,0.264628142118454
providing,0.21766136586666107,0.20639026165008545,0.24403119087219238,0.407698392868042,0.3326144516468048,0.19188353419303894,0.24403119087219238,0.07267648726701736,0.23267726600170135,0.27256250381469727,0.29839932918548584,0.16536299884319305,0.23995248973369598,0.21859154105186462,0.44196924567222595,0.1936793476343155
shelters,0.2443581372499466,0.17270053923130035,0.2133859097957611,0.23518642783164978,0.33303797245025635,0.34794846177101135,0.2133859097957611,0.2326231747865677,0.2622382938861847,0.1740807294845581,0.23867706954479218,0.20070497691631317,0.2249099165201187,0.1186286211013794,0.28092360496520996,0.16473335027694702
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.26452720165252686,0.44245919585227966,0.3161109685897827,0.4946078956127167,0.27598801255226135,0.26501646637916565,0.4691906273365021,0.4933079481124878,0.21974200010299683,0.21324464678764343,0.3604377806186676,0.4464869201183319,0.31091248989105225
educational,0.2158561795949936,0.11696594953536987,0.3187834620475769,0.31671351194381714,0.28994840383529663,0.13773207366466522,0.3187834620475769,0.1919197291135788,0.5271042585372925,0.22074756026268005,0.22737358510494232,0.24978484213352203,0.24282754957675934,0.14321914315223694,0.36321696639060974,0.20904642343521118
assistance,0.21387380361557007,0.08496265113353729,0.17943856120109558,1.0,0.30718302726745605,0.17775839567184448,0.17943856120109558,0.08936658501625061,0.2888839542865753,0.09867464005947113,0.19771957397460938,0.17709414660930634,0.20535360276699066,0.0505274161696434,0.334347665309906,0.14602699875831604
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.26452720165252686,0.44245919585227966,0.3161109685897827,0.4946078956127167,0.27598801255226135,0.26501646637916565,0.4691906273365021,0.4933079481124878,0.21974200010299683,0.21324464678764343,0.3604377806186676,0.4464869201183319,0.31091248989105225
free,0.22754132747650146,0.15372367203235626,0.2430545836687088,0.21990688145160675,0.2913753390312195,0.27553415298461914,0.2430545836687088,0.1696905642747879,0.2023717761039734,0.2297741025686264,0.22231732308864594,0.13522514700889587,0.13829518854618073,0.11794646829366684,0.2585347890853882,0.1278279572725296
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.1820240318775177,0.38921234011650085,0.30417007207870483,0.3792596757411957,0.18150269985198975,0.21765491366386414,0.41870999336242676,0.4174870550632477,0.24162378907203674,0.20390009880065918,0.2710355222225189,0.4111599624156952,0.32389625906944275
low,0.20743566751480103,0.22739683091640472,0.27171993255615234,0.16100376844406128,0.2700593173503876,0.2749064862728119,0.27171993255615234,0.11196041107177734,0.17957350611686707,0.19289205968379974,0.2544175982475281,0.14820411801338196,0.10079549252986908,0.15081697702407837,0.19718985259532928,0.10658930987119675
cost,0.210266575217247,0.18680182099342346,0.23332229256629944,0.24191728234291077,0.2525014281272888,0.21951156854629517,0.23332229256629944,0.14494112133979797,0.22927215695381165,0.21065181493759155,0.23177006840705872,0.15374961495399475,0.09796439111232758,0.11226432770490646,0.2728281319141388,0.17823095619678497
medical,0.2389855533838272,0.053759947419166565,0.2826511859893799,0.26820358633995056,0.2909846603870392,0.23496414721012115,0.2826511859893799,0.14679589867591858,0.344492644071579,0.22198186814785004,0.2398311346769333,0.24885132908821106,0.17228449881076813,0.11405614018440247,0.27440404891967773,0.13234087824821472
clinics,0.20099933445453644,0.09214433282613754,0.21459344029426575,0.29990261793136597,0.2743690609931946,0.18343253433704376,0.21459344029426575,0.21219415962696075,0.38130703568458557,0.14037863910198212,0.21555426716804504,0.18208014965057373,0.1874091476202011,0.07474756240844727,0.2700153887271881,0.14777065813541412
