,what,school,did,he,enroll,in,during,1875,?
in,0.30808621644973755,0.26157811284065247,0.2593238651752472,0.41690486669540405,0.23368561267852783,1.0,0.4627237319946289,0.11490650475025177,0.20430970191955566
1875,0.12304215133190155,0.08720116317272186,0.15116965770721436,0.2481701821088791,0.06545887887477875,0.11490650475025177,0.17775173485279083,0.9999998807907104,0.22339659929275513
",",0.3087472915649414,0.27141863107681274,0.3015086054801941,0.40251094102859497,0.2468680739402771,0.5201468467712402,0.3225448727607727,0.20786653459072113,0.31091248989105225
tesla,0.23221199214458466,0.16295383870601654,0.09757418930530548,0.12373391538858414,0.2087692767381668,0.17097744345664978,0.08954931050539017,0.151961088180542,0.10250775516033173
enrolled,0.1339339166879654,0.5187698006629944,0.23432742059230804,0.27591267228126526,0.846315324306488,0.27873459458351135,0.24958191812038422,0.016984019428491592,0.09043214470148087
at,0.2838611304759979,0.3177914023399353,0.28390252590179443,0.3280475437641144,0.32266765832901,0.4374977946281433,0.372769296169281,0.17460308969020844,0.21978627145290375
austrian,0.1206708550453186,0.13088908791542053,0.1650308519601822,0.24147650599479675,0.15637090802192688,0.16418905556201935,0.1555248498916626,0.08096367865800858,0.10452693700790405
polytechnic,0.1455845832824707,0.4273337423801422,0.15189918875694275,0.27343228459358215,0.5162185430526733,0.30881479382514954,0.18952736258506775,0.07359111309051514,0.13763803243637085
in,0.30808621644973755,0.26157811284065247,0.2593238651752472,0.41690486669540405,0.23368561267852783,1.0,0.4627237319946289,0.11490650475025177,0.20430970191955566
graz,0.1652703881263733,0.1791027933359146,0.15470579266548157,0.25371554493904114,0.20714189112186432,0.25709354877471924,0.14573873579502106,0.14164602756500244,0.19033589959144592
",",0.3087472915649414,0.27141863107681274,0.3015086054801941,0.40251094102859497,0.2468680739402771,0.5201468467712402,0.3225448727607727,0.20786653459072113,0.31091248989105225
austria,0.15969835221767426,0.13598336279392242,0.1684301197528839,0.22138181328773499,0.17273272573947906,0.24159443378448486,0.17956459522247314,0.19115447998046875,0.16068434715270996
",",0.3087472915649414,0.27141863107681274,0.3015086054801941,0.40251094102859497,0.2468680739402771,0.5201468467712402,0.3225448727607727,0.20786653459072113,0.31091248989105225
on,0.34226128458976746,0.2388053983449936,0.2670976221561432,0.32403138279914856,0.17768357694149017,0.46853652596473694,0.3347817361354828,0.1479647010564804,0.2714994251728058
a,0.3320399522781372,0.2245093584060669,0.2552328109741211,0.4393508732318878,0.1912536919116974,0.539380669593811,0.30341604351997375,0.1875966191291809,0.23916715383529663
military,0.18809624016284943,0.17106835544109344,0.17979979515075684,0.2672775089740753,0.23226407170295715,0.2402431070804596,0.3392038345336914,0.17926956713199615,0.1890317052602768
frontier,0.23734928667545319,0.14717677235603333,0.20067201554775238,0.22232800722122192,0.08354136347770691,0.2864285707473755,0.19484668970108032,-0.02236810326576233,0.13416144251823425
scholarship,0.18312285840511322,0.5013362169265747,0.30774229764938354,0.39414724707603455,0.5134921669960022,0.19075782597064972,0.20062559843063354,0.13565035164356232,0.07760601490736008
.,0.3567904531955719,0.24214158952236176,0.35288307070732117,0.38061028718948364,0.22353823482990265,0.5591574311256409,0.3485563397407532,0.17069615423679352,0.4130953550338745
