,what,was,diverted,and,now,flows,parallel,to,the,rhine,?
the,0.42745697498321533,0.48711544275283813,0.32217684388160706,0.5171257257461548,0.38266420364379883,0.32405155897140503,0.26065152883529663,0.535392165184021,1.0,0.30735138058662415,0.22068053483963013
dornbirner,0.2332295924425125,0.30737024545669556,0.2027081698179245,0.3496124744415283,0.26686862111091614,0.2629363536834717,0.14154043793678284,0.2258068472146988,0.3647852838039398,0.4167715013027191,0.23942972719669342
ach,0.09060277789831161,0.0821913629770279,0.05692531168460846,0.10461204499006271,0.05583269149065018,0.1361481249332428,0.09871039539575577,0.12273503094911575,0.1773579716682434,0.3441009819507599,0.2080359309911728
had,0.23849567770957947,0.5927209258079529,0.30001580715179443,0.3872550129890442,0.2785375118255615,0.09952066838741302,0.1505124270915985,0.37984350323677063,0.3875846862792969,0.17234164476394653,0.20728366076946259
to,0.455847829580307,0.3636345863342285,0.2756052613258362,0.48971283435821533,0.3925153911113739,0.20357775688171387,0.23975737392902374,1.0,0.535392165184021,0.1736302673816681,0.29463258385658264
be,0.3929833769798279,0.42228707671165466,0.2081296741962433,0.41766801476478577,0.30492115020751953,0.1673511117696762,0.1880277842283249,0.4972836375236511,0.4248143136501312,0.18054811656475067,0.3324260413646698
diverted,0.15211139619350433,0.2335870862007141,1.0,0.2615058124065399,0.2054540514945984,0.2776777744293213,0.2329758256673813,0.2756052613258362,0.32217684388160706,0.15865196287631989,0.03732670471072197
",",0.3087472915649414,0.45456063747406006,0.22100278735160828,0.6633074283599854,0.43216821551322937,0.2638954818248749,0.1709916889667511,0.44245919585227966,0.4933079481124878,0.167837992310524,0.31091248989105225
too,0.4120715260505676,0.21435821056365967,0.17121630907058716,0.36207282543182373,0.2811509966850281,0.15221287310123444,0.10721459984779358,0.37087053060531616,0.26985910534858704,0.11362576484680176,0.33757779002189636
",",0.3087472915649414,0.45456063747406006,0.22100278735160828,0.6633074283599854,0.43216821551322937,0.2638954818248749,0.1709916889667511,0.44245919585227966,0.4933079481124878,0.167837992310524,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.2615058124065399,1.0,0.35309651494026184,0.2396772801876068,0.27974793314933777,0.48971283435821533,0.5171257257461548,0.22029656171798706,0.20544172823429108
it,0.45803478360176086,0.4577186405658722,0.2575187683105469,0.40957894921302795,0.4382702112197876,0.30584630370140076,0.2007622867822647,0.513711154460907,0.6251175999641418,0.17693428695201874,0.25732165575027466
now,0.4903225302696228,0.35876134037971497,0.2054540514945984,0.35309651494026184,1.0,0.19282157719135284,0.18047194182872772,0.3925153911113739,0.38266420364379883,0.19940665364265442,0.29641881585121155
flows,0.14294633269309998,0.16089467704296112,0.2776777744293213,0.2396772801876068,0.19282157719135284,1.0,0.29918745160102844,0.20357775688171387,0.32405155897140503,0.2871347963809967,0.11636040359735489
parallel,0.23414644598960876,0.11252431571483612,0.2329758256673813,0.27974793314933777,0.18047194182872772,0.29918745160102844,1.0000001192092896,0.23975737392902374,0.26065152883529663,0.15285873413085938,0.13566309213638306
to,0.455847829580307,0.3636345863342285,0.2756052613258362,0.48971283435821533,0.3925153911113739,0.20357775688171387,0.23975737392902374,1.0,0.535392165184021,0.1736302673816681,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,0.32217684388160706,0.5171257257461548,0.38266420364379883,0.32405155897140503,0.26065152883529663,0.535392165184021,1.0,0.30735138058662415,0.22068053483963013
canalized,0.1253306120634079,0.32226210832595825,0.34545275568962097,0.2797803580760956,0.15353691577911377,0.22056420147418976,0.22888420522212982,0.20678704977035522,0.25636258721351624,0.18137802183628082,0.09231747686862946
rhine,0.16475653648376465,0.18681856989860535,0.15865196287631989,0.22029656171798706,0.19940665364265442,0.2871347963809967,0.15285873413085938,0.1736302673816681,0.30735138058662415,1.0,0.13754533231258392
into,0.2180619090795517,0.2322220653295517,0.34844711422920227,0.36597734689712524,0.21851246058940887,0.33567726612091064,0.2808496654033661,0.38810545206069946,0.39493247866630554,0.1991104632616043,0.15662476420402527
the,0.42745697498321533,0.48711544275283813,0.32217684388160706,0.5171257257461548,0.38266420364379883,0.32405155897140503,0.26065152883529663,0.535392165184021,1.0,0.30735138058662415,0.22068053483963013
lake,0.17778855562210083,0.1820499300956726,0.27910399436950684,0.234501451253891,0.18202108144760132,0.4263954162597656,0.11332079768180847,0.16680742800235748,0.24325428903102875,0.22246339917182922,0.07226386666297913
.,0.3567904531955719,0.40146201848983765,0.19949649274349213,0.588965117931366,0.36271902918815613,0.19567762315273285,0.1835920661687851,0.4645031690597534,0.5934505462646484,0.2089352011680603,0.4130953550338745
,what,was,diverted,and,now,flows,parallel,to,the,rhine,?
a,0.3320399522781372,0.4508470594882965,0.23599012196063995,0.3739250600337982,0.3046339154243469,0.1886882185935974,0.19879595935344696,0.45503583550453186,0.5829201340675354,0.1823403388261795,0.23916715383529663
regulation,0.24804432690143585,0.1876436173915863,0.27806809544563293,0.2633853554725647,0.16969242691993713,0.16432923078536987,0.18121089041233063,0.2733672261238098,0.33589670062065125,0.16062843799591064,0.1690916270017624
of,0.33290785551071167,0.4069072902202606,0.27397313714027405,0.5116966962814331,0.29182544350624084,0.25574392080307007,0.23076768219470978,0.41548454761505127,0.733189046382904,0.2548927664756775,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.32217684388160706,0.5171257257461548,0.38266420364379883,0.32405155897140503,0.26065152883529663,0.535392165184021,1.0,0.30735138058662415,0.22068053483963013
