,reduction,essentially,takes,one,problem,and,converts,into,what,?
a,0.2845925986766815,0.2457367330789566,0.3491862416267395,0.4910551905632019,0.2605542540550232,0.3739250600337982,0.2731170654296875,0.3461161255836487,0.3320399522781372,0.23916715383529663
reduction,0.9999998807907104,0.2958472967147827,0.18019093573093414,0.16758866608142853,0.3494492769241333,0.23248422145843506,0.3133907914161682,0.16554443538188934,0.19884426891803741,0.1612403839826584
is,0.2509012222290039,0.2786000370979309,0.4061736762523651,0.4544198513031006,0.23238427937030792,0.3859752118587494,0.2698267996311188,0.2619607150554657,0.28837618231773376,0.22961433231830597
a,0.2845925986766815,0.2457367330789566,0.3491862416267395,0.4910551905632019,0.2605542540550232,0.3739250600337982,0.2731170654296875,0.3461161255836487,0.3320399522781372,0.23916715383529663
transformation,0.36617469787597656,0.26170796155929565,0.25724437832832336,0.23418983817100525,0.27452337741851807,0.25589001178741455,0.36227235198020935,0.2890995442867279,0.20859107375144958,0.13030986487865448
of,0.2803387939929962,0.2832449674606323,0.3277401030063629,0.4999135136604309,0.20464475452899933,0.5116966962814331,0.2327413707971573,0.32255905866622925,0.33290785551071167,0.1826142966747284
one,0.16758866608142853,0.28488534688949585,0.27319440245628357,1.0000001192092896,0.36451512575149536,0.42438167333602905,0.14334413409233093,0.31758198142051697,0.376489520072937,0.2673267424106598
problem,0.3494492769241333,0.31843146681785583,0.16218292713165283,0.36451512575149536,1.0,0.24328261613845825,0.18477502465248108,0.19509464502334595,0.42183366417884827,0.3762950301170349
into,0.16554443538188934,0.2146359235048294,0.2799944579601288,0.31758198142051697,0.19509464502334595,0.36597734689712524,0.32070451974868774,1.0,0.2180619090795517,0.15662476420402527
another,0.24333348870277405,0.2665601372718811,0.335077702999115,0.5444791913032532,0.279262900352478,0.3214244842529297,0.2438797503709793,0.3257308304309845,0.4190070629119873,0.295511931180954
problem,0.3494492769241333,0.31843146681785583,0.16218292713165283,0.36451512575149536,1.0,0.24328261613845825,0.18477502465248108,0.19509464502334595,0.42183366417884827,0.3762950301170349
.,0.23716990649700165,0.24001358449459076,0.23161891102790833,0.4123194217681885,0.22562150657176971,0.588965117931366,0.2557343542575836,0.26250120997428894,0.3567904531955719,0.4130953550338745
