,who,designed,the,scottish,parliament,building,?
the,0.3733934462070465,0.2559613883495331,1.0,0.21724988520145416,0.26521381735801697,0.3159640431404114,0.22068053483963013
scottish,0.27621203660964966,0.15509240329265594,0.21724988520145416,1.0000001192092896,0.3418616056442261,0.07771513611078262,0.06442669779062271
parliament,0.237068772315979,0.17673532664775848,0.26521381735801697,0.3418616056442261,1.0,0.25232768058776855,0.1586504578590393
building,0.19264253973960876,0.43736663460731506,0.3159640431404114,0.07771513611078262,0.25232768058776855,0.9999998807907104,0.13549931347370148
was,0.3318818509578705,0.28384989500045776,0.48711544275283813,0.20229777693748474,0.24742799997329712,0.237406387925148,0.18412111699581146
designed,0.21097040176391602,1.0,0.2559613883495331,0.15509240329265594,0.17673532664775848,0.43736663460731506,0.11213942617177963
by,0.39727845788002014,0.29250532388687134,0.4408751428127289,0.1562303602695465,0.1523929238319397,0.20441755652427673,0.17966607213020325
spanish,0.2404279112815857,0.11334126442670822,0.23213517665863037,0.2999785840511322,0.1417817771434784,0.11624458432197571,0.14750491082668304
architect,0.23530325293540955,0.553325355052948,0.13209693133831024,0.1600172072649002,0.2569958567619324,0.495442271232605,0.11996878683567047
enric,0.17231135070323944,0.09762026369571686,0.17361262440681458,0.08098899573087692,0.12179320305585861,0.16871608793735504,0.10173088312149048
miralles,0.1342553347349167,0.2452724277973175,0.2997525632381439,0.21507734060287476,0.14445705711841583,0.2217377871274948,0.06781956553459167
in,0.2792111933231354,0.22657902538776398,0.6662389636039734,0.16512006521224976,0.2323146015405655,0.3256937265396118,0.20430970191955566
partnership,0.15967722237110138,0.23297414183616638,0.18397779762744904,0.14125195145606995,0.20919446647167206,0.24886652827262878,0.10106698423624039
with,0.3282766342163086,0.21504513919353485,0.4223487675189972,0.20394033193588257,0.14422082901000977,0.1992759108543396,0.2433311939239502
local,0.20416545867919922,0.055234722793102264,0.2130540907382965,0.22555412352085114,0.21984748542308807,0.1623985916376114,0.15022775530815125
edinburgh,0.17130666971206665,0.16389352083206177,0.2266589254140854,0.5118322372436523,0.3362952172756195,0.19851650297641754,0.09266204386949539
architecture,0.12630945444107056,0.4611009955406189,0.24488379061222076,0.08661402016878128,0.23772135376930237,0.4623510539531708,0.14343059062957764
firm,0.18949908018112183,0.21383458375930786,0.185079887509346,0.2229299247264862,0.20218534767627716,0.3072126805782318,0.08762375265359879
rmjm,0.18396064639091492,0.21339508891105652,0.33288803696632385,0.2101292461156845,0.3397068679332733,0.35136112570762634,0.28740260004997253
which,0.3688730001449585,0.3073212206363678,0.6521818041801453,0.21085049211978912,0.20252443850040436,0.3029557466506958,0.25814583897590637
was,0.3318818509578705,0.28384989500045776,0.48711544275283813,0.20229777693748474,0.24742799997329712,0.237406387925148,0.18412111699581146
led,0.2450801581144333,0.15929670631885529,0.3267505168914795,0.1789214015007019,0.21582263708114624,0.1760225147008896,0.09273858368396759
by,0.39727845788002014,0.29250532388687134,0.4408751428127289,0.1562303602695465,0.1523929238319397,0.20441755652427673,0.17966607213020325
design,0.12787467241287231,0.7167810201644897,0.27913451194763184,0.10155238956212997,0.16071785986423492,0.39918890595436096,0.16351860761642456
principal,0.22329075634479523,0.18498826026916504,0.23882900178432465,0.10103611648082733,0.12936361134052277,0.18320856988430023,0.10016445070505142
tony,0.23188938200473785,0.14944423735141754,0.20786435902118683,0.19843988120555878,0.16930407285690308,0.17654988169670105,0.08139519393444061
kettle,0.170678973197937,0.20058807730674744,0.2630085051059723,0.2237326055765152,0.1745622158050537,0.19869379699230194,0.20387370884418488
.,0.3541337847709656,0.24422594904899597,0.5934505462646484,0.20125295221805573,0.23747818171977997,0.275610089302063,0.4130953550338745
