,which,area,is,responsible,for,the,long-term,preservation,of,the,v,&,a,collections,?
conservation,0.29743874073028564,0.31246376037597656,0.24397225677967072,0.3026062846183777,0.2528684437274933,0.2678036689758301,0.2848275303840637,0.6232448816299438,0.2804107666015625,0.2678036689758301,0.10194364190101624,0.20546069741249084,0.2068130075931549,0.31775611639022827,0.1391831338405609
is,0.4457404911518097,0.29283958673477173,1.0,0.24123810231685638,0.43268078565597534,0.5823672413825989,0.28928178548812866,0.27155834436416626,0.4854315221309662,0.5823672413825989,0.16126930713653564,0.08384179323911667,0.658733606338501,0.20405815541744232,0.22961433231830597
responsible,0.2860240638256073,0.21886445581912994,0.24123810231685638,1.0,0.35061514377593994,0.3305104374885559,0.2651933431625366,0.21643301844596863,0.37070101499557495,0.3305104374885559,0.09038145840167999,0.11143627762794495,0.22119273245334625,0.1783284842967987,0.11367333680391312
for,0.44095608592033386,0.20941852033138275,0.43268078565597534,0.35061514377593994,0.9999999403953552,0.4739971458911896,0.3234831392765045,0.297249436378479,0.4185989499092102,0.4739971458911896,0.13933385908603668,0.15479104220867157,0.44038116931915283,0.25632959604263306,0.264628142118454
the,0.6521818041801453,0.37834644317626953,0.5823672413825989,0.3305104374885559,0.4739971458911896,1.0,0.3756130039691925,0.30309581756591797,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.27174001932144165,0.22068053483963013
long-term,0.38058748841285706,0.2866801619529724,0.28928178548812866,0.2651933431625366,0.3234831392765045,0.3756130039691925,1.0,0.2664813697338104,0.341103732585907,0.3756130039691925,0.24838048219680786,0.16729022562503815,0.3568371832370758,0.2490137368440628,0.2383396476507187
preservation,0.30341291427612305,0.25450584292411804,0.27155834436416626,0.21643301844596863,0.297249436378479,0.30309581756591797,0.2664813697338104,1.0,0.26127341389656067,0.30309581756591797,0.10227160155773163,0.17406514286994934,0.2140544354915619,0.3447291851043701,0.1127895936369896
of,0.5011631846427917,0.3409860134124756,0.4854315221309662,0.37070101499557495,0.4185989499092102,0.733189046382904,0.341103732585907,0.26127341389656067,1.0,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.3185039758682251,0.1826142966747284
the,0.6521818041801453,0.37834644317626953,0.5823672413825989,0.3305104374885559,0.4739971458911896,1.0,0.3756130039691925,0.30309581756591797,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.27174001932144165,0.22068053483963013
collections,0.319350928068161,0.1916758120059967,0.20405815541744232,0.1783284842967987,0.25632959604263306,0.27174001932144165,0.2490137368440628,0.3447291851043701,0.3185039758682251,0.27174001932144165,0.09366906434297562,0.163213849067688,0.2494979351758957,0.9999998807907104,0.1873358190059662
",",0.3658004403114319,0.2664283812046051,0.4691906273365021,0.2192283272743225,0.4464869201183319,0.4933079481124878,0.3221086859703064,0.19550389051437378,0.4946078956127167,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2696824073791504,0.31091248989105225
