,when,did,the,three,advocate,generals,argue,that,directives,should,create,rights,and,duties,for,all,citizens,?
this,0.4959332048892975,0.3609912693500519,0.6274310946464539,0.29207751154899597,0.19187036156654358,0.20945905148983002,0.32538846135139465,0.6909449696540833,0.2267606109380722,0.5047021508216858,0.3550630211830139,0.2537098526954651,0.42353692650794983,0.2229623943567276,0.5082864165306091,0.4746263027191162,0.21771518886089325,0.3155723512172699
view,0.09865177422761917,0.15928705036640167,0.25610461831092834,0.12474758177995682,0.1774093210697174,0.13582879304885864,0.24740494787693024,0.23331132531166077,0.15242823958396912,0.2212974578142166,0.21643684804439545,0.1962769776582718,0.19056165218353271,0.09095382690429688,0.1212775781750679,0.1497291922569275,0.09089779108762741,0.17672975361347198
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.2748996615409851,0.24468748271465302,0.25550490617752075,0.11208320409059525,0.33670201897621155,0.07733458280563354,0.2850143015384674,0.17767828702926636,0.19272007048130035,0.3740963041782379,0.22817759215831757,0.3863949179649353,0.23179835081100464,0.2462056279182434,0.18412111699581146
instantly,0.5102506875991821,0.24793271720409393,0.2605641186237335,0.19127021729946136,0.1901111751794815,0.146412193775177,0.26920434832572937,0.46096086502075195,0.18134447932243347,0.3007131814956665,0.2733941972255707,0.12851294875144958,0.3039260804653168,0.18939939141273499,0.24511529505252838,0.3787480592727661,0.08276815712451935,0.2039671391248703
controversial,0.21005891263484955,0.3247120976448059,0.275572806596756,0.11733179539442062,0.2607811689376831,0.23862367868423462,0.368354856967926,0.3362289071083069,0.1708175539970398,0.34017491340637207,0.21494248509407043,0.28439217805862427,0.2694108784198761,0.17075209319591522,0.2730811834335327,0.25965461134910583,0.2516990303993225,0.2903842329978943
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.3347506821155548,0.26894113421440125,0.28962698578834534,0.2622731626033783,0.4137537479400635,0.21439220011234283,0.2706286907196045,0.2240353375673294,0.2595706284046173,0.6633074283599854,0.2217356413602829,0.4464869201183319,0.425624817609787,0.2264837771654129,0.31091248989105225
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.3826501965522766,0.26004573702812195,0.29397696256637573,0.27943217754364014,0.4731321930885315,0.2758203446865082,0.27632346749305725,0.290901243686676,0.26346641778945923,1.0,0.2645578980445862,0.5064792633056641,0.4542157053947449,0.23546771705150604,0.20544172823429108
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.34828072786331177,0.16992348432540894,0.24585305154323578,0.15826316177845,0.435920387506485,0.13969795405864716,0.23054338991641998,0.21287982165813446,0.17772755026817322,0.4954058527946472,0.18334469199180603,0.4322226941585541,0.3335905969142914,0.28388577699661255,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,1.0,0.43452659249305725,0.16703304648399353,0.27897581458091736,0.20374833047389984,0.5473989248275757,0.24181346595287323,0.32399165630340576,0.25265660881996155,0.2579100430011749,0.5171257257461548,0.21765777468681335,0.4739971458911896,0.4860881567001343,0.29208630323410034,0.22068053483963013
early,0.32107013463974,0.32047218084335327,0.34442198276519775,0.2750471532344818,0.23803985118865967,0.19628478586673737,0.13424821197986603,0.29580917954444885,0.13303634524345398,0.20940783619880676,0.1158815249800682,0.2018417865037918,0.29847630858421326,0.14625583589076996,0.2892865538597107,0.2735491096973419,0.13925883173942566,0.15272949635982513
1990s,-0.031555335968732834,0.1284751147031784,-0.09473290294408798,-0.1587703377008438,0.07945622503757477,0.12011683732271194,0.1085459291934967,0.00461330683901906,-0.0248221755027771,0.0509798601269722,0.007728287484496832,0.025328781455755234,-0.1066596508026123,0.06477753818035126,0.0328381322324276,-0.005878851283341646,0.12925322353839874,0.11282819509506226
three,0.2820437252521515,0.2043166607618332,0.43452659249305725,1.0,0.07631473243236542,0.24599500000476837,0.10340197384357452,0.3407050371170044,0.1758822202682495,0.23072269558906555,0.13540557026863098,0.15377382934093475,0.3826501965522766,0.16021716594696045,0.3032672107219696,0.3989922106266022,0.1730351448059082,0.20928427577018738
advocate,0.1526903361082077,0.23110578954219818,0.16703304648399353,0.07631473243236542,1.0,0.23802269995212555,0.327389121055603,0.2249954491853714,0.2763563394546509,0.2479713410139084,0.3084196150302887,0.4140643775463104,0.26004573702812195,0.20095326006412506,0.27904030680656433,0.14949405193328857,0.30519774556159973,0.19954998791217804
generals,0.21572640538215637,0.26768800616264343,0.27897581458091736,0.24599500000476837,0.23802269995212555,0.9999998807907104,0.20119193196296692,0.2239207923412323,0.27031683921813965,0.2206031084060669,0.11327968537807465,0.16384780406951904,0.29397696256637573,0.27116119861602783,0.2179168462753296,0.2722330093383789,0.2946888208389282,0.16273394227027893
persuasively,0.32427722215652466,0.28517258167266846,0.2959863841533661,0.1615074872970581,0.3956852853298187,0.20176485180854797,0.3718758523464203,0.3822516202926636,0.20103901624679565,0.3938189744949341,0.2875232398509979,0.19505879282951355,0.30105656385421753,0.29201802611351013,0.28857123851776123,0.2745973467826843,0.23229578137397766,0.2394229918718338
argued,0.20793144404888153,0.40107595920562744,0.1919303685426712,0.13838890194892883,0.3165910542011261,0.2190011590719223,0.7120472192764282,0.3780103027820587,0.234453484416008,0.27005767822265625,0.18612581491470337,0.3549179434776306,0.2601248323917389,0.227090984582901,0.17865048348903656,0.17671097815036774,0.24131257832050323,0.18905270099639893
that,0.5860282182693481,0.47518548369407654,0.5473989248275757,0.3407050371170044,0.2249954491853714,0.2239207923412323,0.403499037027359,1.0,0.21149642765522003,0.4588061273097992,0.3917232155799866,0.251168817281723,0.4731321930885315,0.2366081327199936,0.4137635827064514,0.53305584192276,0.21861132979393005,0.32716336846351624
directives,0.16764435172080994,0.18963782489299774,0.24181346595287323,0.1758822202682495,0.2763563394546509,0.27031683921813965,0.19384784996509552,0.21149642765522003,1.0,0.25985926389694214,0.24280335009098053,0.1809644103050232,0.2758203446865082,0.2225194126367569,0.277942955493927,0.2716914713382721,0.2535865008831024,0.14184632897377014
should,0.356647253036499,0.3792380094528198,0.32399165630340576,0.23072269558906555,0.2479713410139084,0.2206031084060669,0.3745560944080353,0.4588061273097992,0.25985926389694214,0.9999999403953552,0.31214335560798645,0.24652911722660065,0.27632346749305725,0.2297130674123764,0.3225788176059723,0.3966715335845947,0.2156486213207245,0.4442402422428131
create,0.28369492292404175,0.275378555059433,0.25265660881996155,0.13540557026863098,0.3084196150302887,0.11327968537807465,0.28590887784957886,0.3917232155799866,0.24280335009098053,0.31214335560798645,1.0,0.18553480505943298,0.290901243686676,0.07227328419685364,0.2826802134513855,0.28288307785987854,0.10720370709896088,0.300167441368103
