,who,wanted,israel,to,withdraw,from,its,border,?
his,0.44966956973075867,0.3366564214229584,0.1737862378358841,0.3715193271636963,0.2781327962875366,0.3195365369319916,0.37344956398010254,0.15991175174713135,0.18075084686279297
successor,0.1692478209733963,0.20456959307193756,0.08437856286764145,0.11769062280654907,0.17025592923164368,0.02996283955872059,0.11039228737354279,0.11483524739742279,0.0913006067276001
",",0.3365725874900818,0.2753742039203644,0.22234781086444855,0.44245919585227966,0.25808754563331604,0.39760664105415344,0.33157986402511597,0.2548258304595947,0.31091248989105225
ted,0.22989284992218018,0.1672954261302948,0.16633562743663788,0.1345263123512268,0.13130366802215576,0.11597257107496262,0.03839127719402313,0.08077900111675262,0.19378185272216797
heath,0.12246173620223999,0.1748160868883133,0.15831239521503448,0.14943614602088928,0.07606843113899231,0.11871045082807541,0.06773023307323456,0.1306486874818802,0.06458259373903275
",",0.3365725874900818,0.2753742039203644,0.22234781086444855,0.44245919585227966,0.25808754563331604,0.39760664105415344,0.33157986402511597,0.2548258304595947,0.31091248989105225
reversed,0.17968901991844177,0.19935065507888794,0.05108742415904999,0.30425772070884705,0.21515461802482605,0.26468637585639954,0.20958790183067322,0.13419267535209656,0.17802467942237854
this,0.3345087468624115,0.3329048752784729,0.18275679647922516,0.5759071707725525,0.3395462930202484,0.3469814360141754,0.43815311789512634,0.21954797208309174,0.3155723512172699
policy,0.2482086420059204,0.2533014416694641,0.2297859787940979,0.26804789900779724,0.2956291437149048,0.18396732211112976,0.17607158422470093,0.2212585210800171,0.30462446808815
in,0.2792111933231354,0.2556442320346832,0.2300325185060501,0.45010748505592346,0.19440212845802307,0.4274188280105591,0.3793783485889435,0.28533756732940674,0.20430970191955566
1970,-0.0008222789620049298,-0.013362490572035313,-0.07946858555078506,-0.011698837392032146,0.0009049000800587237,0.06921201199293137,-0.022174492478370667,0.015945853665471077,-0.007446378003805876
",",0.3365725874900818,0.2753742039203644,0.22234781086444855,0.44245919585227966,0.25808754563331604,0.39760664105415344,0.33157986402511597,0.2548258304595947,0.31091248989105225
calling,0.3120594024658203,0.24035970866680145,0.23643215000629425,0.2725794315338135,0.19958236813545227,0.1565229296684265,0.19550441205501556,0.12353818118572235,0.23612231016159058
for,0.37110671401023865,0.2874828279018402,0.21248173713684082,0.4451248347759247,0.23716863989830017,0.314039945602417,0.2992613911628723,0.14846977591514587,0.264628142118454
israel,0.16773265600204468,0.19853660464286804,0.9999999403953552,0.182975634932518,0.19242995977401733,0.15425781905651093,0.19701680541038513,0.1721334308385849,0.15015864372253418
to,0.42656609416007996,0.47293567657470703,0.182975634932518,1.0,0.29418426752090454,0.4069952368736267,0.3691340684890747,0.20692045986652374,0.29463258385658264
withdraw,0.17908671498298645,0.23803330957889557,0.19242995977401733,0.29418426752090454,1.0000001192092896,0.23920488357543945,0.2131270319223404,0.20441125333309174,0.19605658948421478
to,0.42656609416007996,0.47293567657470703,0.182975634932518,1.0,0.29418426752090454,0.4069952368736267,0.3691340684890747,0.20692045986652374,0.29463258385658264
its,0.1326070874929428,0.20386196672916412,0.19701680541038513,0.3691340684890747,0.2131270319223404,0.32706040143966675,1.0,0.23416835069656372,0.15103481709957123
pre-1967,0.1626974195241928,0.09284072369337082,0.09263958036899567,0.22600747644901276,0.07090353965759277,0.1496666520833969,0.24866493046283722,0.16251292824745178,0.21087875962257385
borders,0.09341493248939514,0.1334100067615509,0.17620468139648438,0.23774224519729614,0.24406857788562775,0.2433636486530304,0.3221983015537262,0.726163923740387,0.13029009103775024
.,0.3541337847709656,0.30680814385414124,0.2039981484413147,0.4645031690597534,0.1888546496629715,0.41536515951156616,0.3566088080406189,0.26349708437919617,0.4130953550338745
