,what,rank,does,doctor,who,hold,in,a,list,of,the,100,greatest,kids,',tv,shows,?
also,0.42747777700424194,0.19624380767345428,0.4118025600910187,0.2990783452987671,0.47919341921806335,0.33512040972709656,0.5073733329772949,0.5149940252304077,0.23146454989910126,0.4924938678741455,0.6021018624305725,0.11430111527442932,0.2592320442199707,0.225629985332489,0.4253612458705902,0.2558206617832184,0.3269520699977875,0.21848613023757935
",",0.3087472915649414,0.2213623821735382,0.28617382049560547,0.20407600700855255,0.3365725874900818,0.2803111970424652,0.5201468467712402,0.427140474319458,0.26581794023513794,0.4946078956127167,0.4933079481124878,0.10963409394025803,0.21757464110851288,0.2561202347278595,0.5178600549697876,0.2778550088405609,0.26986414194107056,0.31091248989105225
in,0.30808621644973755,0.20269498229026794,0.214483380317688,0.25567495822906494,0.2792111933231354,0.2667064666748047,1.0,0.539380669593811,0.2799903452396393,0.5696388483047485,0.6662389636039734,0.10141821950674057,0.22416065633296967,0.1676097959280014,0.4158826768398285,0.17989183962345123,0.3289647698402405,0.20430970191955566
the,0.42745697498321533,0.2690342664718628,0.35928019881248474,0.2820442318916321,0.3733934462070465,0.3067915439605713,0.6662389636039734,0.5829201340675354,0.2863321602344513,0.733189046382904,1.0,0.16408909857273102,0.2877289056777954,0.18819834291934967,0.474788099527359,0.20034731924533844,0.36348509788513184,0.22068053483963013
100,0.16026288270950317,0.144524484872818,0.1331992894411087,-0.012338702566921711,0.17703752219676971,0.05352846905589104,0.10141821950674057,0.20273639261722565,0.043793633580207825,0.1816425770521164,0.16408909857273102,1.0,0.12496745586395264,0.18499809503555298,0.11723388731479645,0.13489609956741333,0.20845256745815277,0.19397632777690887
greatest,0.22948481142520905,0.20328234136104584,0.1330748051404953,0.16524848341941833,0.28345996141433716,0.18255335092544556,0.22416065633296967,0.15944629907608032,0.2556818127632141,0.30395472049713135,0.2877289056777954,0.12496745586395264,1.0,0.1457679718732834,0.16368770599365234,0.20805101096630096,0.23660840094089508,0.13661223649978638
kids,0.2709776759147644,0.07115190476179123,0.19328005611896515,0.1253613531589508,0.24504688382148743,0.1606506109237671,0.1676097959280014,0.2173318713903427,0.11802788078784943,0.13836975395679474,0.18819834291934967,0.18499809503555298,0.1457679718732834,0.9999998807907104,0.20825935900211334,0.4234957695007324,0.31844133138656616,0.29497838020324707
',0.3245812654495239,0.1668957620859146,0.2684852182865143,0.2026606649160385,0.22534559667110443,0.1790844351053238,0.4158826768398285,0.48837921023368835,0.2507268786430359,0.39136970043182373,0.474788099527359,0.11723388731479645,0.16368770599365234,0.20825935900211334,1.0,0.21781927347183228,0.20966199040412903,0.330942302942276
tv,0.20700684189796448,0.08103185892105103,0.17364564538002014,0.23672568798065186,0.20096197724342346,0.15924091637134552,0.17989183962345123,0.2169625610113144,0.10461673140525818,0.19364769756793976,0.20034731924533844,0.13489609956741333,0.20805101096630096,0.4234957695007324,0.21781927347183228,0.9999998807907104,0.37282559275627136,0.20290863513946533
shows,0.30282244086265564,0.14671874046325684,0.3030276298522949,0.11790791153907776,0.1994590163230896,0.13819903135299683,0.3289647698402405,0.3360818326473236,0.20793047547340393,0.3410852253437042,0.36348509788513184,0.20845256745815277,0.23660840094089508,0.31844133138656616,0.20966199040412903,0.37282559275627136,0.9999999403953552,0.2040930688381195
