,in,some,countries,over,how,many,steps,can,it,take,to,build,on,government,land,?
reasons,0.22547267377376556,0.38729044795036316,0.3308649957180023,0.27391403913497925,0.3283638060092926,0.383806437253952,0.2524658143520355,0.32952752709388733,0.29208120703697205,0.2589835524559021,0.32146772742271423,0.21852311491966248,0.24593403935432434,0.21547546982765198,0.1039452776312828,0.248102068901062
for,0.4322226941585541,0.4257155656814575,0.299202024936676,0.3419422209262848,0.3308170735836029,0.40972793102264404,0.23473642766475677,0.35690054297447205,0.32171204686164856,0.33445194363594055,0.4451248347759247,0.24264922738075256,0.36199691891670227,0.23902073502540588,0.19845563173294067,0.264628142118454
extra-legal,0.29868054389953613,0.3861897587776184,0.3875199854373932,0.2871142625808716,0.27876031398773193,0.33382391929626465,0.2039884775876999,0.3275756537914276,0.2584887742996216,0.30656787753105164,0.3401152491569519,0.17703156173229218,0.32723480463027954,0.3515387773513794,0.20168180763721466,0.2470943182706833
ownership,0.22562521696090698,0.26800626516342163,0.22534571588039398,0.31437382102012634,0.19148145616054535,0.2561948001384735,0.15482647716999054,0.21059231460094452,0.27627888321876526,0.23670978844165802,0.2847251296043396,0.2510008215904236,0.2279193252325058,0.37173572182655334,0.3698562681674957,0.19719240069389343
include,0.28694382309913635,0.5271874070167542,0.31096240878105164,0.23136796057224274,0.1816270500421524,0.4642373323440552,0.12833857536315918,0.2617928385734558,0.1939142346382141,0.23090678453445435,0.1820748895406723,0.16519609093666077,0.2332274466753006,0.10650508850812912,0.14935718476772308,0.14925788342952728
excessive,0.17168647050857544,0.32859253883361816,0.1686134934425354,0.26077690720558167,0.30311986804008484,0.2363211065530777,0.17154334485530853,0.3473753333091736,0.21051177382469177,0.27931755781173706,0.28889620304107666,0.14038461446762085,0.1725468784570694,0.2597845196723938,0.1331050992012024,0.24501025676727295
bureaucratic,0.14458788931369781,0.25465717911720276,0.22008855640888214,0.2324686348438263,0.28008654713630676,0.22188952565193176,0.21999825537204742,0.3015068471431732,0.29610636830329895,0.31535604596138,0.29053381085395813,0.19593201577663422,0.21061573922634125,0.2901671528816223,0.20742003619670868,0.3583265542984009
red,0.18753071129322052,0.17509616911411285,0.15996244549751282,0.22473964095115662,0.18390978872776031,0.20190106332302094,0.11696851998567581,0.18177342414855957,0.21993297338485718,0.14105753600597382,0.19477520883083344,0.1423088014125824,0.22689273953437805,0.1151575967669487,0.10784377157688141,0.1495664119720459
tape,0.14771278202533722,0.23328346014022827,0.16229398548603058,0.24702736735343933,0.20736566185951233,0.21571925282478333,0.22225207090377808,0.23007361590862274,0.17847833037376404,0.21192772686481476,0.2686920464038849,0.14392150938510895,0.16172082722187042,0.15869496762752533,0.06175150349736214,0.13937829434871674
in,1.0,0.4010399878025055,0.3027990758419037,0.3605569899082184,0.2601168751716614,0.41474202275276184,0.16691924631595612,0.26527702808380127,0.5130809545516968,0.21975718438625336,0.45010748505592346,0.26063278317451477,0.46853652596473694,0.3066793978214264,0.22871792316436768,0.20430970191955566
buying,0.22253981232643127,0.32254061102867126,0.29793044924736023,0.24992524087429047,0.25219500064849854,0.2824465334415436,0.14599937200546265,0.25578975677490234,0.241569384932518,0.2633846402168274,0.274881511926651,0.2751709520816803,0.22647707164287567,0.3466910421848297,0.23199407756328583,0.22927558422088623
property,0.19798405468463898,0.21420353651046753,0.13880257308483124,0.20384521782398224,0.21214880049228668,0.16241537034511566,0.13901235163211823,0.2353399097919464,0.17013771831989288,0.21361728012561798,0.26292115449905396,0.2326377034187317,0.1105850338935852,0.3121843934059143,0.3866153657436371,0.16865147650241852
and,0.4954058527946472,0.5337774157524109,0.37200918793678284,0.4021143913269043,0.33647966384887695,0.5296266674995422,0.2354552447795868,0.3675691485404968,0.40957894921302795,0.296702116727829,0.48971283435821533,0.27539998292922974,0.4077630043029785,0.2859337627887726,0.2874513864517212,0.20544172823429108
building,0.3256937265396118,0.20945800840854645,0.1468365341424942,0.18289154767990112,0.19448791444301605,0.23676979541778564,0.23613063991069794,0.19682028889656067,0.2947906255722046,0.16868546605110168,0.2658686637878418,0.5836763381958008,0.24277396500110626,0.29639387130737305,0.2101743221282959,0.13549931347370148
",",0.5201468467712402,0.42400437593460083,0.2966555655002594,0.3301127254962921,0.22659391164779663,0.40610817074775696,0.21803367137908936,0.3139454126358032,0.48329564929008484,0.2881867289543152,0.44245919585227966,0.22204548120498657,0.49057599902153015,0.27344048023223877,0.22220008075237274,0.31091248989105225
in,1.0,0.4010399878025055,0.3027990758419037,0.3605569899082184,0.2601168751716614,0.41474202275276184,0.16691924631595612,0.26527702808380127,0.5130809545516968,0.21975718438625336,0.45010748505592346,0.26063278317451477,0.46853652596473694,0.3066793978214264,0.22871792316436768,0.20430970191955566
some,0.4010399878025055,0.9999999403953552,0.4101204574108124,0.41344934701919556,0.4180530905723572,0.7976660132408142,0.1956256628036499,0.5319128632545471,0.4438856542110443,0.33165034651756287,0.4636894166469574,0.26343920826911926,0.31474894285202026,0.2568245828151703,0.23819011449813843,0.2562315762042999
countries,0.3027990758419037,0.4101204574108124,0.9999999403953552,0.2965930998325348,0.22695748507976532,0.4298940598964691,0.16104266047477722,0.2783487141132355,0.3387439250946045,0.22537964582443237,0.3111797273159027,0.09138920158147812,0.2938643991947174,0.34346339106559753,0.2139480710029602,0.15128466486930847
it,0.5130809545516968,0.4438856542110443,0.3387439250946045,0.3669605255126953,0.36714982986450195,0.39615920186042786,0.15071141719818115,0.3819273114204407,0.9999999403953552,0.27032700181007385,0.513711154460907,0.2748400866985321,0.4529881477355957,0.28037968277931213,0.2534204423427582,0.25732165575027466
can,0.26527702808380127,0.5319128632545471,0.2783487141132355,0.3160167336463928,0.49246567487716675,0.4275496006011963,0.25183892250061035,1.0,0.3819273114204407,0.32599925994873047,0.4979398250579834,0.24775812029838562,0.2772369682788849,0.15589569509029388,0.16262724995613098,0.3226337134838104
take,0.21975718438625336,0.33165034651756287,0.22537964582443237,0.37978237867355347,0.32433539628982544,0.24711354076862335,0.3170894384384155,0.32599925994873047,0.27032700181007385,1.0,0.4075521230697632,0.31955620646476746,0.27423644065856934,0.2059202343225479,0.20831574499607086,0.21897350251674652
over,0.3605569899082184,0.41344934701919556,0.2965930998325348,1.0,0.31446483731269836,0.47131630778312683,0.20242537558078766,0.3160167336463928,0.3669605255126953,0.37978237867355347,0.38635820150375366,0.22273322939872742,0.39810362458229065,0.24897949397563934,0.28325000405311584,0.25742942094802856
200,-0.28403738141059875,-0.27367183566093445,-0.2618258595466614,-0.21613465249538422,-0.2139798104763031,-0.20917564630508423,-0.12491098791360855,-0.27406924962997437,-0.21685194969177246,-0.22116869688034058,-0.3048372268676758,-0.23175035417079926,-0.1306719034910202,-0.28084051609039307,-0.2024277001619339,-0.22913911938667297
steps,0.16691924631595612,0.1956256628036499,0.16104266047477722,0.20242537558078766,0.2906069755554199,0.2166861742734909,1.0,0.25183892250061035,0.15071141719818115,0.3170894384384155,0.2637169659137726,0.18169984221458435,0.19332624971866608,0.11654102802276611,0.09086544066667557,0.17527498304843903
and,0.4954058527946472,0.5337774157524109,0.37200918793678284,0.4021143913269043,0.33647966384887695,0.5296266674995422,0.2354552447795868,0.3675691485404968,0.40957894921302795,0.296702116727829,0.48971283435821533,0.27539998292922974,0.4077630043029785,0.2859337627887726,0.2874513864517212,0.20544172823429108
