,what,has,partical,physics,made,to,describe,sub-atomic,forces,?
with,0.2464839518070221,0.44092974066734314,0.3080703914165497,0.1996603161096573,0.3459964990615845,0.4239959120750427,0.27238842844963074,0.2339795082807541,0.18998397886753082,0.2433311939239502
modern,0.2655639946460724,0.2644438147544861,0.21007266640663147,0.1623793989419937,0.18695756793022156,0.193939670920372,0.2572595179080963,0.24046264588832855,0.08905810862779617,0.12475407868623734
insights,0.32486042380332947,0.19506168365478516,0.24505676329135895,0.2752039134502411,0.1824793964624405,0.21239717304706573,0.1971135288476944,0.2284637689590454,0.16476762294769287,0.30407145619392395
into,0.2180619090795517,0.29681676626205444,0.22627778351306915,0.13458384573459625,0.30376607179641724,0.38810545206069946,0.17809811234474182,0.20775571465492249,0.18807947635650635,0.15662476420402527
quantum,0.3095471262931824,0.13508884608745575,0.49151933193206787,0.5938736200332642,0.13621127605438232,0.2208167314529419,0.3313697576522827,0.5232424736022949,0.2344486564397812,0.20770002901554108
mechanics,0.3135516941547394,0.1741911768913269,0.37610766291618347,0.6208994388580322,0.14505645632743835,0.18427595496177673,0.28428736329078674,0.4279937148094177,0.22473439574241638,0.15634238719940186
and,0.31309178471565247,0.43716782331466675,0.3061860203742981,0.14552804827690125,0.34954607486724854,0.48971283435821533,0.24788004159927368,0.28783273696899414,0.26456665992736816,0.20544172823429108
technology,0.1940862536430359,0.21032026410102844,0.28257742524147034,0.4509603679180145,0.21433408558368683,0.25372135639190674,0.14727158844470978,0.23050518333911896,0.15469105541706085,0.11564995348453522
that,0.6297725439071655,0.41272613406181335,0.35175105929374695,0.22907806932926178,0.3437977731227875,0.5436353087425232,0.3340485394001007,0.32195454835891724,0.24199660122394562,0.32716336846351624
can,0.34502777457237244,0.4103628396987915,0.30585384368896484,0.16501082479953766,0.28097549080848694,0.4979398250579834,0.2867383062839508,0.2542356848716736,0.15958181023597717,0.3226337134838104
accelerate,0.26969650387763977,0.1765839159488678,0.46781012415885925,0.42286908626556396,0.13724330067634583,0.2899765968322754,0.25221458077430725,0.43305665254592896,0.3285042941570282,0.143491730093956
particles,0.26094838976860046,0.18298250436782837,0.6366513967514038,0.4815075397491455,0.2195003777742386,0.25014081597328186,0.2546013295650482,0.5639704465866089,0.3396289646625519,0.22255320847034454
close,0.23424343764781952,0.17172996699810028,0.16196022927761078,0.16419075429439545,0.189089834690094,0.33802270889282227,0.16697287559509277,0.19362840056419373,0.1521161049604416,0.1908312737941742
to,0.455847829580307,0.3619994819164276,0.28036051988601685,0.19172722101211548,0.3377571105957031,1.0,0.3167092204093933,0.2367013692855835,0.2581802308559418,0.29463258385658264
the,0.42745697498321533,0.4177538752555847,0.30866310000419617,0.17952929437160492,0.3885267674922943,0.535392165184021,0.26495152711868286,0.304526150226593,0.3134811818599701,0.22068053483963013
