,harold,winston,'s,supported,which,country,'s,during,its,six,day,war,?
his,0.2323368936777115,0.2350696474313736,0.047556519508361816,0.22375595569610596,0.32283493876457214,0.19778595864772797,0.047556519508361816,0.36789870262145996,0.37344956398010254,0.3086168169975281,0.24784664809703827,0.2932312488555908,0.18075084686279297
successor,0.21099284291267395,0.1689065396785736,-0.010897614061832428,0.26108089089393616,0.07593902200460434,0.1829749047756195,-0.010897614061832428,0.14554740488529205,0.11039228737354279,0.13995064795017242,0.08812232315540314,0.14096865057945251,0.0913006067276001
",",0.2359737902879715,0.2865391969680786,-0.0016132977325469255,0.2703314423561096,0.3658004403114319,0.27878350019454956,-0.0016132977325469255,0.3225448727607727,0.33157986402511597,0.2737274467945099,0.30821847915649414,0.2671184241771698,0.31091248989105225
ted,0.31809890270233154,0.23537668585777283,-0.056490205228328705,0.21883009374141693,0.10833536833524704,0.08477069437503815,-0.056490205228328705,0.1515573412179947,0.03839127719402313,0.14505578577518463,0.06927299499511719,0.17497095465660095,0.19378185272216797
heath,0.39418891072273254,0.36749112606048584,0.05877212807536125,0.18769901990890503,0.1165965273976326,0.1215972825884819,0.05877212807536125,0.13312308490276337,0.06773023307323456,0.1252152919769287,0.10717649012804031,0.1969068944454193,0.06458259373903275
",",0.2359737902879715,0.2865391969680786,-0.0016132977325469255,0.2703314423561096,0.3658004403114319,0.27878350019454956,-0.0016132977325469255,0.3225448727607727,0.33157986402511597,0.2737274467945099,0.30821847915649414,0.2671184241771698,0.31091248989105225
reversed,0.09639248251914978,0.12333697825670242,-0.04227898642420769,0.2945297956466675,0.39063653349876404,0.1479135900735855,-0.04227898642420769,0.30092957615852356,0.20958790183067322,0.2419952005147934,0.11591967940330505,0.15325593948364258,0.17802467942237854
this,0.10173723846673965,0.1557530015707016,0.02106832154095173,0.30082768201828003,0.6719430088996887,0.2617904841899872,0.02106832154095173,0.34351885318756104,0.43815311789512634,0.27714964747428894,0.23947837948799133,0.29429852962493896,0.3155723512172699
policy,0.10752270370721817,0.16400869190692902,-0.07627277821302414,0.3021240234375,0.22344686090946198,0.24342869222164154,-0.07627277821302414,0.15163902938365936,0.17607158422470093,0.0899575725197792,0.20770400762557983,0.26296716928482056,0.30462446808815
in,0.2284298837184906,0.25267454981803894,-0.037580832839012146,0.22075232863426208,0.4840516746044159,0.3040012717247009,-0.037580832839012146,0.4627237319946289,0.3793783485889435,0.3013422191143036,0.2671984136104584,0.29904094338417053,0.20430970191955566
1970,0.037932757288217545,0.019294267520308495,-0.05503448471426964,0.034458622336387634,-0.04974441975355148,0.05301332473754883,-0.05503448471426964,0.06582270562648773,-0.022174492478370667,0.002309175208210945,0.08058731257915497,0.0351075641810894,-0.007446378003805876
",",0.2359737902879715,0.2865391969680786,-0.0016132977325469255,0.2703314423561096,0.3658004403114319,0.27878350019454956,-0.0016132977325469255,0.3225448727607727,0.33157986402511597,0.2737274467945099,0.30821847915649414,0.2671184241771698,0.31091248989105225
calling,0.11630775034427643,0.22068999707698822,0.04120776057243347,0.22528506815433502,0.2764144241809845,0.27815449237823486,0.04120776057243347,0.1290549635887146,0.19550441205501556,0.15877676010131836,0.20430026948451996,0.20780400931835175,0.23612231016159058
