,who,did,josel,of,rosheim,blame,for,the,condition,of,jews,in,saxony,?
josel,0.2247287482023239,0.17029181122779846,1.0,0.21895205974578857,0.4620577096939087,0.09011736512184143,0.17596450448036194,0.23822356760501862,0.05259980261325836,0.21895205974578857,0.1992202252149582,0.23053158819675446,0.3712673783302307,0.09231944382190704
of,0.2827862501144409,0.2513895630836487,0.21895205974578857,1.0,0.25779151916503906,0.17065608501434326,0.4185989499092102,0.733189046382904,0.20755170285701752,1.0,0.2207300066947937,0.5696388483047485,0.3575356900691986,0.1826142966747284
rosheim,0.1795799434185028,0.11256112158298492,0.4620577096939087,0.25779151916503906,1.0,0.09900757670402527,0.15680304169654846,0.2593145966529846,0.1416229009628296,0.25779151916503906,0.36508098244667053,0.26075121760368347,0.49570146203041077,0.17173978686332703
",",0.3365725874900818,0.3015086054801941,0.28542959690093994,0.4946078956127167,0.29806461930274963,0.23327811062335968,0.4464869201183319,0.4933079481124878,0.16265787184238434,0.4946078956127167,0.27184903621673584,0.5201468467712402,0.2703131437301636,0.31091248989105225
the,0.3733934462070465,0.34736719727516174,0.23822356760501862,0.733189046382904,0.2593145966529846,0.1959904432296753,0.4739971458911896,1.0,0.27454710006713867,0.733189046382904,0.24901628494262695,0.6662389636039734,0.27077290415763855,0.22068053483963013
jewish,0.27238789200782776,0.19554156064987183,0.2701442539691925,0.14794707298278809,0.41065511107444763,0.17061176896095276,0.16885632276535034,0.19492539763450623,0.08298829942941666,0.14794707298278809,0.6836509108543396,0.22940313816070557,0.2710729241371155,0.15521590411663055
spokesman,0.30797427892684937,0.23368580639362335,0.18872655928134918,0.16398678719997406,0.23655593395233154,0.2818134129047394,0.2679142653942108,0.24552905559539795,0.21450714766979218,0.16398678719997406,0.18620344996452332,0.21322135627269745,0.1323470175266266,0.13802309334278107
who,0.9999998807907104,0.34038686752319336,0.2247287482023239,0.2827862501144409,0.1795799434185028,0.29464802145957947,0.37110671401023865,0.3733934462070465,0.2531663775444031,0.2827862501144409,0.3023342192173004,0.2792111933231354,0.20023468136787415,0.26220351457595825
tried,0.3592184782028198,0.5812815427780151,0.1735958307981491,0.2511886954307556,0.14162927865982056,0.3228807747364044,0.24709035456180573,0.29431280493736267,0.1085522398352623,0.2511886954307556,0.19034408032894135,0.25011298060417175,0.14454780519008636,0.21770204603672028
to,0.42656609416007996,0.4452643394470215,0.16891537606716156,0.41548454761505127,0.1665969341993332,0.22786720097064972,0.4451248347759247,0.535392165184021,0.2868253290653229,0.41548454761505127,0.22399327158927917,0.45010748505592346,0.17982617020606995,0.29463258385658264
help,0.3826322555541992,0.35430794954299927,0.07820398360490799,0.22745388746261597,0.12771466374397278,0.2990141808986664,0.33200904726982117,0.30064165592193604,0.22839194536209106,0.22745388746261597,0.19038237631320953,0.21321536600589752,0.17999908328056335,0.28403452038764954
the,0.3733934462070465,0.34736719727516174,0.23822356760501862,0.733189046382904,0.2593145966529846,0.1959904432296753,0.4739971458911896,1.0,0.27454710006713867,0.733189046382904,0.24901628494262695,0.6662389636039734,0.27077290415763855,0.22068053483963013
jews,0.3023342192173004,0.23080717027187347,0.1992202252149582,0.2207300066947937,0.36508098244667053,0.23928135633468628,0.19548188149929047,0.24901628494262695,0.14797872304916382,0.2207300066947937,1.0000001192092896,0.2334136962890625,0.2510546147823334,0.16730794310569763
of,0.2827862501144409,0.2513895630836487,0.21895205974578857,1.0,0.25779151916503906,0.17065608501434326,0.4185989499092102,0.733189046382904,0.20755170285701752,1.0,0.2207300066947937,0.5696388483047485,0.3575356900691986,0.1826142966747284
saxony,0.20023468136787415,0.1633453220129013,0.3712673783302307,0.3575356900691986,0.49570146203041077,0.13046129047870636,0.1045217365026474,0.27077290415763855,0.14469294250011444,0.3575356900691986,0.2510546147823334,0.25673431158065796,1.0,0.17603406310081482
in,0.2792111933231354,0.2593238651752472,0.23053158819675446,0.5696388483047485,0.26075121760368347,0.10829274356365204,0.4322226941585541,0.6662389636039734,0.2555321156978607,0.5696388483047485,0.2334136962890625,1.0,0.25673431158065796,0.20430970191955566
1537,-0.06848248839378357,0.038711920380592346,-0.1256904900074005,0.022662676870822906,0.04334070533514023,-0.040029749274253845,-0.007346526253968477,0.023654120042920113,-0.05712563917040825,0.022662676870822906,-0.05364435911178589,-0.014458498917520046,0.04713313281536102,0.20334532856941223
",",0.3365725874900818,0.3015086054801941,0.28542959690093994,0.4946078956127167,0.29806461930274963,0.23327811062335968,0.4464869201183319,0.4933079481124878,0.16265787184238434,0.4946078956127167,0.27184903621673584,0.5201468467712402,0.2703131437301636,0.31091248989105225
later,0.35185644030570984,0.38386887311935425,0.23234383761882782,0.3458743393421173,0.15336835384368896,0.22189772129058838,0.3573088049888611,0.4060266613960266,0.220355823636055,0.3458743393421173,0.14935770630836487,0.40857815742492676,0.17624565958976746,0.1417175978422165
blamed,0.29299211502075195,0.3608649671077728,0.12195050716400146,0.23866800963878632,0.09732642769813538,0.7727999687194824,0.23336070775985718,0.2461363822221756,0.2267521321773529,0.23866800963878632,0.2682441473007202,0.19296689331531525,0.17281179130077362,0.14765259623527527
their,0.3767721951007843,0.38078752160072327,0.10991599410772324,0.4329940676689148,0.14067809283733368,0.23551137745380402,0.3406745493412018,0.516537070274353,0.2575691044330597,0.4329940676689148,0.2248561531305313,0.34976133704185486,0.17581608891487122,0.1898253709077835
