,when,were,the,public,housing,developments,built,in,the,neighborhood,?
while,0.548916757106781,0.3084527552127838,0.39804592728614807,0.1935804933309555,0.19005723297595978,0.2125122994184494,0.12745101749897003,0.3399278521537781,0.39804592728614807,0.21000860631465912,0.21076419949531555
many,0.36563900113105774,0.4804460406303406,0.4335206151008606,0.25114959478378296,0.23347222805023193,0.3410855233669281,0.2692042291164398,0.41474202275276184,0.4335206151008606,0.1960304081439972,0.2124512493610382
homes,0.23072496056556702,0.3923393487930298,0.22941356897354126,0.28292447328567505,0.46310269832611084,0.2660185694694519,0.32357919216156006,0.2459857165813446,0.22941356897354126,0.3267171382904053,0.12707971036434174
in,0.4431333839893341,0.3815755248069763,0.6662389636039734,0.29074716567993164,0.255455881357193,0.28820812702178955,0.25829681754112244,1.0,0.6662389636039734,0.20924240350723267,0.20430970191955566
the,0.5091903209686279,0.3906462490558624,1.0,0.22857438027858734,0.24837790429592133,0.35879647731781006,0.2950156033039093,0.6662389636039734,1.0,0.20152483880519867,0.22068053483963013
neighborhood,0.19485846161842346,0.16469812393188477,0.20152483880519867,0.22923199832439423,0.4839690625667572,0.19401037693023682,0.22439314424991608,0.20924240350723267,0.20152483880519867,1.0000001192092896,0.048473283648490906
date,0.23106098175048828,0.11676280200481415,0.25333094596862793,0.13455095887184143,0.032584864646196365,0.15282127261161804,0.16053517162799835,0.21362407505512238,0.25333094596862793,0.09379220008850098,0.2698357403278351
back,0.4184971749782562,0.2695517838001251,0.3612101674079895,0.08173318207263947,0.1416739523410797,0.1721658855676651,0.174787700176239,0.25397348403930664,0.3612101674079895,0.156669020652771,0.2397768795490265
to,0.5423505902290344,0.31913647055625916,0.535392165184021,0.2672370672225952,0.2623659670352936,0.32066288590431213,0.2183011770248413,0.45010748505592346,0.535392165184021,0.20300643146038055,0.29463258385658264
the,0.5091903209686279,0.3906462490558624,1.0,0.22857438027858734,0.24837790429592133,0.35879647731781006,0.2950156033039093,0.6662389636039734,1.0,0.20152483880519867,0.22068053483963013
1930s,0.08096974343061447,0.16652190685272217,0.07268565893173218,0.005081620533019304,0.18801960349082947,0.035114798694849014,0.006504946853965521,0.07221422344446182,0.07268565893173218,0.08448729664087296,0.04075539484620094
