,what,kind,of,missions,are,the,armed,forces,regularly,deployed,for,?
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.26288601756095886,0.40399202704429626,1.0,0.2418309897184372,0.3134811818599701,0.2797985076904297,0.28525567054748535,0.4739971458911896,0.22068053483963013
armed,0.15827620029449463,0.12661857903003693,0.24764959514141083,0.27472352981567383,0.19221976399421692,0.2418309897184372,1.0000001192092896,0.5604153871536255,0.11889861524105072,0.3545246422290802,0.21633082628250122,0.18816959857940674
forces,0.2112482488155365,0.126530721783638,0.3090144991874695,0.34275874495506287,0.22039441764354706,0.3134811818599701,0.5604153871536255,1.0,0.1166423112154007,0.4048352837562561,0.14048048853874207,0.16984491050243378
are,0.29724663496017456,0.296465665102005,0.39081433415412903,0.2802850008010864,1.0,0.40399202704429626,0.19221976399421692,0.22039441764354706,0.3720113933086395,0.20988185703754425,0.3895993232727051,0.24591213464736938
regularly,0.23673877120018005,0.2224396914243698,0.17059080302715302,0.23452973365783691,0.3720113933086395,0.2797985076904297,0.11889861524105072,0.1166423112154007,1.0,0.23041380941867828,0.36603260040283203,0.24666962027549744
deployed,0.23681893944740295,0.11402577906847,0.19774025678634644,0.37846639752388,0.20988185703754425,0.28525567054748535,0.3545246422290802,0.4048352837562561,0.23041380941867828,1.0000001192092896,0.1851418912410736,0.22770234942436218
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.2733149528503418,0.3841303884983063,0.6662389636039734,0.2077496349811554,0.2565164566040039,0.3247656226158142,0.2512153387069702,0.4322226941585541,0.20430970191955566
peacekeeping,0.22465677559375763,0.11656839400529861,0.2641935646533966,0.4234679043292999,0.23044949769973755,0.34610873460769653,0.5267783403396606,0.46788057684898376,0.24434596300125122,0.3470894694328308,0.3082153797149658,0.19596150517463684
missions,0.21898438036441803,0.08611568063497543,0.2598918080329895,1.0,0.2802850008010864,0.26288601756095886,0.27472352981567383,0.34275874495506287,0.23452973365783691,0.37846639752388,0.24688635766506195,0.21422071754932404
around,0.27475327253341675,0.18650077283382416,0.3296394646167755,0.2944979667663574,0.3560173511505127,0.40085816383361816,0.19377364218235016,0.21115978062152863,0.3518439531326294,0.22889921069145203,0.3193374276161194,0.14729668200016022
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.26288601756095886,0.40399202704429626,1.0,0.2418309897184372,0.3134811818599701,0.2797985076904297,0.28525567054748535,0.4739971458911896,0.22068053483963013
world,0.21669597923755646,0.23631168901920319,0.2828933000564575,0.21284236013889313,0.22463127970695496,0.33604270219802856,0.221031054854393,0.196791410446167,0.2785376310348511,0.1788705587387085,0.2444595992565155,0.17579582333564758
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.2895781993865967,0.3452940285205841,0.5934505462646484,0.2014826536178589,0.21802116930484772,0.2925713360309601,0.24880823493003845,0.4726039469242096,0.4130953550338745
