,which,tribe,did,temüjin,move,in,with,at,nine,years,of,age,?
his,0.32283493876457214,0.1629103273153305,0.3546801507472992,0.4682264029979706,0.19469550251960754,0.3598145842552185,0.33836179971694946,0.27659502625465393,0.30716177821159363,0.3523389995098114,0.38364991545677185,0.2922106981277466,0.18075084686279297
father,0.19622015953063965,0.16479159891605377,0.3227277100086212,0.40216585993766785,0.1036233976483345,0.25954100489616394,0.17124000191688538,0.20455175638198853,0.21256497502326965,0.2736870348453522,0.22142449021339417,0.319592148065567,0.14826634526252747
arranged,0.2944372296333313,0.09227725863456726,0.28978756070137024,0.23118776082992554,0.22906237840652466,0.20203842222690582,0.3234456181526184,0.20818737149238586,0.239194855093956,0.16133888065814972,0.33214297890663147,0.15596497058868408,0.08499907702207565
a,0.56894451379776,0.22244147956371307,0.2552328109741211,0.36845725774765015,0.2925316393375397,0.539380669593811,0.3783375024795532,0.3095070421695709,0.2446976900100708,0.23773819208145142,0.5052502155303955,0.19297243654727936,0.23916715383529663
marriage,0.14250798523426056,0.15841351449489594,0.26697254180908203,0.24604450166225433,0.10600509494543076,0.18663892149925232,0.2222139537334442,0.11739737540483475,0.1750376671552658,0.21737901866436005,0.1860882043838501,0.24673965573310852,0.13543564081192017
for,0.44095608592033386,0.0773274376988411,0.318512886762619,0.2671065032482147,0.21230614185333252,0.4322226941585541,0.39140474796295166,0.34237727522850037,0.26828351616859436,0.2878222167491913,0.4185989499092102,0.23129768669605255,0.264628142118454
him,0.3357398211956024,0.1718023270368576,0.4290095865726471,0.452009379863739,0.23807695508003235,0.2284061461687088,0.30843743681907654,0.2474106401205063,0.21717782318592072,0.2984994053840637,0.2764812409877777,0.21535059809684753,0.23943768441677094
",",0.3658004403114319,0.23060214519500732,0.3015086054801941,0.3484273850917816,0.25767531991004944,0.5201468467712402,0.4120737314224243,0.38314947485923767,0.273027628660202,0.2589467465877533,0.4946078956127167,0.2693369388580322,0.31091248989105225
and,0.506277859210968,0.1568450778722763,0.34479495882987976,0.3789469599723816,0.2671177089214325,0.4954058527946472,0.5477725267410278,0.3571503460407257,0.3451005816459656,0.300204873085022,0.5116966962814331,0.20936404168605804,0.20544172823429108
at,0.3286694884300232,0.11797215044498444,0.28390252590179443,0.25093090534210205,0.21947361528873444,0.4374977946281433,0.29126521944999695,1.0,0.28535738587379456,0.2851444482803345,0.42558613419532776,0.32409605383872986,0.21978627145290375
