,why,do,stromules,exist,?
they,0.39327314496040344,0.4667694866657257,0.39602014422416687,0.3090543746948242,0.2753053903579712
may,0.25454580783843994,0.28230178356170654,0.2809756398200989,0.19851870834827423,0.2768254578113556
exist,0.39064085483551025,0.3994499742984772,0.2625141441822052,0.9999999403953552,0.28923845291137695
to,0.4100138247013092,0.38876664638519287,0.3166879713535309,0.2506487965583801,0.29463258385658264
increase,0.16871358454227448,0.25109392404556274,0.20403775572776794,0.24488495290279388,0.11119163036346436
the,0.30742117762565613,0.30239659547805786,0.35374435782432556,0.3024537265300751,0.22068053483963013
chloroplast,0.22327564656734467,0.2310386300086975,0.4040154218673706,0.2507275938987732,0.12532055377960205
's,-0.016663772985339165,-0.01994597539305687,0.04875912144780159,0.047799836844205856,-0.023395681753754616
surface,0.1972758024930954,0.17361098527908325,0.3184901177883148,0.3043830990791321,0.14613434672355652
area,0.18206411600112915,0.19017988443374634,0.18683506548404694,0.18345461785793304,0.12640461325645447
for,0.3869043290615082,0.29510271549224854,0.2619054317474365,0.23112118244171143,0.264628142118454
cross-membrane,0.24382857978343964,0.2040054202079773,0.4497102200984955,0.22537334263324738,0.21885083615779877
transport,0.20538832247257233,0.18837910890579224,0.221633642911911,0.1873217076063156,0.16607823967933655
",",0.2827242314815521,0.3283645510673523,0.3994307816028595,0.2977049946784973,0.31091248989105225
because,0.5926418900489807,0.39530807733535767,0.2677488625049591,0.3196401000022888,0.2528740465641022
they,0.39327314496040344,0.4667694866657257,0.39602014422416687,0.3090543746948242,0.2753053903579712
are,0.3273901343345642,0.41111594438552856,0.3621384799480438,0.4066506326198578,0.24591213464736938
often,0.37303441762924194,0.30438441038131714,0.31981635093688965,0.2295844554901123,0.23748154938220978
branched,0.19084744155406952,0.29017964005470276,0.36830100417137146,0.21981635689735413,0.16112618148326874
and,0.27806392312049866,0.276123583316803,0.3766961991786957,0.2538236081600189,0.20544172823429108
tangled,0.24637331068515778,0.15505661070346832,0.25735247135162354,0.17824438214302063,0.13938532769680023
with,0.24107445776462555,0.23744353652000427,0.3398604691028595,0.20714473724365234,0.2433311939239502
the,0.30742117762565613,0.30239659547805786,0.35374435782432556,0.3024537265300751,0.22068053483963013
endoplasmic,0.2320026010274887,0.27901631593704224,0.4034300744533539,0.2365691065788269,0.22942030429840088
reticulum,0.24165906012058258,0.2303440272808075,0.42014455795288086,0.2161225527524948,0.1597631424665451
.,0.32909876108169556,0.3613996207714081,0.3874807059764862,0.29937607049942017,0.4130953550338745
