,the,movements,of,the,lobates,combs,are,controlled,by,what,?
unlike,0.35607239603996277,0.2743358910083771,0.34768372774124146,0.35607239603996277,0.28930455446243286,0.23339731991291046,0.4607468843460083,0.2825874090194702,0.22217169404029846,0.25655338168144226,0.12876726686954498
cydippids,0.3210736811161041,0.23631203174591064,0.2979815900325775,0.3210736811161041,0.4675646424293518,0.336329847574234,0.35411837697029114,0.17185348272323608,0.24233785271644592,0.22088393568992615,0.217335045337677
",",0.4933079481124878,0.2241983860731125,0.4946078956127167,0.4933079481124878,0.2709355354309082,0.34822797775268555,0.4062570035457611,0.20886175334453583,0.3680937886238098,0.3087472915649414,0.31091248989105225
the,1.0,0.31594985723495483,0.733189046382904,1.0,0.23895198106765747,0.2017894983291626,0.40399202704429626,0.3320712745189667,0.4408751428127289,0.42745697498321533,0.22068053483963013
movements,0.31594985723495483,0.9999999403953552,0.24170123040676117,0.31594985723495483,0.13019387423992157,0.13483379781246185,0.27053773403167725,0.24204599857330322,0.20860128104686737,0.23197974264621735,0.1501890867948532
of,0.733189046382904,0.24170123040676117,1.0,0.733189046382904,0.25843560695648193,0.18958649039268494,0.39081433415412903,0.2840180993080139,0.3646814823150635,0.33290785551071167,0.1826142966747284
lobates,0.23895198106765747,0.13019387423992157,0.25843560695648193,0.23895198106765747,1.0,0.18417571485042572,0.3254562318325043,0.2358468770980835,0.16180390119552612,0.14199547469615936,0.2026495784521103
',0.474788099527359,0.14424242079257965,0.39136970043182373,0.474788099527359,0.20184628665447235,0.18013803660869598,0.24618251621723175,0.12360578030347824,0.2610379159450531,0.3245812654495239,0.330942302942276
combs,0.2017894983291626,0.13483379781246185,0.18958649039268494,0.2017894983291626,0.18417571485042572,1.0,0.23614484071731567,0.16738027334213257,0.24590063095092773,0.16265150904655457,0.24039559066295624
are,0.40399202704429626,0.27053773403167725,0.39081433415412903,0.40399202704429626,0.3254562318325043,0.23614484071731567,1.0,0.2365676909685135,0.37842893600463867,0.29724663496017456,0.24591213464736938
coordinated,0.2540585994720459,0.24005724489688873,0.18362197279930115,0.2540585994720459,0.1531493067741394,0.13717861473560333,0.17729103565216064,0.2865214943885803,0.19208665192127228,0.15766541659832,0.1664249449968338
by,0.4408751428127289,0.20860128104686737,0.3646814823150635,0.4408751428127289,0.16180390119552612,0.24590063095092773,0.37842893600463867,0.2983320951461792,1.0000001192092896,0.2455483376979828,0.17966607213020325
nerves,0.2670232355594635,0.2787240743637085,0.22044096887111664,0.2670232355594635,0.2978379726409912,0.22481536865234375,0.3123171627521515,0.24225200712680817,0.14729970693588257,0.25560325384140015,0.16413070261478424
rather,0.31983619928359985,0.2731970548629761,0.3045461177825928,0.31983619928359985,0.21106746792793274,0.1958271563053131,0.325596421957016,0.18463172018527985,0.2593236565589905,0.3923804461956024,0.3053998053073883
than,0.3227543234825134,0.2156752198934555,0.33036211133003235,0.3227543234825134,0.19787178933620453,0.15507416427135468,0.39206281304359436,0.16822104156017303,0.2015816867351532,0.29388150572776794,0.24917294085025787
by,0.4408751428127289,0.20860128104686737,0.3646814823150635,0.4408751428127289,0.16180390119552612,0.24590063095092773,0.37842893600463867,0.2983320951461792,1.0000001192092896,0.2455483376979828,0.17966607213020325
water,0.297396719455719,0.14223787188529968,0.2741255462169647,0.297396719455719,0.2624852955341339,0.21865037083625793,0.26855918765068054,0.21298228204250336,0.22562243044376373,0.17456887662410736,0.14731885492801666
disturbances,0.2706867754459381,0.3419235348701477,0.28793370723724365,0.2706867754459381,0.20359469950199127,0.14462634921073914,0.26147782802581787,0.25995510816574097,0.24032311141490936,0.2838555574417114,0.11455879360437393
created,0.3539263904094696,0.17479948699474335,0.32043445110321045,0.3539263904094696,0.07533993571996689,0.1478215903043747,0.19794130325317383,0.28310659527778625,0.3492257595062256,0.20714101195335388,0.21177415549755096
by,0.4408751428127289,0.20860128104686737,0.3646814823150635,0.4408751428127289,0.16180390119552612,0.24590063095092773,0.37842893600463867,0.2983320951461792,1.0000001192092896,0.2455483376979828,0.17966607213020325
the,1.0,0.31594985723495483,0.733189046382904,1.0,0.23895198106765747,0.2017894983291626,0.40399202704429626,0.3320712745189667,0.4408751428127289,0.42745697498321533,0.22068053483963013
cilia,0.18933437764644623,0.2343544363975525,0.18652039766311646,0.18933437764644623,0.41667261719703674,0.23325201869010925,0.29726603627204895,0.2050614058971405,0.12926161289215088,0.17923450469970703,0.15204964578151703
",",0.4933079481124878,0.2241983860731125,0.4946078956127167,0.4933079481124878,0.2709355354309082,0.34822797775268555,0.4062570035457611,0.20886175334453583,0.3680937886238098,0.3087472915649414,0.31091248989105225
yet,0.32892218232154846,0.17990809679031372,0.22536693513393402,0.32892218232154846,0.19676293432712555,0.18455412983894348,0.3299556076526642,0.19370941817760468,0.2592849135398865,0.44080492854118347,0.4011770784854889
combs,0.2017894983291626,0.13483379781246185,0.18958649039268494,0.2017894983291626,0.18417571485042572,1.0,0.23614484071731567,0.16738027334213257,0.24590063095092773,0.16265150904655457,0.24039559066295624
on,0.5107308030128479,0.1725136637687683,0.3966929316520691,0.5107308030128479,0.21309524774551392,0.20493780076503754,0.268924742937088,0.23011140525341034,0.33887791633605957,0.34226128458976746,0.2714994251728058
the,1.0,0.31594985723495483,0.733189046382904,1.0,0.23895198106765747,0.2017894983291626,0.40399202704429626,0.3320712745189667,0.4408751428127289,0.42745697498321533,0.22068053483963013
same,0.4583131968975067,0.1807447075843811,0.3808329105377197,0.4583131968975067,0.24779273569583893,0.23030252754688263,0.3446533679962158,0.24120572209358215,0.2768566608428955,0.3764382302761078,0.22649677097797394
row,0.20418651401996613,0.05437956377863884,0.15142002701759338,0.20418651401996613,0.11398269981145859,0.13314345479011536,0.1476336270570755,0.10632584989070892,0.11303344368934631,0.19005049765110016,0.11000081151723862
beat,0.24951939284801483,0.2028769701719284,0.15358257293701172,0.24951939284801483,0.08435983955860138,0.25076407194137573,0.13049373030662537,0.13692878186702728,0.19276173412799835,0.15686821937561035,0.19461682438850403
in,0.6662389636039734,0.23150597512722015,0.5696388483047485,0.6662389636039734,0.2055913656949997,0.18868955969810486,0.3841303884983063,0.2597082853317261,0.370934396982193,0.30808621644973755,0.20430970191955566
the,1.0,0.31594985723495483,0.733189046382904,1.0,0.23895198106765747,0.2017894983291626,0.40399202704429626,0.3320712745189667,0.4408751428127289,0.42745697498321533,0.22068053483963013
same,0.4583131968975067,0.1807447075843811,0.3808329105377197,0.4583131968975067,0.24779273569583893,0.23030252754688263,0.3446533679962158,0.24120572209358215,0.2768566608428955,0.3764382302761078,0.22649677097797394
mexican,0.22263213992118835,0.13152652978897095,0.17380554974079132,0.22263213992118835,0.24421116709709167,0.21521449089050293,0.12504646182060242,0.10688546299934387,0.18027935922145844,0.16168992221355438,0.12479566037654877
wave,0.23117129504680634,0.2630864679813385,0.2050720453262329,0.23117129504680634,0.16166166961193085,0.17739902436733246,0.09713544696569443,0.08854615688323975,0.15963463485240936,0.21830487251281738,0.19408074021339417
style,0.2331719547510147,0.24009357392787933,0.23203764855861664,0.2331719547510147,0.20875342190265656,0.20570360124111176,0.16533824801445007,0.1588422805070877,0.20164106786251068,0.2488866001367569,0.19862167537212372
as,0.48381632566452026,0.2209509164094925,0.3886612355709076,0.48381632566452026,0.2105044275522232,0.28271484375,0.3826591968536377,0.18047308921813965,0.3815547823905945,0.31749409437179565,0.27043893933296204
the,1.0,0.31594985723495483,0.733189046382904,1.0,0.23895198106765747,0.2017894983291626,0.40399202704429626,0.3320712745189667,0.4408751428127289,0.42745697498321533,0.22068053483963013
