,what,did,a,greedy,merchant,do,to,the,mermaid,?
a,0.3320399522781372,0.2552328109741211,1.0,0.2080761343240738,0.22357913851737976,0.26237669587135315,0.45503583550453186,0.5829201340675354,0.30216071009635925,0.23916715383529663
greedy,0.22525809705257416,0.219147190451622,0.2080761343240738,1.0000001192092896,0.23631936311721802,0.22211933135986328,0.294958233833313,0.18643268942832947,0.33662527799606323,0.1368640810251236
merchant,0.10597449541091919,0.22422932088375092,0.22357913851737976,0.23631936311721802,1.0000001192092896,0.07096879929304123,0.19136545062065125,0.18435479700565338,0.2785272002220154,0.07701034098863602
also,0.42747777700424194,0.39334940910339355,0.5149940252304077,0.2749526798725128,0.23682668805122375,0.36242780089378357,0.5348826050758362,0.6021018624305725,0.27476316690444946,0.21848613023757935
heard,0.31528279185295105,0.315571129322052,0.22351115942001343,0.24868144094944,0.1194152757525444,0.20279142260551453,0.21589848399162292,0.2628673017024994,0.2585451900959015,0.2273091822862625
her,0.2733216881752014,0.3056010603904724,0.29850003123283386,0.2748923897743225,0.22380778193473816,0.17698298394680023,0.34728822112083435,0.354963481426239,0.3394017517566681,0.20310723781585693
songs,0.2281436324119568,0.23489907383918762,0.2194155603647232,0.1592787504196167,0.13023513555526733,0.2006932497024536,0.19596417248249054,0.21576808393001556,0.21626922488212585,0.18278652429580688
;,0.10986888408660889,0.10727239400148392,-0.02122584730386734,0.026356227695941925,0.03707258403301239,0.06261929124593735,0.0979827418923378,0.09152708947658539,0.03552359342575073,0.10349778085947037
he,0.3114890456199646,0.3292143940925598,0.4393508732318878,0.22465172410011292,0.2879990041255951,0.19599148631095886,0.385390967130661,0.4571082592010498,0.21455024182796478,0.2089974731206894
followed,0.20169416069984436,0.2675115466117859,0.2840714454650879,0.10682059824466705,0.13180989027023315,0.19272315502166748,0.23444271087646484,0.3567860722541809,0.19322387874126434,0.20567169785499573
the,0.42745697498321533,0.34736719727516174,0.5829201340675354,0.18643268942832947,0.18435479700565338,0.30239659547805786,0.535392165184021,1.0,0.23196867108345032,0.22068053483963013
fishermen,0.19666218757629395,0.21892036497592926,0.2086358666419983,0.23499013483524323,0.32112565636634827,0.2568189203739166,0.3186836540699005,0.255075067281723,0.2529171109199524,0.13276448845863342
and,0.31309178471565247,0.34479495882987976,0.3739250600337982,0.27564767003059387,0.2584588825702667,0.276123583316803,0.48971283435821533,0.5171257257461548,0.20474925637245178,0.20544172823429108
captured,0.1119019091129303,0.14055760204792023,0.21114401519298553,0.21603740751743317,0.2918029725551605,0.09924671798944473,0.22367680072784424,0.2944179177284241,0.2021985799074173,0.11851847916841507
the,0.42745697498321533,0.34736719727516174,0.5829201340675354,0.18643268942832947,0.18435479700565338,0.30239659547805786,0.535392165184021,1.0,0.23196867108345032,0.22068053483963013
mermaid,0.16442129015922546,0.2370295226573944,0.30216071009635925,0.33662527799606323,0.2785272002220154,0.15070724487304688,0.18397963047027588,0.23196867108345032,1.0000001192092896,0.14786650240421295
.,0.3567904531955719,0.35288307070732117,0.50484299659729,0.2176123559474945,0.20333921909332275,0.3613996207714081,0.4645031690597534,0.5934505462646484,0.19383952021598816,0.4130953550338745
