,when,were,shimer,college,students,allowed,to,transfer,to,the,university,of,chicago,?
during,0.46721696853637695,0.4064035415649414,0.14873239398002625,0.1546722799539566,0.1957223117351532,0.2935246229171753,0.2828781306743622,0.18304096162319183,0.2828781306743622,0.4838213622570038,0.17872242629528046,0.3869180977344513,0.193810373544693,0.1325719803571701
this,0.4959332048892975,0.25469228625297546,0.1924518197774887,0.1553061455488205,0.2299622893333435,0.3355235159397125,0.5759071707725525,0.2998858094215393,0.5759071707725525,0.6274310946464539,0.16441507637500763,0.45148900151252747,0.22182166576385498,0.3155723512172699
period,0.3356073200702667,0.2902187407016754,0.19714149832725525,0.16838040947914124,0.14483660459518433,0.2768515944480896,0.24346192181110382,0.1341555416584015,0.24346192181110382,0.3125074505805969,0.122846320271492,0.2698146104812622,0.12295769900083542,0.18706195056438446
the,0.5091903209686279,0.3906462490558624,0.28562697768211365,0.19751401245594025,0.25268980860710144,0.2985120713710785,0.535392165184021,0.2638886570930481,0.535392165184021,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.22068053483963013
university,0.20851898193359375,0.153096005320549,0.2346840351819992,0.6649739742279053,0.4958297908306122,0.18503688275814056,0.20192374289035797,0.208620086312294,0.20192374289035797,0.263973206281662,1.0,0.30646374821662903,0.29005804657936096,0.11887256056070328
",",0.36674630641937256,0.36755475401878357,0.27699780464172363,0.23942269384860992,0.26501646637916565,0.2785535454750061,0.44245919585227966,0.22297655045986176,0.44245919585227966,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.2679542899131775,0.31091248989105225
like,0.4158523678779602,0.3280778229236603,0.16021619737148285,0.1434919536113739,0.12978984415531158,0.2960881292819977,0.35482415556907654,0.0832153856754303,0.35482415556907654,0.32912567257881165,0.11473323404788971,0.3244853615760803,0.1286744624376297,0.3268813192844391
shimer,0.2366945445537567,0.1676063984632492,1.0,0.20053896307945251,0.15839403867721558,0.06292924284934998,0.18660347163677216,0.2149437963962555,0.18660347163677216,0.28562697768211365,0.2346840351819992,0.23183228075504303,0.1341473013162613,0.177059605717659
college,0.1806776076555252,0.12271390855312347,0.20053896307945251,0.9999999403953552,0.4935513734817505,0.14061596989631653,0.21170179545879364,0.1633056402206421,0.21170179545879364,0.19751401245594025,0.6649739742279053,0.2384195327758789,0.24562261998653412,0.11076676845550537
and,0.4716290831565857,0.42175528407096863,0.27424153685569763,0.24619808793067932,0.28111961483955383,0.30774351954460144,0.48971283435821533,0.19501058757305145,0.48971283435821533,0.5171257257461548,0.2665814459323883,0.5116966962814331,0.23260825872421265,0.20544172823429108
10,0.057211097329854965,0.24970363080501556,0.09462183713912964,0.1140398383140564,0.15871745347976685,0.14719648659229279,0.18753696978092194,0.020638834685087204,0.18753696978092194,0.2880653440952301,0.14334461092948914,0.2777891755104065,0.07646723836660385,0.022911956533789635
others,0.2903258502483368,0.3752252161502838,0.14405328035354614,0.17668408155441284,0.3390945792198181,0.2819770574569702,0.39868634939193726,0.18635748326778412,0.39868634939193726,0.34376874566078186,0.1600433886051178,0.2793974280357361,0.16432105004787445,0.26705288887023926
",",0.36674630641937256,0.36755475401878357,0.27699780464172363,0.23942269384860992,0.26501646637916565,0.2785535454750061,0.44245919585227966,0.22297655045986176,0.44245919585227966,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.2679542899131775,0.31091248989105225
