,what,network,did,abc,beat,out,for,third,place,in,television,ratings,in,2010-11,?
despite,0.1825345903635025,0.20337042212486267,0.38115930557250977,0.12051708251237869,0.22493083775043488,0.2752241790294647,0.3311030864715576,0.16325721144676208,0.2146959751844406,0.27473363280296326,0.1659313291311264,0.2878780961036682,0.27473363280296326,0.05177443102002144,0.14350546896457672
this,0.5489566326141357,0.2292335033416748,0.3609912693500519,0.16107726097106934,0.1391477733850479,0.34908437728881836,0.5082864165306091,0.3156605660915375,0.34875795245170593,0.45205554366111755,0.19965235888957977,0.2779045104980469,0.45205554366111755,0.24746252596378326,0.3155723512172699
and,0.31309178471565247,0.27591994404792786,0.34479495882987976,0.16453155875205994,0.2474934160709381,0.3881998062133789,0.5064792633056641,0.26207348704338074,0.2813849449157715,0.4954058527946472,0.29514092206954956,0.24109064042568207,0.4954058527946472,0.1643197387456894,0.20544172823429108
another,0.4190070629119873,0.1893324851989746,0.29175329208374023,0.16896098852157593,0.1987071931362152,0.2994861304759979,0.36770403385162354,0.3690877854824066,0.3504071533679962,0.3397690951824188,0.13966171443462372,0.11639904975891113,0.3397690951824188,0.09190106391906738,0.295511931180954
noticeable,0.3206934630870819,0.07484697550535202,0.26719772815704346,0.04343990236520767,0.11119703948497772,0.23668232560157776,0.23937442898750305,0.20980340242385864,0.23809395730495453,0.3153868317604065,0.13728904724121094,0.19293203949928284,0.3153868317604065,0.10710734128952026,0.2097647488117218
ratings,0.19882218539714813,0.3223499059677124,0.22082966566085815,0.2876999080181122,0.14084242284297943,0.2670413851737976,0.2655225098133087,0.1541464626789093,0.18893598020076752,0.17289267480373383,0.34251588582992554,0.9999999403953552,0.17289267480373383,-0.04817740619182587,0.19248855113983154
decline,0.2257683128118515,0.12028981000185013,0.2544007897377014,0.17604409158229828,0.21973635256290436,0.15203365683555603,0.253497838973999,0.17946161329746246,0.12155359238386154,0.2551143169403076,0.11484423279762268,0.2199818342924118,0.2551143169403076,0.15935443341732025,0.131937175989151
",",0.3087472915649414,0.1932937651872635,0.3015086054801941,0.2097204476594925,0.2718006372451782,0.3161109685897827,0.4464869201183319,0.283071368932724,0.34068408608436584,0.5201468467712402,0.27995240688323975,0.21650241315364838,0.5201468467712402,0.16264760494232178,0.31091248989105225
abc,0.1317344456911087,0.4295894205570221,0.13353709876537323,1.0000001192092896,0.07653925567865372,0.10688900202512741,0.22510288655757904,0.09984055906534195,0.13112665712833405,0.1697147786617279,0.46871840953826904,0.2876999080181122,0.1697147786617279,-0.08597566187381744,0.19065172970294952
would,0.45766422152519226,0.15532255172729492,0.6268245577812195,0.13780725002288818,0.15385779738426208,0.37045037746429443,0.39877474308013916,0.2406044900417328,0.2701779305934906,0.30461156368255615,0.17012080550193787,0.2627636790275574,0.30461156368255615,0.21176959574222565,0.37178951501846313
manage,0.265919029712677,0.18527638912200928,0.2639290988445282,0.07738334685564041,0.16929948329925537,0.24673913419246674,0.2579313814640045,0.12190952152013779,0.11903782933950424,0.2503184974193573,0.11119876056909561,0.13318489491939545,0.2503184974193573,0.0682176947593689,0.2014334350824356
to,0.455847829580307,0.25940340757369995,0.4452643394470215,0.1762417107820511,0.24239139258861542,0.42386990785598755,0.4451248347759247,0.2795414924621582,0.3346366882324219,0.45010748505592346,0.1933557242155075,0.23899689316749573,0.45010748505592346,0.1513209342956543,0.29463258385658264
outrate,0.41134458780288696,0.20923517644405365,0.3179137706756592,0.16828002035617828,0.1298307478427887,0.3777531385421753,0.31972789764404297,0.1432322859764099,0.16967236995697021,0.2540348172187805,0.14986225962638855,0.23232464492321014,0.2540348172187805,0.11420591920614243,0.2944021224975586
nbc,0.1638578325510025,0.4656192362308502,0.1728760302066803,0.63486248254776,0.10840529203414917,0.11663094907999039,0.22503440082073212,0.11985988914966583,0.10189764946699142,0.19303210079669952,0.5602048635482788,0.30408090353012085,0.19303210079669952,-0.05124630779027939,0.1680917739868164
for,0.3017193675041199,0.253274142742157,0.318512886762619,0.22510288655757904,0.22148346900939941,0.3312093913555145,0.9999999403953552,0.2187870591878891,0.3033463954925537,0.4322226941585541,0.27045196294784546,0.2655225098133087,0.4322226941585541,0.07804778963327408,0.264628142118454
third,0.2033906877040863,0.1316571980714798,0.19128914177417755,0.09984055906534195,0.3082706332206726,0.21911688148975372,0.2187870591878891,1.0,0.30248400568962097,0.3309578001499176,0.1466340273618698,0.1541464626789093,0.3309578001499176,0.06474629789590836,0.15394791960716248
place,0.2689766585826874,0.15428373217582703,0.24020224809646606,0.13112665712833405,0.2154035121202469,0.29128244519233704,0.3033463954925537,0.30248400568962097,1.0,0.38128477334976196,0.17430277168750763,0.18893598020076752,0.38128477334976196,0.18617641925811768,0.2455766350030899
by,0.2455483376979828,0.214903324842453,0.18574509024620056,0.17600902915000916,0.19276173412799835,0.29497629404067993,0.3248702883720398,0.28581833839416504,0.22235022485256195,0.370934396982193,0.23368048667907715,0.1909763514995575,0.370934396982193,0.07421700656414032,0.17966607213020325
a,0.3320399522781372,0.17299489676952362,0.2552328109741211,0.21331243216991425,0.17927181720733643,0.34264278411865234,0.44038116931915283,0.35260438919067383,0.3079278767108917,0.539380669593811,0.22552843391895294,0.1921599805355072,0.539380669593811,0.10744737833738327,0.23916715383529663
larger,0.23663538694381714,0.10098250210285187,0.17694389820098877,-0.006962875835597515,0.12407427281141281,0.2171550691127777,0.18703162670135498,0.17507697641849518,0.1550460308790207,0.26689091324806213,0.11443888396024704,0.0827864408493042,0.26689091324806213,0.18913108110427856,0.1602165699005127
margin,0.23067790269851685,0.16519232094287872,0.13000722229480743,0.16080334782600403,0.1396603286266327,0.14737901091575623,0.18464866280555725,0.09965380281209946,0.13348327577114105,0.17086492478847504,0.1336781531572342,0.17887775599956512,0.17086492478847504,0.09960116446018219,0.20245680212974548
than,0.29388150572776794,0.1737969070672989,0.24820660054683685,0.05868885666131973,0.1586778312921524,0.26693058013916016,0.30793827772140503,0.22376805543899536,0.23032258450984955,0.3270052373409271,0.1793273538351059,0.20349565148353577,0.3270052373409271,0.1799040138721466,0.24917294085025787
the,0.42745697498321533,0.27187061309814453,0.34736719727516174,0.2068762183189392,0.24951939284801483,0.39404502511024475,0.4739971458911896,0.4229298532009125,0.4179787337779999,0.6662389636039734,0.24569597840309143,0.23356813192367554,0.6662389636039734,0.204135000705719,0.22068053483963013
previous,0.2743692696094513,0.10125521570444107,0.24347156286239624,0.19241854548454285,0.2533265948295593,0.2637413442134857,0.27794817090034485,0.26550620794296265,0.15569482743740082,0.2318485975265503,0.20452247560024261,0.24937769770622253,0.2318485975265503,0.055823612958192825,0.16724538803100586
year,0.15184831619262695,0.1478661298751831,0.21422851085662842,0.2373921275138855,0.2083621621131897,0.2501937747001648,0.29294124245643616,0.2643231749534607,0.24802261590957642,0.3359307050704956,0.19048495590686798,0.21106885373592377,0.3359307050704956,0.09006424993276596,0.18315006792545319
.,0.3567904531955719,0.23909442126750946,0.35288307070732117,0.2567209303379059,0.2967934012413025,0.34234723448753357,0.4726039469242096,0.3039522171020508,0.2844318151473999,0.5591574311256409,0.2806251645088196,0.2822798490524292,0.5591574311256409,0.13488268852233887,0.4130953550338745
