,in,1984,thomas,murphy,contacted,leonard,goldenson,about,merging,abc,with,what,company,?
in,1.0,0.006334475241601467,0.21133768558502197,0.2727879285812378,0.1499972939491272,0.22365060448646545,0.2430626004934311,0.39797019958496094,0.2056596875190735,0.1697147786617279,0.4080928862094879,0.30808621644973755,0.22141718864440918,0.20430970191955566
december,0.25854936242103577,0.15189993381500244,0.19144757091999054,0.22858977317810059,0.21188592910766602,0.24477140605449677,0.17760419845581055,0.1457035392522812,0.2632257640361786,0.16602325439453125,0.14869219064712524,0.19304980337619781,0.16693733632564545,0.2480352818965912
1984,0.006334475241601467,1.0,0.19821232557296753,0.2607041597366333,-0.021779201924800873,0.16536971926689148,0.22352221608161926,0.02567019872367382,0.04392030090093613,0.225337415933609,-0.02187938429415226,-0.09343484789133072,0.042282331734895706,0.07765956968069077
",",0.5201468467712402,0.1623975932598114,0.25079426169395447,0.2993151843547821,0.2615499794483185,0.27495285868644714,0.3194567561149597,0.3877100944519043,0.27769216895103455,0.2097204476594925,0.4120737314224243,0.3087472915649414,0.2697763442993164,0.31091248989105225
thomas,0.21133768558502197,0.19821232557296753,1.0000001192092896,0.24473543465137482,0.19674403965473175,0.3337373733520508,0.2616429030895233,0.0746358335018158,0.04656373709440231,0.21790172159671783,0.1763175129890442,0.1806955188512802,0.20558100938796997,0.16133050620555878
s.,-0.11448613554239273,-0.032239094376564026,-0.04167528823018074,-0.01850704848766327,-0.027632225304841995,-0.07387539744377136,-0.039220426231622696,-0.06560122966766357,-0.0012257285416126251,0.050216104835271835,0.027645166963338852,0.027025721967220306,-0.02442912384867668,0.07581593841314316
murphy,0.2727879285812378,0.2607041597366333,0.24473543465137482,1.0,0.19975242018699646,0.2973095178604126,0.30494096875190735,0.13521790504455566,0.13358943164348602,0.2258860468864441,0.22085578739643097,0.15905806422233582,0.15456737577915192,0.1981727033853531
",",0.5201468467712402,0.1623975932598114,0.25079426169395447,0.2993151843547821,0.2615499794483185,0.27495285868644714,0.3194567561149597,0.3877100944519043,0.27769216895103455,0.2097204476594925,0.4120737314224243,0.3087472915649414,0.2697763442993164,0.31091248989105225
chief,0.17961405217647552,0.0738016739487648,0.19216108322143555,0.16483408212661743,0.1983347088098526,0.25895386934280396,0.13451354205608368,0.08748653531074524,0.14080873131752014,0.10720478743314743,0.16979607939720154,0.1647547483444214,0.19783814251422882,0.09466830641031265
executive,0.1878502070903778,0.04851851984858513,0.22140814363956451,0.21122579276561737,0.2659298777580261,0.24440394341945648,0.27665114402770996,0.1141403391957283,0.15723979473114014,0.19940198957920074,0.20230282843112946,0.13765592873096466,0.3044516146183014,0.12134998291730881
officer,0.24015754461288452,0.13748699426651,0.20226891338825226,0.23531422019004822,0.27611199021339417,0.24603502452373505,0.12366031855344772,0.1832907497882843,0.09556712210178375,0.16009317338466644,0.1907588094472885,0.18551595509052277,0.30657002329826355,0.119948610663414
of,0.5696388483047485,0.018355052918195724,0.18699592351913452,0.1612769067287445,0.137363001704216,0.1521100252866745,0.21861588954925537,0.40939709544181824,0.16798439621925354,0.14607268571853638,0.41827285289764404,0.33290785551071167,0.20467796921730042,0.1826142966747284
capital,0.3233928978443146,0.1237071231007576,0.1050117239356041,0.15933264791965485,0.06774420291185379,0.004551712889224291,0.07871631532907486,0.21338164806365967,0.22570934891700745,0.2084534764289856,0.13558538258075714,0.17967931926250458,0.1646019071340561,0.0907452180981636
cities,0.32293570041656494,0.03783395141363144,0.10111796855926514,0.09721031039953232,0.07545685768127441,0.10452472418546677,0.10966327786445618,0.16328372061252594,0.28313422203063965,0.124558225274086,0.22294199466705322,0.161918506026268,0.1966787576675415,0.13339310884475708
communications,0.1869867891073227,-0.005320688243955374,0.1331815868616104,0.15685158967971802,0.3570781946182251,0.199477419257164,0.1563195437192917,0.16892170906066895,0.21845664083957672,0.25629571080207825,0.2486184537410736,0.18950708210468292,0.30990004539489746,0.09561901539564133
",",0.5201468467712402,0.1623975932598114,0.25079426169395447,0.2993151843547821,0.2615499794483185,0.27495285868644714,0.3194567561149597,0.3877100944519043,0.27769216895103455,0.2097204476594925,0.4120737314224243,0.3087472915649414,0.2697763442993164,0.31091248989105225
contacted,0.1499972939491272,-0.021779201924800873,0.19674403965473175,0.19975242018699646,1.0000001192092896,0.24128925800323486,0.17472973465919495,0.2514759302139282,0.15746670961380005,0.21558703482151031,0.28229814767837524,0.29682064056396484,0.250339150428772,0.30126768350601196
leonard,0.22365060448646545,0.16536971926689148,0.3337373733520508,0.2973095178604126,0.24128925800323486,1.0,0.30372458696365356,0.08395581692457199,0.1612536758184433,0.16451872885227203,0.12471959739923477,0.1570405662059784,0.1737263798713684,0.1752568930387497
goldenson,0.2430626004934311,0.22352221608161926,0.2616429030895233,0.30494096875190735,0.17472973465919495,0.30372458696365356,1.0,0.20936498045921326,0.18817025423049927,0.29072654247283936,0.22288626432418823,0.24370093643665314,0.3027794659137726,0.2495560646057129
