,what,are,auricles,?
between,0.2462156116962433,0.2766000032424927,0.18602998554706573,0.12887074053287506
the,0.42745697498321533,0.40399202704429626,0.33550047874450684,0.22068053483963013
lobes,0.2680743336677551,0.38516199588775635,0.43482014536857605,0.13856348395347595
on,0.34226128458976746,0.268924742937088,0.16318173706531525,0.2714994251728058
either,0.3851809501647949,0.4060882031917572,0.17877350747585297,0.31498292088508606
side,0.2532914876937866,0.2605273127555847,0.12175671756267548,0.07831130921840668
of,0.33290785551071167,0.39081433415412903,0.30034124851226807,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,0.33550047874450684,0.22068053483963013
mouth,0.18337541818618774,0.20501531660556793,0.23494666814804077,0.21761061251163483
",",0.3087472915649414,0.4062570035457611,0.25997117161750793,0.31091248989105225
many,0.36131182312965393,0.5655534863471985,0.25531214475631714,0.2124512493610382
species,0.14617158472537994,0.3297041952610016,0.22578726708889008,0.1957087516784668
of,0.33290785551071167,0.39081433415412903,0.30034124851226807,0.1826142966747284
lobates,0.14199547469615936,0.3254562318325043,0.2786640226840973,0.2026495784521103
have,0.39808809757232666,0.6577680706977844,0.28104421496391296,0.32991164922714233
four,0.18057085573673248,0.3568944036960602,0.24379803240299225,0.14532537758350372
auricles,0.21166424453258514,0.2770024836063385,0.9999999403953552,0.21453310549259186
",",0.3087472915649414,0.4062570035457611,0.25997117161750793,0.31091248989105225
gelatinous,0.15438850224018097,0.4187321364879608,0.33148980140686035,0.17941416800022125
projections,0.24621178209781647,0.320087730884552,0.19466818869113922,0.26596105098724365
edged,0.13539952039718628,0.22792662680149078,0.13847000896930695,0.08233875781297684
with,0.2464839518070221,0.38996943831443787,0.27418482303619385,0.2433311939239502
cilia,0.17923450469970703,0.29726603627204895,0.37756839394569397,0.15204964578151703
that,0.6297725439071655,0.45265161991119385,0.2529236674308777,0.32716336846351624
produce,0.1685742735862732,0.3308704197406769,0.2497197687625885,0.19229066371917725
water,0.17456887662410736,0.26855918765068054,0.2473224252462387,0.14731885492801666
currents,0.2076863795518875,0.3273540437221527,0.24589428305625916,0.07452256232500076
that,0.6297725439071655,0.45265161991119385,0.2529236674308777,0.32716336846351624
help,0.3728281855583191,0.2738749086856842,0.15058116614818573,0.28403452038764954
direct,0.26271191239356995,0.18297041952610016,0.1526334136724472,0.18476411700248718
microscopic,0.22313661873340607,0.2774121165275574,0.36363551020622253,0.18998190760612488
prey,0.21349354088306427,0.28169316053390503,0.32311058044433594,0.15793472528457642
toward,0.2619364559650421,0.22773204743862152,0.12701766192913055,0.09989774227142334
the,0.42745697498321533,0.40399202704429626,0.33550047874450684,0.22068053483963013
mouth,0.18337541818618774,0.20501531660556793,0.23494666814804077,0.21761061251163483
.,0.3567904531955719,0.3452940285205841,0.27171364426612854,0.4130953550338745
