,what,directly,opposes,the,force,applied,to,move,an,object,across,a,surface,?
in,0.30808621644973755,0.25104159116744995,0.16177918016910553,0.6662389636039734,0.21744468808174133,0.2475845366716385,0.45010748505592346,0.23030683398246765,0.2605783939361572,0.18661287426948547,0.36988839507102966,0.539380669593811,0.20246390998363495,0.20430970191955566
such,0.23989605903625488,0.2772268056869507,0.2198735773563385,0.3575236201286316,0.15871496498584747,0.23916633427143097,0.2871878743171692,0.1918044090270996,0.2025681436061859,0.21041031181812286,0.2170799970626831,0.2706976532936096,0.2401381880044937,0.17851735651493073
a,0.3320399522781372,0.27976194024086,0.24588175117969513,0.5829201340675354,0.2451154738664627,0.24149316549301147,0.45503583550453186,0.2925316393375397,0.44552403688430786,0.3271922171115875,0.2660536468029022,1.0,0.24436084926128387,0.23916715383529663
situation,0.4481324255466461,0.31018558144569397,0.422387033700943,0.29657405614852905,0.2271081656217575,0.23823294043540955,0.3826505243778229,0.24537575244903564,0.291826069355011,0.25904032588005066,0.23618999123573303,0.2909733057022095,0.1820867657661438,0.2714049518108368
",",0.3087472915649414,0.24953341484069824,0.26877665519714355,0.4933079481124878,0.22091743350028992,0.28330111503601074,0.44245919585227966,0.25767531991004944,0.3581022024154663,0.149229496717453,0.22515052556991577,0.427140474319458,0.23000483214855194,0.31091248989105225
a,0.3320399522781372,0.27976194024086,0.24588175117969513,0.5829201340675354,0.2451154738664627,0.24149316549301147,0.45503583550453186,0.2925316393375397,0.44552403688430786,0.3271922171115875,0.2660536468029022,1.0,0.24436084926128387,0.23916715383529663
force,0.16915984451770782,0.1590159386396408,0.2913607358932495,0.2800885736942291,1.0000001192092896,0.28749921917915344,0.24496492743492126,0.2472643256187439,0.21655116975307465,0.32587239146232605,0.2086237519979477,0.2451154738664627,0.25219762325286865,0.1650998443365097
is,0.28837618231773376,0.2819631099700928,0.25338390469551086,0.5823672413825989,0.22036980092525482,0.21050988137722015,0.42745086550712585,0.2520518898963928,0.4654068350791931,0.30146875977516174,0.21617691218852997,0.658733606338501,0.29345643520355225,0.22961433231830597
applied,0.1944669634103775,0.2763640880584717,0.2434452474117279,0.22842662036418915,0.28749921917915344,0.9999999403953552,0.26928162574768066,0.25170618295669556,0.22066234052181244,0.33323290944099426,0.17645657062530518,0.24149316549301147,0.2864915132522583,0.15585725009441376
in,0.30808621644973755,0.25104159116744995,0.16177918016910553,0.6662389636039734,0.21744468808174133,0.2475845366716385,0.45010748505592346,0.23030683398246765,0.2605783939361572,0.18661287426948547,0.36988839507102966,0.539380669593811,0.20246390998363495,0.20430970191955566
