,which,tribes,did,genghis,khan,unite,?
genghis,0.26472097635269165,0.4128517806529999,0.18339850008487701,1.0,0.5896923542022705,0.28938692808151245,0.18813461065292358
khan,0.19211235642433167,0.2990405559539795,0.155345618724823,0.5896923542022705,1.0,0.2378082573413849,0.12862591445446014
united,0.2821946144104004,0.13358844816684723,0.21137088537216187,0.17949295043945312,0.15458068251609802,0.5070401430130005,0.17266890406608582
the,0.6521818041801453,0.26830655336380005,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.34316903352737427,0.22068053483963013
mongol,0.22227831184864044,0.3928619921207428,0.17534953355789185,0.6244974732398987,0.5576101541519165,0.2946244776248932,0.12849251925945282
and,0.506277859210968,0.2041163444519043,0.34479495882987976,0.26551535725593567,0.22885166108608246,0.2816178798675537,0.20544172823429108
turkic,0.2068209946155548,0.42216867208480835,0.15844887495040894,0.46669715642929077,0.39127790927886963,0.24669720232486725,0.16415703296661377
tribes,0.17691141366958618,0.9999999403953552,0.17429257929325104,0.4128517806529999,0.2990405559539795,0.3570443093776703,0.08824794739484787
of,0.5011631846427917,0.21502000093460083,0.2513895630836487,0.2938849925994873,0.17124508321285248,0.3251948952674866,0.1826142966747284
the,0.6521818041801453,0.26830655336380005,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.34316903352737427,0.22068053483963013
steppes,0.2256207913160324,0.3608200252056122,0.17785964906215668,0.37381798028945923,0.29208433628082275,0.24352842569351196,0.1251925528049469
and,0.506277859210968,0.2041163444519043,0.34479495882987976,0.26551535725593567,0.22885166108608246,0.2816178798675537,0.20544172823429108
became,0.17613163590431213,0.13230539858341217,0.3632316589355469,0.2328619807958603,0.19657786190509796,0.2471906691789627,0.11374033987522125
great,0.2356490194797516,0.20757634937763214,0.2083706259727478,0.3619271516799927,0.22385743260383606,0.2177755981683731,0.13135133683681488
khan,0.19211235642433167,0.2990405559539795,0.155345618724823,0.5896923542022705,1.0,0.2378082573413849,0.12862591445446014
in,0.4840516746044159,0.19281157851219177,0.2593238651752472,0.224680557847023,0.1527150720357895,0.32018664479255676,0.20430970191955566
1206,0.09200793504714966,-0.07948599755764008,0.0955093652009964,-0.09944344311952591,-0.023192433640360832,0.05260668322443962,0.02363857440650463
.,0.45942068099975586,0.10744687169790268,0.35288307070732117,0.25373268127441406,0.19819748401641846,0.21763083338737488,0.4130953550338745
