,who,appoints,elders,?
they,0.47879111766815186,0.15776224434375763,0.2968265116214752,0.2753053903579712
may,0.23082798719406128,0.15298306941986084,0.18934345245361328,0.2768254578113556
be,0.3371641933917999,0.1479661613702774,0.18352632224559784,0.3324260413646698
appointed,0.3215055465698242,0.8140092492103577,0.2789372503757477,0.13895352184772491
to,0.42656609416007996,0.24787895381450653,0.23043686151504517,0.29463258385658264
the,0.3733934462070465,0.2540651261806488,0.20180752873420715,0.22068053483963013
local,0.20416545867919922,0.25322288274765015,0.21094626188278198,0.15022775530815125
church,0.19418756663799286,0.17975805699825287,0.22644998133182526,0.18081501126289368
",",0.3365725874900818,0.2823542356491089,0.14384935796260834,0.31091248989105225
or,0.31144875288009644,0.17668446898460388,0.2126440852880478,0.32389625906944275
to,0.42656609416007996,0.24787895381450653,0.23043686151504517,0.29463258385658264
other,0.3612329661846161,0.17478525638580322,0.21172364056110382,0.24682199954986572
valid,0.15643958747386932,0.19334539771080017,0.12189694494009018,0.27800852060317993
extension,0.09699306637048721,0.11031018197536469,0.0435737781226635,0.24237069487571716
ministries,0.2500078082084656,0.4137036204338074,0.28792744874954224,0.15872813761234283
of,0.2827862501144409,0.31796789169311523,0.19022433459758759,0.1826142966747284
the,0.3733934462070465,0.2540651261806488,0.20180752873420715,0.22068053483963013
church,0.19418756663799286,0.17975805699825287,0.22644998133182526,0.18081501126289368
.,0.3541337847709656,0.21293091773986816,0.13121041655540466,0.4130953550338745
,who,appoints,elders,?
elders,0.3670375347137451,0.3379708528518677,1.0,0.11241849511861801
are,0.27294138073921204,0.09746233373880386,0.1925610899925232,0.24591213464736938
called,0.3151143789291382,0.10892698168754578,0.22372454404830933,0.18963319063186646
by,0.39727845788002014,0.24505499005317688,0.1359112411737442,0.17966607213020325
god,0.30252742767333984,0.21050982177257538,0.22105024755001068,0.23396754264831543
",",0.3365725874900818,0.2823542356491089,0.14384935796260834,0.31091248989105225
affirmed,0.2485743761062622,0.328849732875824,0.27107885479927063,0.18072663247585297
by,0.39727845788002014,0.24505499005317688,0.1359112411737442,0.17966607213020325
the,0.3733934462070465,0.2540651261806488,0.20180752873420715,0.22068053483963013
church,0.19418756663799286,0.17975805699825287,0.22644998133182526,0.18081501126289368
",",0.3365725874900818,0.2823542356491089,0.14384935796260834,0.31091248989105225
and,0.41279885172843933,0.2617189884185791,0.20455971360206604,0.20544172823429108
ordained,0.2565222978591919,0.4662137031555176,0.23807857930660248,0.2412128895521164
by,0.39727845788002014,0.24505499005317688,0.1359112411737442,0.17966607213020325
a,0.36608949303627014,0.16389703750610352,0.15844552218914032,0.23916715383529663
bishop,0.19501325488090515,0.3107982575893402,0.16998250782489777,0.19730713963508606
to,0.42656609416007996,0.24787895381450653,0.23043686151504517,0.29463258385658264
a,0.36608949303627014,0.16389703750610352,0.15844552218914032,0.23916715383529663
ministry,0.16792069375514984,0.33896467089653015,0.16001290082931519,0.18168897926807404
of,0.2827862501144409,0.31796789169311523,0.19022433459758759,0.1826142966747284
word,0.21585002541542053,0.06520262360572815,0.12231595814228058,0.19046713411808014
",",0.3365725874900818,0.2823542356491089,0.14384935796260834,0.31091248989105225
sacrament,0.25709813833236694,0.2004087120294571,0.2176162600517273,0.1619669646024704
",",0.3365725874900818,0.2823542356491089,0.14384935796260834,0.31091248989105225
order,0.226639986038208,0.2809852957725525,0.17401395738124847,0.13725648820400238
and,0.41279885172843933,0.2617189884185791,0.20455971360206604,0.20544172823429108
service,0.21098247170448303,0.26613157987594604,0.13132071495056152,0.1676298975944519
within,0.18261831998825073,0.1992286890745163,0.19198091328144073,0.1870293766260147
the,0.3733934462070465,0.2540651261806488,0.20180752873420715,0.22068053483963013
church,0.19418756663799286,0.17975805699825287,0.22644998133182526,0.18081501126289368
.,0.3541337847709656,0.21293091773986816,0.13121041655540466,0.4130953550338745
