,pollution,of,water,by,nitrates,and,phosphates,will,encourage,the,growth,of,what,?
water,0.47903650999069214,0.2741255462169647,0.9999998807907104,0.22562243044376373,0.4899146854877472,0.3054247498512268,0.4389307498931885,0.22281214594841003,0.21935255825519562,0.297396719455719,0.2085668444633484,0.2741255462169647,0.17456887662410736,0.14731885492801666
polluted,0.8037043213844299,0.28041836619377136,0.5012126564979553,0.23453402519226074,0.4572596549987793,0.2676697075366974,0.3680001497268677,0.21794894337654114,0.2846392095088959,0.2813153862953186,0.2655502259731293,0.28041836619377136,0.18545682728290558,0.1981344074010849
with,0.21122336387634277,0.41827285289764404,0.20542247593402863,0.39731505513191223,0.28143197298049927,0.5477725267410278,0.23906779289245605,0.33888739347457886,0.27083301544189453,0.4223487675189972,0.1721288114786148,0.41827285289764404,0.2464839518070221,0.2433311939239502
plant,0.3375174105167389,0.26645857095718384,0.3316476047039032,0.20213352143764496,0.35426124930381775,0.2409428209066391,0.3049115240573883,0.191170796751976,0.24242466688156128,0.28395459055900574,0.3470160961151123,0.26645857095718384,0.23371253907680511,0.16613075137138367
nutrients,0.39432790875434875,0.25025326013565063,0.5306257605552673,0.16697198152542114,0.5021687746047974,0.2685457468032837,0.5319322943687439,0.32484108209609985,0.29887720942497253,0.3074814975261688,0.4046580493450165,0.25025326013565063,0.19869805872440338,0.1917695254087448
such,0.310960054397583,0.3209529519081116,0.3053470849990845,0.2736194431781769,0.32052552700042725,0.44540345668792725,0.2850947678089142,0.26228058338165283,0.3121277987957001,0.3575236201286316,0.1791546493768692,0.3209529519081116,0.23989605903625488,0.17851735651493073
as,0.22893749177455902,0.3886612355709076,0.21305090188980103,0.3815547823905945,0.2450486570596695,0.49487000703811646,0.23996329307556152,0.3047071695327759,0.28108420968055725,0.48381632566452026,0.2124733328819275,0.3886612355709076,0.31749409437179565,0.27043893933296204
nitrates,0.46119561791419983,0.22266438603401184,0.4899146854877472,0.2328079491853714,0.9999998807907104,0.2896411716938019,0.680603563785553,0.23679164052009583,0.18318133056163788,0.25121599435806274,0.26208850741386414,0.22266438603401184,0.18288998305797577,0.1485970914363861
or,0.29520875215530396,0.3792596757411957,0.3301985263824463,0.30274316668510437,0.32558363676071167,0.4713204801082611,0.3204314410686493,0.41331517696380615,0.33787357807159424,0.4174870550632477,0.2153436541557312,0.3792596757411957,0.33867141604423523,0.32389625906944275
phosphates,0.36938348412513733,0.2847970128059387,0.4389307498931885,0.21411815285682678,0.680603563785553,0.30103492736816406,1.0,0.2281743586063385,0.13167273998260498,0.20471198856830597,0.29100316762924194,0.2847970128059387,0.1758560985326767,0.13050952553749084
may,0.2301989495754242,0.26447007060050964,0.16756772994995117,0.1970296949148178,0.2062315195798874,0.34598252177238464,0.18213289976119995,0.4277452528476715,0.25100377202033997,0.2694292366504669,0.11038567870855331,0.26447007060050964,0.25739946961402893,0.2768254578113556
stimulate,0.2817825376987457,0.17742808163166046,0.2497987598180771,0.2093987762928009,0.2996266186237335,0.17521817982196808,0.34064459800720215,0.28664490580558777,0.3096030056476593,0.23603883385658264,0.34626537561416626,0.17742808163166046,0.24311572313308716,0.11947494000196457
growth,0.35893359780311584,0.2679378092288971,0.2085668444633484,0.1624399870634079,0.26208850741386414,0.2731747627258301,0.29100316762924194,0.20677675306797028,0.28262874484062195,0.2912366986274719,1.0000001192092896,0.2679378092288971,0.1739405393600464,0.07547862827777863
