,where,is,english,spoken,the,most,?
english,0.18434862792491913,0.24613474309444427,0.9999999403953552,0.3860186040401459,0.23982001841068268,0.22193869948387146,0.23251567780971527
is,0.3586711287498474,1.0,0.24613474309444427,0.2947082221508026,0.5823672413825989,0.41165053844451904,0.22961433231830597
widely,0.2329409271478653,0.3153131604194641,0.21251259744167328,0.34129083156585693,0.29394426941871643,0.49901100993156433,0.10354958474636078
spoken,0.15609657764434814,0.2947082221508026,0.3860186040401459,1.0,0.31125280261039734,0.2664935290813446,0.1697215884923935
in,0.5344807505607605,0.5394441485404968,0.19623121619224548,0.23523610830307007,0.6662389636039734,0.41416558623313904,0.20430970191955566
commerce,0.17658182978630066,0.1941758245229721,0.13669277727603912,0.18768590688705444,0.26524990797042847,0.20542989671230316,0.09677373617887497
",",0.3149496018886566,0.4691906273365021,0.3339248597621918,0.29795920848846436,0.4933079481124878,0.3636029064655304,0.31091248989105225
schooling,0.26871007680892944,0.15676039457321167,0.19228734076023102,0.2078111320734024,0.23840026557445526,0.22021986544132233,0.21834523975849152
and,0.43859338760375977,0.3859752118587494,0.3409043252468109,0.20026470720767975,0.5171257257461548,0.4309377074241638,0.20544172823429108
government,0.16681428253650665,0.20343491435050964,0.16949136555194855,0.26692360639572144,0.31798112392425537,0.1977129876613617,0.18851417303085327
.,0.41390106081962585,0.4569662809371948,0.2881386876106262,0.22299833595752716,0.5934505462646484,0.35404038429260254,0.4130953550338745
