,which,doctor,returned,for,the,``,children,in,need,'',show,?
in,0.4840516746044159,0.25567495822906494,0.341925710439682,0.4322226941585541,0.6662389636039734,0.04765888676047325,0.2065156251192093,1.0,0.2129468470811844,0.07432962208986282,0.27595704793930054,0.20430970191955566
2007,-0.07080759108066559,-0.010231979191303253,-0.1831223964691162,-0.15897968411445618,-0.23657195270061493,0.041756823658943176,-0.18864202499389648,-0.2201838344335556,-0.06043655425310135,-0.002170342719182372,-0.09148336946964264,-0.1664225310087204
",",0.3658004403114319,0.20407600700855255,0.24382898211479187,0.4464869201183319,0.4933079481124878,0.09681109338998795,0.28531143069267273,0.5201468467712402,0.25983062386512756,-0.037358131259679794,0.31928569078445435,0.31091248989105225
peter,0.15755018591880798,0.1694607138633728,0.15614823997020721,0.1829002946615219,0.24086274206638336,-0.047846537083387375,0.19122213125228882,0.168073832988739,0.1408887803554535,0.002555171260610223,0.16543519496917725,0.11650477349758148
davison,0.15748091042041779,0.295285165309906,0.2638002336025238,0.2916252017021179,0.2947586476802826,-0.06962183862924576,0.2987476885318756,0.2759539783000946,0.14216716587543488,0.04008542001247406,0.24113860726356506,0.16515596210956573
returned,0.16953375935554504,0.2451178878545761,1.0,0.2675482928752899,0.32857778668403625,0.05045955628156662,0.15819652378559113,0.341925710439682,0.12745091319084167,0.03467629477381706,0.2268332540988922,0.07695316523313522
in,0.4840516746044159,0.25567495822906494,0.341925710439682,0.4322226941585541,0.6662389636039734,0.04765888676047325,0.2065156251192093,1.0,0.2129468470811844,0.07432962208986282,0.27595704793930054,0.20430970191955566
the,0.6521818041801453,0.2820442318916321,0.32857778668403625,0.4739971458911896,1.0,0.029072100296616554,0.15654058754444122,0.6662389636039734,0.2594960331916809,0.041273195296525955,0.319829523563385,0.22068053483963013
children,0.1595885455608368,0.2198420912027359,0.15819652378559113,0.19934585690498352,0.15654058754444122,-0.011867018416523933,1.0,0.2065156251192093,0.15174780786037445,-0.03183069825172424,0.24469324946403503,0.21788206696510315
in,0.4840516746044159,0.25567495822906494,0.341925710439682,0.4322226941585541,0.6662389636039734,0.04765888676047325,0.2065156251192093,1.0,0.2129468470811844,0.07432962208986282,0.27595704793930054,0.20430970191955566
