,how,many,astronauts,was,the,lm,intended,to,take,from,orbit,of,the,moon,to,the,surface,of,the,moon,?
the,0.33890387415885925,0.4335206151008606,0.197182759642601,0.48711544275283813,1.0,0.25534775853157043,0.29853108525276184,0.535392165184021,0.31620436906814575,0.40150508284568787,0.1565481424331665,0.733189046382904,1.0,0.23613092303276062,0.535392165184021,1.0,0.2555135488510132,0.733189046382904,1.0,0.23613092303276062,0.22068053483963013
lunar,0.21081319451332092,0.1407979428768158,0.4791547656059265,0.17547959089279175,0.23309995234012604,0.42166680097579956,0.204600989818573,0.15437743067741394,0.2205018848180771,0.1625400334596634,0.5343210697174072,0.204553484916687,0.23309995234012604,0.6080004572868347,0.15437743067741394,0.23309995234012604,0.34174928069114685,0.204553484916687,0.23309995234012604,0.6080004572868347,0.1628302037715912
module,0.21929074823856354,0.14934542775154114,0.3622255325317383,0.09592796117067337,0.15147453546524048,0.3337670564651489,0.2379239797592163,0.17751087248325348,0.20503602921962738,0.08441745489835739,0.3828204572200775,0.057198818773031235,0.15147453546524048,0.3536060154438019,0.17751087248325348,0.15147453546524048,0.2348867803812027,0.057198818773031235,0.15147453546524048,0.3536060154438019,0.2131270468235016
(,0.1676948219537735,0.1455259770154953,0.1730314940214157,0.2980341613292694,0.33289089798927307,0.13334642350673676,0.13209833204746246,0.30882009863853455,0.21149633824825287,0.25806233286857605,0.1564016044139862,0.35032153129577637,0.33289089798927307,0.15743975341320038,0.30882009863853455,0.33289089798927307,0.12799760699272156,0.35032153129577637,0.33289089798927307,0.15743975341320038,0.40561532974243164
lm,0.21407321095466614,0.14888298511505127,0.3122303783893585,0.14216841757297516,0.25534775853157043,1.0000001192092896,0.21655592322349548,0.17625956237316132,0.14024771749973297,0.11234964430332184,0.3392186462879181,0.15462981164455414,0.25534775853157043,0.3554265797138214,0.17625956237316132,0.25534775853157043,0.26098427176475525,0.15462981164455414,0.25534775853157043,0.3554265797138214,0.2270602136850357
),0.17939934134483337,0.16602720320224762,0.18566611409187317,0.3267642855644226,0.3456730246543884,0.14235086739063263,0.13285088539123535,0.31236231327056885,0.198357492685318,0.2672361731529236,0.16763797402381897,0.3680361211299896,0.3456730246543884,0.15997570753097534,0.31236231327056885,0.3456730246543884,0.12480831891298294,0.3680361211299896,0.3456730246543884,0.15997570753097534,0.42300865054130554
was,0.16678167879581451,0.260356068611145,0.2057761251926422,1.0000001192092896,0.48711544275283813,0.14216841757297516,0.2740823030471802,0.3636345863342285,0.15919329226016998,0.31171464920043945,0.1862146407365799,0.4069072902202606,0.48711544275283813,0.18183675408363342,0.3636345863342285,0.48711544275283813,0.15540370345115662,0.4069072902202606,0.48711544275283813,0.18183675408363342,0.18412111699581146
designed,0.21924960613250732,0.22914452850818634,0.19090843200683594,0.28384989500045776,0.2559613883495331,0.1511140763759613,0.4950100779533386,0.3077097535133362,0.19009709358215332,0.12069370597600937,0.19156122207641602,0.2000347077846527,0.2559613883495331,0.1378369778394699,0.3077097535133362,0.2559613883495331,0.15738843381404877,0.2000347077846527,0.2559613883495331,0.1378369778394699,0.11213942617177963
to,0.44169697165489197,0.40243685245513916,0.22723354399204254,0.3636345863342285,0.535392165184021,0.17625956237316132,0.48327770829200745,1.0,0.4075521230697632,0.4069952368736267,0.23271086812019348,0.41548454761505127,0.535392165184021,0.17707908153533936,1.0,0.535392165184021,0.23727688193321228,0.41548454761505127,0.535392165184021,0.17707908153533936,0.29463258385658264
descend,0.1974755823612213,0.2277822494506836,0.1768479198217392,0.15550263226032257,0.28131356835365295,0.1874118447303772,0.16240084171295166,0.24029400944709778,0.2234240621328354,0.25137269496917725,0.18773587048053741,0.26942315697669983,0.28131356835365295,0.18617089092731476,0.24029400944709778,0.28131356835365295,0.17646321654319763,0.26942315697669983,0.28131356835365295,0.18617089092731476,0.1250806450843811
from,0.22939439117908478,0.33099696040153503,0.1742604821920395,0.31171464920043945,0.40150508284568787,0.11234964430332184,0.1919168382883072,0.4069952368736267,0.21964672207832336,1.0,0.1674075424671173,0.4249346852302551,0.40150508284568787,0.1715833693742752,0.4069952368736267,0.40150508284568787,0.15501615405082703,0.4249346852302551,0.40150508284568787,0.1715833693742752,0.19969791173934937
lunar,0.21081319451332092,0.1407979428768158,0.4791547656059265,0.17547959089279175,0.23309995234012604,0.42166680097579956,0.204600989818573,0.15437743067741394,0.2205018848180771,0.1625400334596634,0.5343210697174072,0.204553484916687,0.23309995234012604,0.6080004572868347,0.15437743067741394,0.23309995234012604,0.34174928069114685,0.204553484916687,0.23309995234012604,0.6080004572868347,0.1628302037715912
orbit,0.18904346227645874,0.12388269603252411,0.5022050142288208,0.1862146407365799,0.1565481424331665,0.3392186462879181,0.18224278092384338,0.23271086812019348,0.1954312026500702,0.1674075424671173,1.0000001192092896,0.13123251497745514,0.1565481424331665,0.5782127380371094,0.23271086812019348,0.1565481424331665,0.3658416271209717,0.13123251497745514,0.1565481424331665,0.5782127380371094,0.16621392965316772
to,0.44169697165489197,0.40243685245513916,0.22723354399204254,0.3636345863342285,0.535392165184021,0.17625956237316132,0.48327770829200745,1.0,0.4075521230697632,0.4069952368736267,0.23271086812019348,0.41548454761505127,0.535392165184021,0.17707908153533936,1.0,0.535392165184021,0.23727688193321228,0.41548454761505127,0.535392165184021,0.17707908153533936,0.29463258385658264
land,0.1918935328722,0.19642266631126404,0.18210506439208984,0.23751215636730194,0.28587454557418823,0.19350743293762207,0.16374796628952026,0.2885280251502991,0.20831574499607086,0.21997374296188354,0.25520533323287964,0.3057127296924591,0.28587454557418823,0.28069254755973816,0.2885280251502991,0.28587454557418823,0.35198330879211426,0.3057127296924591,0.28587454557418823,0.28069254755973816,0.1432059109210968
two,0.2499001920223236,0.5147606730461121,0.12179265916347504,0.27166637778282166,0.43858039379119873,0.17437753081321716,0.12911726534366608,0.3343428373336792,0.2678071856498718,0.25732070207595825,0.2108178734779358,0.37726253271102905,0.43858039379119873,0.1941528022289276,0.3343428373336792,0.43858039379119873,0.16632987558841705,0.37726253271102905,0.43858039379119873,0.1941528022289276,0.19645625352859497
