,what,county,was,newcastle,a,part,of,until,1400,?
newcastle,0.16276082396507263,0.292582243680954,0.25710436701774597,1.0000001192092896,0.21405641734600067,0.13570614159107208,0.18781472742557526,0.14867761731147766,0.1731373518705368,0.0902252271771431
was,0.22111038863658905,0.19700802862644196,1.0000001192092896,0.25710436701774597,0.4508470594882965,0.3407018780708313,0.4069072902202606,0.43126991391181946,0.06712504476308823,0.18412111699581146
part,0.3476244807243347,0.25918450951576233,0.3407018780708313,0.13570614159107208,0.3994528353214264,1.0,0.452393114566803,0.2564696967601776,0.27774661779403687,0.08557961881160736
of,0.33290785551071167,0.2393190860748291,0.4069072902202606,0.18781472742557526,0.5052502155303955,0.452393114566803,1.0,0.2787701487541199,0.22940677404403687,0.1826142966747284
the,0.42745697498321533,0.21715226769447327,0.48711544275283813,0.2253497689962387,0.5829201340675354,0.527681291103363,0.733189046382904,0.37191009521484375,0.24083220958709717,0.22068053483963013
county,0.16114220023155212,1.0,0.19700802862644196,0.292582243680954,0.19835104048252106,0.25918450951576233,0.2393190860748291,0.15220382809638977,0.2546195983886719,0.07680056244134903
of,0.33290785551071167,0.2393190860748291,0.4069072902202606,0.18781472742557526,0.5052502155303955,0.452393114566803,1.0,0.2787701487541199,0.22940677404403687,0.1826142966747284
northumberland,0.16041502356529236,0.36852747201919556,0.29463502764701843,0.46340325474739075,0.21241573989391327,0.2452840805053711,0.30757203698158264,0.15718089044094086,0.22224317491054535,0.12058310210704803
until,0.2693650424480438,0.15220382809638977,0.43126991391181946,0.14867761731147766,0.2314814180135727,0.2564696967601776,0.2787701487541199,1.0,0.11186089366674423,0.20304496586322784
1400,0.1545732617378235,0.2546195983886719,0.06712504476308823,0.1731373518705368,0.1723470240831375,0.27774661779403687,0.22940677404403687,0.11186089366674423,1.0,0.012539627030491829
",",0.3087472915649414,0.26861095428466797,0.45456063747406006,0.251589834690094,0.427140474319458,0.3376222252845764,0.4946078956127167,0.2947838604450226,0.12178628891706467,0.31091248989105225
when,0.4700249433517456,0.1686703860759735,0.37326499819755554,0.14692102372646332,0.44397395849227905,0.35435768961906433,0.3757161796092987,0.494509756565094,0.09011197835206985,0.22841128706932068
it,0.45803478360176086,0.21266573667526245,0.4577186405658722,0.17789338529109955,0.5452592968940735,0.4648587107658386,0.38761502504348755,0.31202051043510437,0.20103944838047028,0.25732165575027466
became,0.1434093862771988,0.133257657289505,0.6575068235397339,0.2210702747106552,0.28774285316467285,0.26536715030670166,0.3638904094696045,0.4033956825733185,0.13600431382656097,0.11374033987522125
a,0.3320399522781372,0.19835104048252106,0.4508470594882965,0.21405641734600067,1.0,0.3994528353214264,0.5052502155303955,0.2314814180135727,0.1723470240831375,0.23916715383529663
county,0.16114220023155212,1.0,0.19700802862644196,0.292582243680954,0.19835104048252106,0.25918450951576233,0.2393190860748291,0.15220382809638977,0.2546195983886719,0.07680056244134903
itself,0.3625122308731079,0.15610775351524353,0.24240277707576752,0.19065389037132263,0.4065200984477997,0.357267290353775,0.3157202899456024,0.23171980679035187,0.22619302570819855,0.17933900654315948
",",0.3087472915649414,0.26861095428466797,0.45456063747406006,0.251589834690094,0.427140474319458,0.3376222252845764,0.4946078956127167,0.2947838604450226,0.12178628891706467,0.31091248989105225
a,0.3320399522781372,0.19835104048252106,0.4508470594882965,0.21405641734600067,1.0,0.3994528353214264,0.5052502155303955,0.2314814180135727,0.1723470240831375,0.23916715383529663
