,what,position,did,tesla,hold,in,the,central,telegraph,office,?
upon,0.2878674864768982,0.20081999897956848,0.1879829615354538,0.14583629369735718,0.17680566012859344,0.20347267389297485,0.28184252977371216,0.12869368493556976,0.13262391090393066,0.1278400868177414,0.13780277967453003
arrival,0.24079416692256927,0.1281985640525818,0.21235014498233795,0.070245660841465,0.18700389564037323,0.2351498007774353,0.3051127791404724,0.19592933356761932,0.2541615068912506,0.17799516022205353,0.07185088098049164
",",0.3087472915649414,0.1771278828382492,0.3015086054801941,0.20599327981472015,0.2803111970424652,0.5201468467712402,0.4933079481124878,0.2587154507637024,0.2253839671611786,0.25194036960601807,0.31091248989105225
tesla,0.23221199214458466,0.11136931926012039,0.09757418930530548,0.9999999403953552,0.22899088263511658,0.17097744345664978,0.1324402391910553,0.12108288705348969,0.24232685565948486,0.13711592555046082,0.10250775516033173
realized,0.3459920883178711,0.2053460329771042,0.45471322536468506,0.22542892396450043,0.2157614827156067,0.24637779593467712,0.27818870544433594,0.09327350556850433,0.17940838634967804,0.12721148133277893,0.15594157576560974
that,0.6297725439071655,0.2627577483654022,0.47518548369407654,0.22102725505828857,0.34848764538764954,0.435920387506485,0.5473989248275757,0.23977944254875183,0.22194863855838776,0.15124648809432983,0.32716336846351624
the,0.42745697498321533,0.3183514177799225,0.34736719727516174,0.1324402391910553,0.3067915439605713,0.6662389636039734,1.0,0.3417201042175293,0.2525936961174011,0.27314993739128113,0.22068053483963013
company,0.2333769053220749,0.18375492095947266,0.16800642013549805,0.23045730590820312,0.13387715816497803,0.22141718864440918,0.26591673493385315,0.06937766820192337,0.29550448060035706,0.2125222235918045,0.12195809185504913
",",0.3087472915649414,0.1771278828382492,0.3015086054801941,0.20599327981472015,0.2803111970424652,0.5201468467712402,0.4933079481124878,0.2587154507637024,0.2253839671611786,0.25194036960601807,0.31091248989105225
then,0.4072686731815338,0.31190788745880127,0.303744375705719,0.17996008694171906,0.28953540325164795,0.36253848671913147,0.4297412931919098,0.18770325183868408,0.19779559969902039,0.1655808687210083,0.2884598970413208
under,0.20154598355293274,0.17355558276176453,0.20815621316432953,0.122123122215271,0.2187441885471344,0.2535393238067627,0.3348022699356079,0.12046600133180618,0.10769475996494293,0.19371576607227325,0.18233340978622437
