,who,was,famous,for,disobedience,against,a,tax,collector,?
before,0.31244513392448425,0.38607707619667053,0.19187428057193756,0.44347289204597473,0.2535146474838257,0.24549540877342224,0.3583870828151703,0.15725962817668915,0.10763854533433914,0.2507109045982361
thoreau,0.38208138942718506,0.263746052980423,0.25553062558174133,0.21023771166801453,0.42179736495018005,0.17145965993404388,0.25918325781822205,0.27197036147117615,0.30603376030921936,0.1922200322151184
’,0.07404322177171707,0.023636873811483383,0.039522670209407806,-0.02041393518447876,-0.032593533396720886,-0.020603330805897713,-0.04976731166243553,-0.12019625306129456,0.002466490026563406,0.045561522245407104
s,0.32984477281570435,0.3674983084201813,0.24183030426502228,0.29884564876556396,0.2296627163887024,0.21235769987106323,0.37089070677757263,0.13208982348442078,0.2466106414794922,0.25130221247673035
imprisonment,0.17522525787353516,0.2781297266483307,0.11341205984354019,0.27587834000587463,0.42874670028686523,0.32730570435523987,0.20937210321426392,0.29294073581695557,0.12887805700302124,0.13416679203510284
",",0.3365725874900818,0.45456063747406006,0.2816491723060608,0.4464869201183319,0.2878543734550476,0.31168749928474426,0.427140474319458,0.140306293964386,0.2751410901546478,0.31091248989105225
when,0.48282691836357117,0.37326499819755554,0.18105973303318024,0.43402108550071716,0.2761690020561218,0.32684949040412903,0.44397395849227905,0.1878177672624588,0.15406793355941772,0.22841128706932068
a,0.36608949303627014,0.4508470594882965,0.26728492975234985,0.44038116931915283,0.25352153182029724,0.2227657586336136,1.0,0.23702840507030487,0.2918439209461212,0.23916715383529663
confused,0.24403353035449982,0.1894293576478958,0.20228390395641327,0.19681625068187714,0.20994170010089874,0.08487996459007263,0.30150526762008667,0.07326359301805496,0.08348292857408524,0.20451921224594116
taxman,0.34258273243904114,0.331788569688797,0.22831931710243225,0.3079831004142761,0.2931070625782013,0.22701475024223328,0.3023582696914673,0.5086751580238342,0.41601017117500305,0.23942914605140686
had,0.36173108220100403,0.5927209258079529,0.2666274309158325,0.3270139992237091,0.2496410459280014,0.2359013706445694,0.34897568821907043,0.2077564299106598,0.24746163189411163,0.20728366076946259
wondered,0.33689022064208984,0.333610475063324,0.19400863349437714,0.253823459148407,0.19526880979537964,0.1439591348171234,0.2643638551235199,0.13392814993858337,0.10749402642250061,0.3926749527454376
