,how,fast,were,the,winds,around,st.,augustine,in,the,1964,hurricane,?
the,0.33890387415885925,0.24604609608650208,0.3906462490558624,1.0,0.2427695244550705,0.40085816383361816,0.18141359090805054,0.23652029037475586,0.6662389636039734,1.0,-0.01880853809416294,0.2275574505329132,0.22068053483963013
eye,0.15617716312408447,0.15361830592155457,0.14099125564098358,0.21123464405536652,0.26367253065109253,0.16485612094402313,0.1259152591228485,0.1711854487657547,0.18498443067073822,0.21123464405536652,0.05235222727060318,0.2385084480047226,0.13150765001773834
crossed,0.08992727845907211,0.1448332518339157,0.24633634090423584,0.3004564642906189,0.3860245645046234,0.3125237822532654,0.18591995537281036,0.20726868510246277,0.2503625154495239,0.3004564642906189,-0.048774685710668564,0.28770506381988525,0.15642015635967255
st.,0.14827053248882294,0.2127058058977127,0.13992512226104736,0.18141359090805054,0.14111869037151337,0.0951475128531456,1.0000001192092896,0.27156588435173035,0.15931649506092072,0.18141359090805054,-0.06137420982122421,0.08487921208143234,0.13592876493930817
augustine,0.12871792912483215,0.0647328570485115,0.18674424290657043,0.23652029037475586,0.18908192217350006,0.15700308978557587,0.27156588435173035,1.0,0.2519584000110626,0.23652029037475586,-0.0629998967051506,0.21820352971553802,0.21213193237781525
with,0.3525622487068176,0.21978332102298737,0.3179011940956116,0.4223487675189972,0.20738178491592407,0.3207509517669678,0.2383403480052948,0.13584867119789124,0.4080928862094879,0.4223487675189972,-0.0009764161077328026,0.1775725930929184,0.2433311939239502
winds,0.14408867061138153,0.24817979335784912,0.20812810957431793,0.2427695244550705,0.9999999403953552,0.281889408826828,0.14111869037151337,0.18908192217350006,0.21784955263137817,0.2427695244550705,-0.032593823969364166,0.5943963527679443,0.1398162990808487
that,0.557814359664917,0.30709099769592285,0.35517072677612305,0.5473989248275757,0.2362804263830185,0.36311936378479004,0.13783733546733856,0.2151031345129013,0.435920387506485,0.5473989248275757,-0.04103170335292816,0.21838277578353882,0.32716336846351624
had,0.2549138069152832,0.1824042946100235,0.6150832772254944,0.3875846862792969,0.2200784832239151,0.2928045392036438,0.16887514293193817,0.14713019132614136,0.385026752948761,0.3875846862792969,-0.09840469807386398,0.205715611577034,0.20728366076946259
just,0.41178324818611145,0.27093765139579773,0.2839916944503784,0.40061673521995544,0.27314549684524536,0.37632086873054504,0.19370152056217194,0.2484143227338791,0.3910168707370758,0.40061673521995544,-0.043521489948034286,0.2768765091896057,0.4144178032875061
barely,0.3269115686416626,0.19972634315490723,0.17970123887062073,0.2648068964481354,0.24525168538093567,0.280499666929245,0.16042958199977875,0.19845469295978546,0.19331282377243042,0.2648068964481354,-0.04968263581395149,0.226750910282135,0.2686871886253357
diminished,0.24907761812210083,0.3187524676322937,0.17053349316120148,0.30645841360092163,0.3299504220485687,0.276458740234375,0.19907714426517487,0.2532265782356262,0.21764640510082245,0.30645841360092163,-0.0009903543395921588,0.3133567273616791,0.15964849293231964
to,0.44169697165489197,0.2541990578174591,0.31913647055625916,0.535392165184021,0.22334370017051697,0.3591267168521881,0.20982599258422852,0.154807448387146,0.45010748505592346,0.535392165184021,-0.040934670716524124,0.19509433209896088,0.29463258385658264
110,0.09482695162296295,0.14756543934345245,0.2445409893989563,0.16358928382396698,0.06384535878896713,0.13452433049678802,0.01707884669303894,-0.007582914549857378,0.1704593300819397,0.16358928382396698,0.07586736977100372,-0.005744669586420059,-0.020000919699668884
mph,0.13385632634162903,0.2752630412578583,0.17290471494197845,0.17937184870243073,0.7075897455215454,0.1951102465391159,0.10830476135015488,0.20431864261627197,0.14002245664596558,0.17937184870243073,-0.01350969448685646,0.5777260065078735,0.15188822150230408
(,0.1676948219537735,0.1725817173719406,0.14743882417678833,0.33289089798927307,0.19519849121570587,0.20733319222927094,0.2008000910282135,0.17426589131355286,0.3087427020072937,0.33289089798927307,-0.017947344109416008,0.17506152391433716,0.40561532974243164
180,0.17176638543605804,0.1819995641708374,0.04775116220116615,0.08750838786363602,0.17224062979221344,0.18005023896694183,0.014963866211473942,-0.005040204152464867,0.07632627338171005,0.08750838786363602,0.09382730722427368,0.07533576339483261,0.12062747031450272
