,what,is,csnet
the,0.42745697498321533,0.5823672413825989,0.3345748782157898
computer,0.26911869645118713,0.2406304031610489,0.315820574760437
science,0.2612018585205078,0.2747138440608978,0.26129692792892456
network,0.16917307674884796,0.2196272611618042,0.38246405124664307
(,0.2411840260028839,0.35393038392066956,0.2854706346988678
csnet,0.30129101872444153,0.2701859176158905,1.0
),0.26259949803352356,0.37732169032096863,0.27624747157096863
was,0.22111038863658905,0.5810302495956421,0.25612157583236694
a,0.3320399522781372,0.658733606338501,0.3357473611831665
computer,0.26911869645118713,0.2406304031610489,0.315820574760437
network,0.16917307674884796,0.2196272611618042,0.38246405124664307
funded,0.12889151275157928,0.14329415559768677,0.2883976995944977
by,0.2455483376979828,0.3899846076965332,0.29285454750061035
the,0.42745697498321533,0.5823672413825989,0.3345748782157898
u.s.,0.11178889125585556,-0.05269147455692291,0.06568226218223572
national,0.16882304847240448,0.23413582146167755,0.23536856472492218
science,0.2612018585205078,0.2747138440608978,0.26129692792892456
foundation,0.19225969910621643,0.18130874633789062,0.2959030568599701
(,0.2411840260028839,0.35393038392066956,0.2854706346988678
nsf,0.2732805907726288,0.20340391993522644,0.42052918672561646
),0.26259949803352356,0.37732169032096863,0.27624747157096863
that,0.6297725439071655,0.3995479643344879,0.32813549041748047
began,0.1665823757648468,0.20498190820217133,0.14714987576007843
operation,0.22083862125873566,0.2013072669506073,0.20021770894527435
in,0.30808621644973755,0.5394441485404968,0.27704933285713196
1981,-0.08909204602241516,0.023036114871501923,0.046194273978471756
.,0.3567904531955719,0.4569662809371948,0.41417619585990906
