,what,were,the,reasons,why,residents,moved,to,the,town,of,fresno,station,?
many,0.36131182312965393,0.4804460406303406,0.4335206151008606,0.383806437253952,0.38531482219696045,0.28597086668014526,0.20702311396598816,0.40243685245513916,0.4335206151008606,0.1653294861316681,0.37253960967063904,0.1503066122531891,0.15228354930877686,0.2124512493610382
millerton,0.18483078479766846,0.2293522208929062,0.259987473487854,0.13643378019332886,0.15131376683712006,0.29536667466163635,0.2547205984592438,0.2905544638633728,0.259987473487854,0.29394280910491943,0.2320222109556198,0.3997456729412079,0.20908603072166443,0.1311383843421936
residents,0.21107541024684906,0.3149697780609131,0.28274044394493103,0.28616929054260254,0.12442034482955933,0.9999998807907104,0.23252494633197784,0.27325206995010376,0.28274044394493103,0.3924339711666107,0.28795862197875977,0.25672680139541626,0.23543255031108856,0.09602975845336914
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.31034985184669495,0.2827242314815521,0.2648939788341522,0.30661246180534363,0.44245919585227966,0.4933079481124878,0.27598801255226135,0.4946078956127167,0.2561432421207428,0.2482491284608841,0.31091248989105225
drawn,0.21374164521694183,0.23212997615337372,0.2380581647157669,0.10031484812498093,0.13890352845191956,0.09757629036903381,0.15466071665287018,0.1552073210477829,0.2380581647157669,0.15672332048416138,0.22420795261859894,0.06166474148631096,0.12482203543186188,0.15159106254577637
by,0.2455483376979828,0.4406847059726715,0.4408751428127289,0.19373157620429993,0.19170543551445007,0.18912309408187866,0.16831031441688538,0.33534231781959534,0.4408751428127289,0.15964296460151672,0.3646814823150635,0.12580959498882294,0.16572362184524536,0.17966607213020325
the,0.42745697498321533,0.3906462490558624,1.0,0.2951921820640564,0.30742117762565613,0.28274044394493103,0.32031023502349854,0.535392165184021,1.0,0.2974243760108948,0.733189046382904,0.22571885585784912,0.23609806597232819,0.22068053483963013
convenience,0.252776175737381,0.156456857919693,0.241288423538208,0.34936273097991943,0.23842312395572662,0.33642658591270447,0.10399229824542999,0.330239474773407,0.241288423538208,0.12592408061027527,0.2780030369758606,0.20870983600616455,0.26113319396972656,0.23333430290222168
of,0.33290785551071167,0.34038281440734863,0.733189046382904,0.28044363856315613,0.28464117646217346,0.28795862197875977,0.22242598235607147,0.41548454761505127,0.733189046382904,0.26585668325424194,1.0,0.1875009983778,0.17394597828388214,0.1826142966747284
the,0.42745697498321533,0.3906462490558624,1.0,0.2951921820640564,0.30742117762565613,0.28274044394493103,0.32031023502349854,0.535392165184021,1.0,0.2974243760108948,0.733189046382904,0.22571885585784912,0.23609806597232819,0.22068053483963013
railroad,0.16141441464424133,0.2041742503643036,0.2709158957004547,0.08738818764686584,0.11203022301197052,0.2076522409915924,0.19763536751270294,0.18515154719352722,0.2709158957004547,0.29626211524009705,0.1954421103000641,0.23137147724628448,0.3930911719799042,0.0920378789305687
and,0.31309178471565247,0.42175528407096863,0.5171257257461548,0.31014180183410645,0.27806392312049866,0.3165581226348877,0.2855120301246643,0.48971283435821533,0.5171257257461548,0.2459200918674469,0.5116966962814331,0.21513071656227112,0.19091129302978516,0.20544172823429108
worried,0.4046177566051483,0.3477019667625427,0.2491360306739807,0.333707720041275,0.35563766956329346,0.20314592123031616,0.21907341480255127,0.2745876908302307,0.2491360306739807,0.16626417636871338,0.23881499469280243,0.13445833325386047,0.13159117102622986,0.2862061858177185
about,0.47976887226104736,0.29814305901527405,0.37995871901512146,0.28734007477760315,0.40929678082466125,0.28099143505096436,0.19234634935855865,0.391953706741333,0.37995871901512146,0.27667999267578125,0.40939709544181824,0.17979228496551514,0.14518652856349945,0.302409827709198
flooding,0.2541632354259491,0.2360631823539734,0.24058853089809418,0.22517667710781097,0.28506532311439514,0.3325622081756592,0.21554318070411682,0.22039492428302765,0.24058853089809418,0.23808525502681732,0.2168123722076416,0.1665991097688675,0.20786063373088837,0.2615346312522888
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.31034985184669495,0.2827242314815521,0.2648939788341522,0.30661246180534363,0.44245919585227966,0.4933079481124878,0.27598801255226135,0.4946078956127167,0.2561432421207428,0.2482491284608841,0.31091248989105225
moved,0.20601840317249298,0.3078361749649048,0.32031023502349854,0.15410204231739044,0.21598075330257416,0.23252494633197784,1.0000001192092896,0.2918468713760376,0.32031023502349854,0.3002891540527344,0.22242598235607147,0.2553357779979706,0.2015480250120163,0.15112607181072235
to,0.455847829580307,0.31913647055625916,0.535392165184021,0.32146772742271423,0.4100138247013092,0.27325206995010376,0.2918468713760376,1.0,0.535392165184021,0.18535545468330383,0.41548454761505127,0.22500741481781006,0.21352042257785797,0.29463258385658264
the,0.42745697498321533,0.3906462490558624,1.0,0.2951921820640564,0.30742117762565613,0.28274044394493103,0.32031023502349854,0.535392165184021,1.0,0.2974243760108948,0.733189046382904,0.22571885585784912,0.23609806597232819,0.22068053483963013
new,0.2130378633737564,0.21711495518684387,0.3845241069793701,0.13091763854026794,0.15616938471794128,0.19370681047439575,0.24805881083011627,0.33159172534942627,0.3845241069793701,0.18073749542236328,0.343457967042923,0.27721738815307617,0.12154681980609894,0.14782847464084625
community,0.29032719135284424,0.15254662930965424,0.2601400911808014,0.2115393579006195,0.22157806158065796,0.3066585063934326,0.20719702541828156,0.2863751947879791,0.2601400911808014,0.2921212315559387,0.2367410808801651,0.2422681599855423,0.20173999667167664,0.2380419820547104
.,0.3567904531955719,0.3378238379955292,0.5934505462646484,0.298481822013855,0.32909876108169556,0.2494935691356659,0.3228634297847748,0.4645031690597534,0.5934505462646484,0.28254011273384094,0.5352458953857422,0.2480216920375824,0.20999185740947723,0.4130953550338745
