,who,is,best,able,to,leverage,the,accumulation,of,wealth,?
according,0.22336459159851074,0.2838992476463318,0.15731368958950043,0.22565951943397522,0.28520727157592773,0.15308032929897308,0.3202974498271942,0.17185871303081512,0.3307822346687317,0.285123348236084,0.21173474192619324
to,0.42656609416007996,0.42745086550712585,0.21715646982192993,0.529755175113678,1.0,0.2965596616268158,0.535392165184021,0.26538437604904175,0.41548454761505127,0.30562296509742737,0.29463258385658264
this,0.3345087468624115,0.480927973985672,0.312497615814209,0.34348174929618835,0.5759071707725525,0.27355271577835083,0.6274310946464539,0.34566327929496765,0.45148900151252747,0.24383994936943054,0.3155723512172699
theory,0.19210977852344513,0.19279582798480988,0.1768724024295807,0.19262300431728363,0.21947365999221802,0.20418408513069153,0.2277156263589859,0.3191690444946289,0.23506702482700348,0.20340721309185028,0.1387292891740799
",",0.3365725874900818,0.4691906273365021,0.3461092710494995,0.28725793957710266,0.44245919585227966,0.19695238769054413,0.4933079481124878,0.23359620571136475,0.4946078956127167,0.22482609748840332,0.31091248989105225
those,0.44778117537498474,0.2352088838815689,0.1819027066230774,0.35069817304611206,0.47350940108299255,0.27447330951690674,0.42861196398735046,0.25611111521720886,0.37935635447502136,0.24763578176498413,0.3328189253807068
who,0.9999998807907104,0.24293622374534607,0.266329824924469,0.38891562819480896,0.42656609416007996,0.27058231830596924,0.3733934462070465,0.08888786286115646,0.2827862501144409,0.28164976835250854,0.26220351457595825
already,0.41363927721977234,0.27460595965385437,0.20666435360908508,0.29956308007240295,0.3676825761795044,0.25123271346092224,0.34582915902137756,0.25722211599349976,0.27917540073394775,0.22826328873634338,0.3477933406829834
hold,0.22237171232700348,0.22212235629558563,0.19563020765781403,0.34871795773506165,0.3469145894050598,0.3172135055065155,0.3067915439605713,0.22673562169075012,0.2465030699968338,0.150142103433609,0.18586084246635437
wealth,0.28164976835250854,0.19482117891311646,0.14822325110435486,0.18446865677833557,0.30562296509742737,0.32313844561576843,0.24999672174453735,0.3215469717979431,0.27235376834869385,0.9999998807907104,0.1624586433172226
have,0.39246654510498047,0.3613572418689728,0.20187869668006897,0.38822048902511597,0.4544740617275238,0.2901344895362854,0.40389683842658997,0.31445613503456116,0.3802283704280853,0.20081286132335663,0.32991164922714233
the,0.3733934462070465,0.5823672413825989,0.3134109377861023,0.3435857892036438,0.535392165184021,0.28516846895217896,1.0,0.340740829706192,0.733189046382904,0.24999672174453735,0.22068053483963013
means,0.22125157713890076,0.4087343215942383,0.12424372881650925,0.2398725003004074,0.2301892638206482,0.226675346493721,0.32225894927978516,0.3081047534942627,0.29942914843559265,0.16219159960746765,0.21233566105365753
to,0.42656609416007996,0.42745086550712585,0.21715646982192993,0.529755175113678,1.0,0.2965596616268158,0.535392165184021,0.26538437604904175,0.41548454761505127,0.30562296509742737,0.29463258385658264
invest,0.24425432085990906,0.22959229350090027,0.2030790150165558,0.28046929836273193,0.28345975279808044,0.33865123987197876,0.20911042392253876,0.3888281583786011,0.23437876999378204,0.4659304618835449,0.1968417465686798
