,what,continent,are,the,canarian,islands,off,the,coast,of,?
between,0.2462156116962433,0.1888461709022522,0.2766000032424927,0.39067012071609497,0.13574688136577606,0.20735116302967072,0.23867270350456238,0.39067012071609497,0.2622869312763214,0.3737983703613281,0.12887074053287506
1402,-0.09374941885471344,0.0037586954422295094,-0.00758514367043972,-0.019251646474003792,-0.054358117282390594,-0.006096155382692814,0.09352155774831772,-0.019251646474003792,1.3612417205877136e-05,-0.046248141676187515,0.02062089741230011
and,0.31309178471565247,0.29214635491371155,0.48576638102531433,0.5171257257461548,0.24715344607830048,0.2816464602947235,0.2800697982311249,0.5171257257461548,0.2847609519958496,0.5116966962814331,0.20544172823429108
1405,0.16280800104141235,0.1740749031305313,0.07053571939468384,0.11162246763706207,0.1750902235507965,0.08850938081741333,0.03223831579089165,0.11162246763706207,0.1010785698890686,0.08369224518537521,0.17966242134571075
",",0.3087472915649414,0.22622181475162506,0.4062570035457611,0.4933079481124878,0.28832805156707764,0.2641065716743469,0.26180344820022583,0.4933079481124878,0.2553968131542206,0.4946078956127167,0.31091248989105225
the,0.42745697498321533,0.3139871060848236,0.40399202704429626,1.0,0.2484833300113678,0.27959951758384705,0.2773582935333252,1.0,0.28366661071777344,0.733189046382904,0.22068053483963013
expedition,0.19300568103790283,0.36488351225852966,0.06508009135723114,0.26213887333869934,0.23812046647071838,0.25584474205970764,0.18844769895076752,0.26213887333869934,0.3498497009277344,0.18468376994132996,0.10355690121650696
led,0.12112844735383987,0.2568056285381317,0.16632264852523804,0.3267505168914795,0.16803546249866486,0.16749586164951324,0.18426118791103363,0.3267505168914795,0.12698118388652802,0.32918456196784973,0.09273858368396759
by,0.2455483376979828,0.2537881135940552,0.37842893600463867,0.4408751428127289,0.18406391143798828,0.1766931265592575,0.28998351097106934,0.4408751428127289,0.18690809607505798,0.3646814823150635,0.17966607213020325
the,0.42745697498321533,0.3139871060848236,0.40399202704429626,1.0,0.2484833300113678,0.27959951758384705,0.2773582935333252,1.0,0.28366661071777344,0.733189046382904,0.22068053483963013
norman,0.12319435924291611,0.14883722364902496,0.09758602827787399,0.23459704220294952,0.30994316935539246,0.1651693433523178,0.09989318996667862,0.23459704220294952,0.14883308112621307,0.15827171504497528,0.12243545055389404
noble,0.16937826573848724,0.13779164850711823,0.12518711388111115,0.2295120358467102,0.21103109419345856,0.13503433763980865,0.08463183045387268,0.2295120358467102,0.16205796599388123,0.24601131677627563,0.11942308396100998
jean,0.10624528676271439,0.13504883646965027,0.11007310450077057,0.2186683863401413,0.31112298369407654,0.14114989340305328,0.104596808552742,0.2186683863401413,0.08219724148511887,0.14357218146324158,0.1531364470720291
de,0.10476839542388916,0.1826627254486084,0.1437842696905136,0.23491892218589783,0.28311312198638916,0.18887922167778015,0.08842115849256516,0.23491892218589783,0.19854947924613953,0.26292696595191956,0.11064168810844421
bethencourt,0.2614019513130188,0.27896279096603394,0.20509138703346252,0.3429909348487854,0.32253214716911316,0.2940346896648407,0.15514203906059265,0.3429909348487854,0.23729835450649261,0.3238213062286377,0.22685231268405914
and,0.31309178471565247,0.29214635491371155,0.48576638102531433,0.5171257257461548,0.24715344607830048,0.2816464602947235,0.2800697982311249,0.5171257257461548,0.2847609519958496,0.5116966962814331,0.20544172823429108
the,0.42745697498321533,0.3139871060848236,0.40399202704429626,1.0,0.2484833300113678,0.27959951758384705,0.2773582935333252,1.0,0.28366661071777344,0.733189046382904,0.22068053483963013
poitevine,0.26797229051589966,0.1553267240524292,0.1713765263557434,0.29435110092163086,0.3627001643180847,0.24526922404766083,0.1393357813358307,0.29435110092163086,0.25712013244628906,0.28690627217292786,0.2564693093299866
gadifer,0.26908501982688904,0.2104474902153015,0.2549456059932709,0.2312423288822174,0.2827000617980957,0.204314187169075,0.22337010502815247,0.2312423288822174,0.15189805626869202,0.12663795053958893,0.2809121012687683
de,0.10476839542388916,0.1826627254486084,0.1437842696905136,0.23491892218589783,0.28311312198638916,0.18887922167778015,0.08842115849256516,0.23491892218589783,0.19854947924613953,0.26292696595191956,0.11064168810844421
la,0.15497572720050812,0.16904602944850922,0.12354995310306549,0.23999373614788055,0.2207653522491455,0.12939010560512543,0.1353522390127182,0.23999373614788055,0.1847330778837204,0.2191537618637085,0.16701938211917877
salle,0.15755830705165863,0.18637359142303467,0.12613849341869354,0.305470734834671,0.25374799966812134,0.10364143550395966,0.14202742278575897,0.305470734834671,0.2613424062728882,0.27160152792930603,0.11710713803768158
conquered,0.2095409482717514,0.3233811855316162,0.14432944357395172,0.3127642273902893,0.19332106411457062,0.28860199451446533,0.1671869307756424,0.3127642273902893,0.2673916220664978,0.30313581228256226,0.12499574571847916
the,0.42745697498321533,0.3139871060848236,0.40399202704429626,1.0,0.2484833300113678,0.27959951758384705,0.2773582935333252,1.0,0.28366661071777344,0.733189046382904,0.22068053483963013
canarian,0.13763122260570526,0.2756984531879425,0.24196310341358185,0.2484833300113678,1.0,0.3285590410232544,0.14631007611751556,0.2484833300113678,0.27208173274993896,0.2243018001317978,0.21527613699436188
islands,0.12194207310676575,0.3640579879283905,0.23168352246284485,0.27959951758384705,0.3285590410232544,0.9999999403953552,0.16537275910377502,0.27959951758384705,0.42219480872154236,0.277767539024353,0.11824353039264679
of,0.33290785551071167,0.2647381126880646,0.39081433415412903,0.733189046382904,0.2243018001317978,0.277767539024353,0.20023372769355774,0.733189046382904,0.2811681628227234,1.0,0.1826142966747284
