,the,los,angeles,rams,are,an,example,of,what,kind,of,sports,team,?
professional,0.1869824379682541,0.17628657817840576,0.18724524974822998,0.23260781168937683,0.1741122007369995,0.22814618051052094,0.10105089843273163,0.21265500783920288,0.20202119648456573,0.08276138454675674,0.21265500783920288,0.3480691909790039,0.353275328874588,0.13074518740177155
sports,0.20313861966133118,0.18961526453495026,0.19717316329479218,0.2765806317329407,0.18766270577907562,0.1218428686261177,0.16474175453186035,0.24392472207546234,0.13245077431201935,0.12507063150405884,0.24392472207546234,0.9999999403953552,0.3859803080558777,0.04557104781270027
teams,0.3164927661418915,0.22085128724575043,0.22802701592445374,0.41966983675956726,0.30113157629966736,0.15668144822120667,0.1820562481880188,0.27933305501937866,0.16624371707439423,0.11323664337396622,0.27933305501937866,0.4589618444442749,0.673422634601593,0.11150168627500534
in,0.6662389636039734,0.2795681953430176,0.23927895724773407,0.1878594607114792,0.3841303884983063,0.2605783939361572,0.30483278632164,0.5696388483047485,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.27591386437416077,0.18841172754764557,0.20430970191955566
southern,0.3282862603664398,0.18350043892860413,0.19405479729175568,0.12379962205886841,0.18306338787078857,0.1620207577943802,0.11202357709407806,0.31933003664016724,0.18679563701152802,0.12290651351213455,0.31933003664016724,0.14539456367492676,0.15997721254825592,0.11225555837154388
california,0.2750805914402008,0.641045331954956,0.6717669367790222,0.2687579393386841,0.17678135633468628,0.15679968893527985,0.15722273290157318,0.24929828941822052,0.1811584085226059,0.14210517704486847,0.24929828941822052,0.13506782054901123,0.14263421297073364,0.1409905105829239
include,0.2951717972755432,0.13818079233169556,0.13739114999771118,0.13266198337078094,0.5140694975852966,0.14737801253795624,0.3811541199684143,0.37431180477142334,0.1535889357328415,0.21321992576122284,0.37431180477142334,0.19404669106006622,0.09636539965867996,0.14925788342952728
teams,0.3164927661418915,0.22085128724575043,0.22802701592445374,0.41966983675956726,0.30113157629966736,0.15668144822120667,0.1820562481880188,0.27933305501937866,0.16624371707439423,0.11323664337396622,0.27933305501937866,0.4589618444442749,0.673422634601593,0.11150168627500534
from,0.40150508284568787,0.22446542978286743,0.21691568195819855,0.11417202651500702,0.2674213647842407,0.20876385271549225,0.3175121247768402,0.4249346852302551,0.2737620174884796,0.1906990259885788,0.4249346852302551,0.16631367802619934,0.21108146011829376,0.19969791173934937
the,1.0,0.2502395510673523,0.24588194489479065,0.2225670963525772,0.40399202704429626,0.4207492768764496,0.3755223751068115,0.733189046382904,0.42745697498321533,0.2516445517539978,0.733189046382904,0.20313861966133118,0.22564226388931274,0.22068053483963013
nfl,0.15305201709270477,0.2202766090631485,0.2430088222026825,0.5160277485847473,0.10710634291172028,0.05365698039531708,0.14964793622493744,0.1524115800857544,0.12579965591430664,0.056345440447330475,0.1524115800857544,0.32034268975257874,0.352365642786026,0.10610254108905792
(,0.33289089798927307,0.19636604189872742,0.18702396750450134,0.16879896819591522,0.23263892531394958,0.286407470703125,0.23614145815372467,0.35032153129577637,0.2411840260028839,0.16271455585956573,0.35032153129577637,0.15170113742351532,0.1808312088251114,0.40561532974243164
los,0.2502395510673523,1.0,0.9408739805221558,0.29153910279273987,0.1627943068742752,0.14113986492156982,0.11675360798835754,0.17343297600746155,0.12322991341352463,0.06680147349834442,0.17343297600746155,0.18961526453495026,0.22620324790477753,0.15495611727237701
angeles,0.24588194489479065,0.9408739805221558,0.9999999403953552,0.3201660215854645,0.1732020229101181,0.17996078729629517,0.1411566436290741,0.16643567383289337,0.10702074319124222,0.06594812870025635,0.16643567383289337,0.19717316329479218,0.2259282022714615,0.16139166057109833
rams,0.2225670963525772,0.29153910279273987,0.3201660215854645,1.0,0.20126524567604065,0.12919503450393677,0.16581448912620544,0.20332807302474976,0.14737312495708466,0.061542246490716934,0.20332807302474976,0.2765806317329407,0.309770792722702,0.1534719467163086
",",0.4933079481124878,0.242568701505661,0.23721925914287567,0.2570134997367859,0.4062570035457611,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.2693314254283905,0.21287471055984497,0.31091248989105225
san,0.2858080565929413,0.45418909192085266,0.4276162087917328,0.2946016490459442,0.13921020925045013,0.16998007893562317,0.15956735610961914,0.25237205624580383,0.19375550746917725,0.0681106299161911,0.25237205624580383,0.19136394560337067,0.19775059819221497,0.10952327400445938
diego,0.20885010063648224,0.5052679181098938,0.46809855103492737,0.3033033609390259,0.16360539197921753,0.17028963565826416,0.12889350950717926,0.1941702961921692,0.16958405077457428,0.11045236140489578,0.1941702961921692,0.21676355600357056,0.1922333687543869,0.11438121646642685
chargers,0.27091357111930847,0.3238554298877716,0.36199116706848145,0.5274290442466736,0.23428574204444885,0.1934933364391327,0.21813586354255676,0.20153816044330597,0.1902298480272293,0.09001637995243073,0.20153816044330597,0.27796638011932373,0.26522940397262573,0.1661611646413803
),0.3456730246543884,0.20452219247817993,0.20207132399082184,0.18215681612491608,0.2373749315738678,0.2873353958129883,0.26101627945899963,0.3680361211299896,0.26259949803352356,0.17504733800888062,0.3680361211299896,0.17142437398433685,0.18319997191429138,0.42300865054130554
