,what,si,the,comparison,to,sea,level,with,the,oxygen,level,in,space,suits,?
in,0.30808621644973755,0.1545318216085434,0.6662389636039734,0.19509035348892212,0.45010748505592346,0.2302369773387909,0.279204785823822,0.4080928862094879,0.6662389636039734,0.1672476977109909,0.279204785823822,1.0,0.17648501694202423,0.1673949509859085,0.20430970191955566
the,0.42745697498321533,0.16289132833480835,1.0,0.2772393822669983,0.535392165184021,0.30363768339157104,0.31442487239837646,0.4223487675189972,1.0,0.20428593456745148,0.31442487239837646,0.6662389636039734,0.24495907127857208,0.2673831284046173,0.22068053483963013
case,0.30770957469940186,0.10834965854883194,0.31022098660469055,0.22991728782653809,0.3172709345817566,0.11679976433515549,0.19690336287021637,0.2825133502483368,0.31022098660469055,0.19170716404914856,0.19690336287021637,0.2190418541431427,0.19912216067314148,0.2686552107334137,0.33232852816581726
of,0.33290785551071167,0.1528252214193344,0.733189046382904,0.2909576892852783,0.41548454761505127,0.2707739472389221,0.23504668474197388,0.41827285289764404,0.733189046382904,0.16848602890968323,0.23504668474197388,0.5696388483047485,0.21300287544727325,0.2601613402366638,0.1826142966747284
spacesuits,0.2537602484226227,0.2059149146080017,0.2870029807090759,0.2332497090101242,0.32162830233573914,0.11837808787822723,0.239919051527977,0.29582127928733826,0.2870029807090759,0.45225977897644043,0.239919051527977,0.23059479892253876,0.6504722237586975,0.6360346674919128,0.21940559148788452
",",0.3087472915649414,0.20901155471801758,0.4933079481124878,0.23839420080184937,0.44245919585227966,0.30078184604644775,0.23317520320415497,0.4120737314224243,0.4933079481124878,0.21812842786312103,0.23317520320415497,0.5201468467712402,0.2285580337047577,0.21471096575260162,0.31091248989105225
the,0.42745697498321533,0.16289132833480835,1.0,0.2772393822669983,0.535392165184021,0.30363768339157104,0.31442487239837646,0.4223487675189972,1.0,0.20428593456745148,0.31442487239837646,0.6662389636039734,0.24495907127857208,0.2673831284046173,0.22068053483963013
o,0.1489914506673813,0.18057739734649658,0.19071193039417267,0.04125330597162247,0.1644444614648819,0.10780974477529526,0.09215796738862991,0.20689143240451813,0.19071193039417267,0.2476140707731247,0.09215796738862991,0.17052006721496582,0.09991100430488586,0.15780816972255707,0.23868927359580994
2,-0.049862053245306015,-0.02185817062854767,-0.019434669986367226,-0.13484357297420502,-0.0836251974105835,-0.020140457898378372,-0.06267523020505905,-0.05764888972043991,-0.019434669986367226,0.04063820466399193,-0.06267523020505905,0.01447046548128128,-0.05579118803143501,-0.11329872906208038,0.001977203879505396
partial,0.24140220880508423,0.15607117116451263,0.2313118278980255,0.21441665291786194,0.19141130149364471,0.07967383414506912,0.13349823653697968,0.21557076275348663,0.2313118278980255,0.15541093051433563,0.13349823653697968,0.23465001583099365,0.16210150718688965,0.22832413017749786,0.16151700913906097
pressure,0.2625555694103241,0.23357468843460083,0.28285476565361023,0.1537349373102188,0.30812981724739075,0.23160073161125183,0.31868571043014526,0.23947151005268097,0.28285476565361023,0.35798126459121704,0.31868571043014526,0.16116683185100555,0.21622900664806366,0.2517367899417877,0.142023503780365
in,0.30808621644973755,0.1545318216085434,0.6662389636039734,0.19509035348892212,0.45010748505592346,0.2302369773387909,0.279204785823822,0.4080928862094879,0.6662389636039734,0.1672476977109909,0.279204785823822,1.0,0.17648501694202423,0.1673949509859085,0.20430970191955566
the,0.42745697498321533,0.16289132833480835,1.0,0.2772393822669983,0.535392165184021,0.30363768339157104,0.31442487239837646,0.4223487675189972,1.0,0.20428593456745148,0.31442487239837646,0.6662389636039734,0.24495907127857208,0.2673831284046173,0.22068053483963013
