,what,phenomenon,has,led,to,criticism,?
this,0.5489566326141357,0.3097638785839081,0.4198763072490692,0.2688283920288086,0.5759071707725525,0.2912028729915619,0.3155723512172699
phenomenon,0.2867237627506256,1.0000001192092896,0.18599815666675568,0.2431221753358841,0.16946689784526825,0.3139987289905548,0.19394198060035706
is,0.28837618231773376,0.25003448128700256,0.5668748617172241,0.14361225068569183,0.42745086550712585,0.15568317472934723,0.22961433231830597
known,0.20381177961826324,0.2920173108577728,0.2451976239681244,0.22756294906139374,0.14337651431560516,0.13756702840328217,0.18314571678638458
as,0.31749409437179565,0.24338828027248383,0.351646363735199,0.20535489916801453,0.42092081904411316,0.2165507674217224,0.27043893933296204
the,0.42745697498321533,0.26217618584632874,0.4177538752555847,0.3267505168914795,0.535392165184021,0.2245102971792221,0.22068053483963013
west,0.1946573108434677,0.08521801233291626,0.24930864572525024,0.2002936601638794,0.24611181020736694,0.1494588553905487,0.12088293582201004
lothian,0.14814652502536774,0.04685162380337715,0.17816749215126038,0.1670956015586853,0.18159927427768707,0.15120700001716614,0.08631976693868637
question,0.5285786390304565,0.29171934723854065,0.23505258560180664,0.1495310664176941,0.33945542573928833,0.37663304805755615,0.48000848293304443
and,0.31309178471565247,0.17060674726963043,0.43716782331466675,0.2780643701553345,0.48971283435821533,0.21094533801078796,0.20544172823429108
has,0.20338068902492523,0.18599815666675568,1.0,0.1884450763463974,0.3619994819164276,0.21729066967964172,0.15994466841220856
led,0.12112844735383987,0.2431221753358841,0.1884450763463974,0.9999999403953552,0.21815308928489685,0.2579132616519928,0.09273858368396759
to,0.455847829580307,0.16946689784526825,0.3619994819164276,0.21815308928489685,1.0,0.24805869162082672,0.29463258385658264
criticism,0.30332592129707336,0.3139987289905548,0.21729066967964172,0.2579132616519928,0.24805869162082672,1.0,0.23740006983280182
.,0.3567904531955719,0.19872979819774628,0.4105546176433563,0.19335708022117615,0.4645031690597534,0.24778856337070465,0.4130953550338745
