,who,does,the,wage,gap,between,genders,provide,an,advantage,?
in,0.2792111933231354,0.214483380317688,0.6662389636039734,0.21568597853183746,0.1954546719789505,0.41100412607192993,0.22563697397708893,0.1910654902458191,0.2605783939361572,0.1498534232378006,0.20430970191955566
many,0.4149286150932312,0.30303922295570374,0.4335206151008606,0.1523624062538147,0.15930962562561035,0.29423660039901733,0.2840944826602936,0.2869836390018463,0.2465583086013794,0.2762105166912079,0.2124512493610382
countries,0.3002627491950989,0.2621564269065857,0.33290645480155945,0.2588411569595337,0.15931865572929382,0.24874255061149597,0.34576043486595154,0.22525641322135925,0.20055769383907318,0.18661156296730042,0.15128466486930847
",",0.3365725874900818,0.28617382049560547,0.4933079481124878,0.21011961996555328,0.213828906416893,0.27714940905570984,0.24427302181720734,0.20966707170009613,0.3581022024154663,0.1772463619709015,0.31091248989105225
there,0.2844357192516327,0.2930194139480591,0.47025805711746216,0.20923499763011932,0.2424214631319046,0.37209540605545044,0.20440872013568878,0.3496873676776886,0.22476400434970856,0.2269001007080078,0.29405656456947327
is,0.24293622374534607,0.4403602182865143,0.5823672413825989,0.16707952320575714,0.19868990778923035,0.26809602975845337,0.1667909473180771,0.23050084710121155,0.4654068350791931,0.17534933984279633,0.22961433231830597
a,0.36608949303627014,0.38201746344566345,0.5829201340675354,0.22897930443286896,0.22175835072994232,0.29385313391685486,0.21649935841560364,0.26036545634269714,0.44552403688430786,0.2823992371559143,0.23916715383529663
gender,0.3237629532814026,0.24271169304847717,0.24119289219379425,0.24064253270626068,0.14767587184906006,0.2366727888584137,0.8200582265853882,0.14073918759822845,0.131047323346138,0.1160312220454216,0.22791960835456848
pay,0.31589654088020325,0.19371740520000458,0.1903611719608307,0.4257655739784241,0.1660258173942566,0.15663135051727295,0.1140146553516388,0.24744339287281036,0.13945384323596954,0.2231912910938263,0.19821009039878845
gap,0.11554999649524689,0.1271917223930359,0.27986636757850647,0.2214699536561966,0.9999999403953552,0.30844828486442566,0.18128575384616852,0.15266451239585876,0.17671404778957367,0.20992708206176758,0.09251954406499863
in,0.2792111933231354,0.214483380317688,0.6662389636039734,0.21568597853183746,0.1954546719789505,0.41100412607192993,0.22563697397708893,0.1910654902458191,0.2605783939361572,0.1498534232378006,0.20430970191955566
favor,0.23959270119667053,0.17713692784309387,0.24460799992084503,0.28804317116737366,0.10322234779596329,0.12758764624595642,0.23553672432899475,0.23421409726142883,0.1877450793981552,0.27098891139030457,0.17767609655857086
of,0.2827862501144409,0.3119818866252899,0.733189046382904,0.18234474956989288,0.2172139286994934,0.3737983703613281,0.22386428713798523,0.27198103070259094,0.32280945777893066,0.20611627399921417,0.1826142966747284
males,0.21120920777320862,0.2087363451719284,0.2341974377632141,0.2349037528038025,0.17132596671581268,0.2536264657974243,0.41098538041114807,0.168656587600708,0.14869125187397003,0.2674438953399658,0.16612517833709717
in,0.2792111933231354,0.214483380317688,0.6662389636039734,0.21568597853183746,0.1954546719789505,0.41100412607192993,0.22563697397708893,0.1910654902458191,0.2605783939361572,0.1498534232378006,0.20430970191955566
the,0.3733934462070465,0.35928019881248474,1.0,0.2281475067138672,0.27986636757850647,0.39067012071609497,0.30531516671180725,0.26373472809791565,0.4207492768764496,0.2844003438949585,0.22068053483963013
labor,0.2242324948310852,0.12007958441972733,0.21506793797016144,0.4298483431339264,0.06279081851243973,0.15014992654323578,0.1342201828956604,0.14694684743881226,0.16185346245765686,0.12659204006195068,0.19386747479438782
market,0.10590363293886185,0.18972931802272797,0.2041238248348236,0.3128181993961334,0.1379002332687378,0.16633649170398712,0.14985908567905426,0.17054960131645203,0.15077361464500427,0.2508186101913452,0.12805593013763428
.,0.3541337847709656,0.3022993505001068,0.5934505462646484,0.24035237729549408,0.17168964445590973,0.30295518040657043,0.24860693514347076,0.23842981457710266,0.3581749200820923,0.18389295041561127,0.4130953550338745
