,abc,began,to,focus,on,what,kind,of,series,after,nbc,'s,success,in,1984,?
to,0.1762417107820511,0.2731419503688812,1.0,0.33288413286209106,0.41031414270401,0.455847829580307,0.28460726141929626,0.41548454761505127,0.19879554212093353,0.37890323996543884,0.14568616449832916,0.03782717138528824,0.20929217338562012,0.45010748505592346,-0.1508965641260147,0.29463258385658264
counteract,0.1373956948518753,0.1735973209142685,0.3296637535095215,0.2837597727775574,0.32768160104751587,0.31298497319221497,0.30387213826179504,0.2454369068145752,0.18846189975738525,0.12546269595623016,0.14873498678207397,0.007939721457660198,0.17415383458137512,0.20906217396259308,-0.14354965090751648,0.1937524974346161
nbc,0.63486248254776,0.22025194764137268,0.14568616449832916,0.21475264430046082,0.22545471787452698,0.1638578325510025,0.1190882995724678,0.12012486904859543,0.4281459450721741,0.18347948789596558,0.9999999403953552,0.07915050536394119,0.2548167407512665,0.19303210079669952,0.17568401992321014,0.1680917739868164
",",0.2097204476594925,0.2705576717853546,0.44245919585227966,0.23845507204532623,0.49057599902153015,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.24060699343681335,0.38860568404197693,0.17508727312088013,-0.0016132977325469255,0.2008737027645111,0.5201468467712402,0.1623975932598114,0.31091248989105225
abc,1.0000001192092896,0.2686883211135864,0.1762417107820511,0.22767385840415955,0.2862928807735443,0.1317344456911087,0.16052275896072388,0.14607268571853638,0.38518208265304565,0.20314010977745056,0.63486248254776,0.06670809537172318,0.22851410508155823,0.1697147786617279,0.225337415933609,0.19065172970294952
decided,0.18236005306243896,0.4790878891944885,0.43155255913734436,0.25715401768684387,0.30952155590057373,0.3212295174598694,0.13308699429035187,0.2880963683128357,0.14734843373298645,0.3979598879814148,0.17051972448825836,0.06634151935577393,0.2245790660381317,0.30060529708862305,-0.05789966508746147,0.258772075176239
to,0.1762417107820511,0.2731419503688812,1.0,0.33288413286209106,0.41031414270401,0.455847829580307,0.28460726141929626,0.41548454761505127,0.19879554212093353,0.37890323996543884,0.14568616449832916,0.03782717138528824,0.20929217338562012,0.45010748505592346,-0.1508965641260147,0.29463258385658264
refocus,0.20404215157032013,0.2454158216714859,0.3716263771057129,0.7420366406440735,0.2960025370121002,0.3946506083011627,0.23197561502456665,0.2728583812713623,0.24994756281375885,0.2676376700401306,0.19745603203773499,0.016931360587477684,0.32565683126449585,0.2922833263874054,-0.014733030460774899,0.32747000455856323
itself,0.1984531283378601,0.1018732562661171,0.340527206659317,0.20300783216953278,0.2864828109741211,0.3625122308731079,0.23904207348823547,0.3157202899456024,0.14682693779468536,0.27677300572395325,0.183437317609787,-0.024358876049518585,0.16945774853229523,0.28042417764663696,-0.12924572825431824,0.17933900654315948
on,0.2862928807735443,0.29460400342941284,0.41031414270401,0.3158062696456909,0.9999999403953552,0.34226128458976746,0.1850661337375641,0.3966929316520691,0.23828625679016113,0.39330315589904785,0.22545471787452698,0.0026888418942689896,0.20526273548603058,0.46853652596473694,0.03983059898018837,0.2714994251728058
comedies,0.2679051458835602,0.2552574574947357,0.17719049751758575,0.1788625866174698,0.23590895533561707,0.2392551153898239,0.1724860519170761,0.19674921035766602,0.3386780619621277,0.1680963784456253,0.3752734065055847,0.08870904892683029,0.23504005372524261,0.27071651816368103,0.023175636306405067,0.20290277898311615
and,0.16453155875205994,0.3021392226219177,0.48971283435821533,0.2707323133945465,0.4077630043029785,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.26972857117652893,0.3765919506549835,0.1969573199748993,0.06895173341035843,0.2493283897638321,0.4954058527946472,0.01118233148008585,0.20544172823429108
family-oriented,0.26533493399620056,0.29655858874320984,0.2760982811450958,0.3565549850463867,0.2527845799922943,0.23210997879505157,0.3029760718345642,0.2632026672363281,0.22048141062259674,0.18555544316768646,0.24095216393470764,0.036691077053546906,0.25892579555511475,0.27561405301094055,0.07956971228122711,0.18623007833957672
series,0.38518208265304565,0.2237756997346878,0.19879554212093353,0.2285323143005371,0.23828625679016113,0.17328087985515594,0.1731864959001541,0.22268271446228027,1.0000001192092896,0.22890618443489075,0.4281459450721741,0.0006390819908119738,0.24598896503448486,0.2914260923862457,0.03837282955646515,0.1709602326154709
beginning,0.24296143651008606,0.4659745693206787,0.32582011818885803,0.24827469885349274,0.2641787528991699,0.3351518511772156,0.2680075466632843,0.36558160185813904,0.34058550000190735,0.4301009774208069,0.20489558577537537,-0.03033691644668579,0.2768331468105316,0.3787442147731781,-0.03853674605488777,0.19413669407367706
in,0.1697147786617279,0.34154343605041504,0.45010748505592346,0.27219411730766296,0.46853652596473694,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.2914260923862457,0.44050168991088867,0.19303210079669952,-0.037580832839012146,0.3020555078983307,1.0,0.006334475241601467,0.20430970191955566
the,0.2068762183189392,0.3059147596359253,0.535392165184021,0.25318023562431335,0.5107308030128479,0.42745697498321533,0.2516445517539978,0.733189046382904,0.31376904249191284,0.4565047025680542,0.20618264377117157,-0.01540423184633255,0.2764457166194916,0.6662389636039734,-0.007670710328966379,0.22068053483963013
mid-1980s,0.11429709941148758,0.251382440328598,0.3246617019176483,0.1672315001487732,0.19008810818195343,0.19287826120853424,0.19811983406543732,0.3364188075065613,0.2088833600282669,0.2805900275707245,0.1142563447356224,0.027139395475387573,0.20125724375247955,0.279976487159729,-0.04758765548467636,0.03908414766192436
including,0.1471431404352188,0.2064490169286728,0.24006329476833344,0.1791754812002182,0.324923574924469,0.18328791856765747,0.20866802334785461,0.44195112586021423,0.2768470048904419,0.2202524095773697,0.1709458827972412,0.0074059427715837955,0.17632722854614258,0.35857823491096497,0.10427889227867126,0.1633303165435791
mr.,0.16600556671619415,0.2154799997806549,0.22307291626930237,0.16882430016994476,0.18491438031196594,0.2130533903837204,0.19674472510814667,0.10994108766317368,0.19739194214344025,0.252360463142395,0.23771722614765167,0.014947101473808289,0.19118860363960266,0.12829169631004333,0.0983818918466568,0.19814200699329376
belvedere,0.24082627892494202,0.2502555549144745,0.19016984105110168,0.1669018268585205,0.3090868592262268,0.1763181835412979,0.11660446226596832,0.31983354687690735,0.20717906951904297,0.25042739510536194,0.24846245348453522,-0.07567348331212997,0.2004418820142746,0.3819633722305298,0.21676018834114075,0.12010680884122849
",",0.2097204476594925,0.2705576717853546,0.44245919585227966,0.23845507204532623,0.49057599902153015,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.24060699343681335,0.38860568404197693,0.17508727312088013,-0.0016132977325469255,0.2008737027645111,0.5201468467712402,0.1623975932598114,0.31091248989105225
