,the,first,episode,of,doctor,who,premiered,the,day,after,what,famous,event,in,history,?
premiering,0.35048040747642517,0.3478009104728699,0.36585018038749695,0.27504923939704895,0.1687379777431488,0.27701428532600403,0.74229896068573,0.35048040747642517,0.21927668154239655,0.24972467124462128,0.23892967402935028,0.24304191768169403,0.2713315486907959,0.2893988788127899,0.21521447598934174,0.20125806331634521
the,1.0,0.49448907375335693,0.25342556834220886,0.733189046382904,0.2820442318916321,0.3733934462070465,0.2763466238975525,1.0,0.3062323033809662,0.4565047025680542,0.42745697498321533,0.28616565465927124,0.2960145175457001,0.6662389636039734,0.33215048909187317,0.22068053483963013
day,0.3062323033809662,0.28378555178642273,0.22638504207134247,0.2934032380580902,0.1563597172498703,0.2447325587272644,0.2292407602071762,0.3062323033809662,1.0,0.28449514508247375,0.2990210950374603,0.15858109295368195,0.3271280825138092,0.2671984136104584,0.20109279453754425,0.2141837179660797
after,0.4565047025680542,0.42302387952804565,0.2562639117240906,0.3867455720901489,0.1885940581560135,0.32549580931663513,0.20362669229507446,0.4565047025680542,0.28449514508247375,1.0,0.21973377466201782,0.2615819275379181,0.2552187740802765,0.44050168991088867,0.24675065279006958,0.16608688235282898
the,1.0,0.49448907375335693,0.25342556834220886,0.733189046382904,0.2820442318916321,0.3733934462070465,0.2763466238975525,1.0,0.3062323033809662,0.4565047025680542,0.42745697498321533,0.28616565465927124,0.2960145175457001,0.6662389636039734,0.33215048909187317,0.22068053483963013
assassination,0.2033206969499588,0.24696820974349976,0.20265035331249237,0.23465228080749512,0.10495249927043915,0.2732718586921692,0.18809999525547028,0.2033206969499588,0.2472449243068695,0.2669829726219177,0.20876023173332214,0.12713564932346344,0.23686033487319946,0.12939710915088654,0.17909416556358337,0.21308238804340363
of,0.733189046382904,0.3536086082458496,0.17369085550308228,1.0,0.16895952820777893,0.2827862501144409,0.17575117945671082,0.733189046382904,0.2934032380580902,0.3867455720901489,0.33290785551071167,0.3074295222759247,0.19878064095973969,0.5696388483047485,0.31014925241470337,0.1826142966747284
john,0.2230520099401474,0.2870165705680847,0.16453969478607178,0.2407056987285614,0.2020767480134964,0.30388808250427246,0.1683516800403595,0.2230520099401474,0.17025938630104065,0.22597751021385193,0.18237407505512238,0.22112208604812622,0.14246417582035065,0.22177861630916595,0.1944611817598343,0.13162356615066528
f.,0.18440215289592743,0.13310599327087402,0.045726168900728226,0.21892845630645752,0.026010653004050255,0.16394910216331482,0.10670243948698044,0.18440215289592743,0.11413353681564331,0.16957636177539825,0.18076683580875397,0.05516745522618294,0.08016877621412277,0.12595218420028687,0.024179348722100258,0.11007396876811981
kennedy,0.20303435623645782,0.22211624681949615,0.2042824923992157,0.1657739132642746,0.13345381617546082,0.19708238542079926,0.19135722517967224,0.20303435623645782,0.2081570327281952,0.22713129222393036,0.2125646471977234,0.11938271671533585,0.142704039812088,0.10888300836086273,0.1423729807138443,0.21965277194976807
