,what,are,the,two,abc,affiliates,for,tampa,",",florida,?
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.2068762183189392,0.1912562996149063,0.4739971458911896,0.19435131549835205,0.4933079481124878,0.24091358482837677,0.22068053483963013
network,0.16917307674884796,0.2036537528038025,0.27187061309814453,0.18832415342330933,0.4295894205570221,0.437904417514801,0.253274142742157,0.1773412674665451,0.1932937651872635,0.154387965798378,0.17853789031505585
has,0.20338068902492523,0.4313911199569702,0.4177538752555847,0.3772575855255127,0.23067910969257355,0.11928924173116684,0.450642853975296,0.17089712619781494,0.3734780251979828,0.15315955877304077,0.15994466841220856
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.2068762183189392,0.1912562996149063,0.4739971458911896,0.19435131549835205,0.4933079481124878,0.24091358482837677,0.22068053483963013
unusual,0.2481527328491211,0.2840610146522522,0.3101860284805298,0.2570500075817108,0.1464250087738037,0.07752452045679092,0.29513078927993774,0.10501546412706375,0.24038779735565186,0.18032509088516235,0.1398017257452011
distinction,0.33474257588386536,0.28600630164146423,0.3135315477848053,0.2881808280944824,0.12356016784906387,0.1718994826078415,0.30443647503852844,0.115437813103199,0.27985477447509766,0.17491938173770905,0.15412788093090057
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.37726253271102905,0.14607268571853638,0.1803562045097351,0.4185989499092102,0.12850572168827057,0.4946078956127167,0.2330869883298874,0.1826142966747284
having,0.34064167737960815,0.3686100244522095,0.3821379244327545,0.3507533669471741,0.13503289222717285,0.09001065790653229,0.38465240597724915,0.13590385019779205,0.3154076039791107,0.1329592764377594,0.22418256103992462
separately,0.31382590532302856,0.38941726088523865,0.3291756212711334,0.428073912858963,0.08848109096288681,0.14408725500106812,0.2787400186061859,0.05651264265179634,0.2931068241596222,0.11392739415168762,0.13878987729549408
owned,0.12432919442653656,0.17828314006328583,0.1999378502368927,0.17071114480495453,0.2405787706375122,0.3446543216705322,0.19904224574565887,0.21179243922233582,0.21168820559978485,0.13255557417869568,0.1288648396730423
