,the,muslim,brotherhood,'s,competence,compares,well,against,what,type,of,local,governments,?
all,0.4860881567001343,0.3034571707248688,0.27924224734306335,0.03181743621826172,0.33162006735801697,0.20537258684635162,0.42960748076438904,0.25077855587005615,0.41981086134910583,0.21204189956188202,0.42798417806625366,0.20528219640254974,0.27060258388519287,0.29575422406196594
this,0.6274310946464539,0.24247924983501434,0.2113528996706009,0.02106832154095173,0.32081475853919983,0.27653560042381287,0.3988443613052368,0.27292028069496155,0.5489566326141357,0.36936521530151367,0.45148900151252747,0.2281547635793686,0.2578362226486206,0.3155723512172699
compares,0.3248760402202606,0.12357023358345032,0.19404615461826324,0.019784674048423767,0.2500600516796112,0.9999999403953552,0.19866158068180084,0.20441648364067078,0.2933214008808136,0.23492179811000824,0.35332101583480835,0.12670990824699402,0.1731443703174591,0.24103082716464996
very,0.34171217679977417,0.19812920689582825,0.12731841206550598,0.024833835661411285,0.22307005524635315,0.23722809553146362,0.4986899495124817,0.18329188227653503,0.37053924798965454,0.21407891809940338,0.34437474608421326,0.16925260424613953,0.23257647454738617,0.20864155888557434
favourably,0.2442261129617691,0.27202877402305603,0.20494379103183746,-0.0016573533648625016,0.2463308572769165,0.23782609403133392,0.320319265127182,0.24889257550239563,0.24449387192726135,0.15691955387592316,0.2533557713031769,0.1348787248134613,0.21931973099708557,0.20140649378299713
against,0.3090755045413971,0.21330544352531433,0.33252057433128357,-0.0006242102244868875,0.2637031674385071,0.20441648364067078,0.21075023710727692,1.0,0.24561616778373718,0.14162683486938477,0.2669808566570282,0.1520662158727646,0.2939453423023224,0.18095137178897858
incompetent,0.20141135156154633,0.16765430569648743,0.18185091018676758,0.04539022594690323,0.7457882165908813,0.16092826426029205,0.30358150601387024,0.2364075481891632,0.4163341522216797,0.18561027944087982,0.24013733863830566,0.13570909202098846,0.36397215723991394,0.28436338901519775
",",0.4933079481124878,0.21974200010299683,0.21324464678764343,-0.0016132977325469255,0.2580561637878418,0.23164257407188416,0.4331948161125183,0.31168749928474426,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20673875510692596,0.259052038192749,0.31091248989105225
inefficient,0.2844371497631073,0.21997088193893433,0.18848569691181183,0.035090479999780655,0.3798030614852905,0.26720380783081055,0.2832709848880768,0.2950874865055084,0.2926245331764221,0.20207035541534424,0.24668362736701965,0.20528334379196167,0.40436112880706787,0.232131689786911
",",0.4933079481124878,0.21974200010299683,0.21324464678764343,-0.0016132977325469255,0.2580561637878418,0.23164257407188416,0.4331948161125183,0.31168749928474426,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20673875510692596,0.259052038192749,0.31091248989105225
or,0.4174870550632477,0.24162378907203674,0.20390009880065918,0.06871571391820908,0.30870407819747925,0.2796851098537445,0.36237701773643494,0.21177110075950623,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.24451059103012085,0.27472037076950073,0.32389625906944275
neglectful,0.1402871161699295,0.2584923505783081,0.21727058291435242,0.03946530818939209,0.35180962085723877,0.15611626207828522,0.2968309819698334,0.11337354779243469,0.33066245913505554,0.11510994285345078,0.20638607442378998,0.156024768948555,0.23521952331066132,0.24559006094932556
governments,0.2835306227207184,0.30748143792152405,0.30525094270706177,0.03380228206515312,0.3001621663570404,0.1731443703174591,0.22020676732063293,0.2939453423023224,0.2814749777317047,0.12310703843832016,0.30223309993743896,0.35048314929008484,1.0,0.18805137276649475
whose,0.38253846764564514,0.21458622813224792,0.27129849791526794,-0.019954677671194077,0.23417334258556366,0.21188552677631378,0.2772355079650879,0.1855844110250473,0.22831642627716064,0.06549305468797684,0.37058958411216736,0.1472156047821045,0.1490660011768341,0.16990536451339722
commitment,0.23078779876232147,0.21393339335918427,0.32630467414855957,0.08736924082040787,0.4691014885902405,0.25546491146087646,0.1758623570203781,0.3036467134952545,0.344460129737854,0.0997793897986412,0.23438134789466858,0.1025981530547142,0.3058089017868042,0.238871768116951
to,0.535392165184021,0.2551989257335663,0.21977385878562927,0.03782717138528824,0.33958306908607483,0.277158260345459,0.3422003388404846,0.310872346162796,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2207600325345993,0.30281347036361694,0.29463258385658264
social,0.21797899901866913,0.2631288766860962,0.24048589169979095,0.030711397528648376,0.29932472109794617,0.23281987011432648,0.2357846200466156,0.21721182763576508,0.22217629849910736,0.10143082588911057,0.2605111300945282,0.18310795724391937,0.3680153489112854,0.1615191102027893
justice,0.23470892012119293,0.28931841254234314,0.33525165915489197,0.013917717151343822,0.36012133955955505,0.12441536039113998,0.16055764257907867,0.2328505516052246,0.21462921798229218,-0.009537100791931152,0.2658293545246124,0.11205856502056122,0.2964295744895935,0.19269752502441406
is,0.5823672413825989,0.18165594339370728,0.16092538833618164,0.02396530658006668,0.27613162994384766,0.33336344361305237,0.33406564593315125,0.1754940152168274,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.13173899054527283,0.203748419880867,0.22961433231830597
limited,0.2757521867752075,0.15899819135665894,0.1224161684513092,0.009881002828478813,0.33554479479789734,0.21564671397209167,0.26459482312202454,0.10362793505191803,0.23110276460647583,0.18099308013916016,0.3373238146305084,0.25069892406463623,0.27788400650024414,0.09444807469844818
to,0.535392165184021,0.2551989257335663,0.21977385878562927,0.03782717138528824,0.33958306908607483,0.277158260345459,0.3422003388404846,0.310872346162796,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2207600325345993,0.30281347036361694,0.29463258385658264
rhetoric,0.1746336966753006,0.20476365089416504,0.2162330001592636,0.007105655036866665,0.34110501408576965,0.3115384578704834,0.29430973529815674,0.1801302134990692,0.35592612624168396,0.2017565220594406,0.2249872386455536,0.192903071641922,0.2204064130783081,0.2396131157875061
.,0.5934505462646484,0.27078697085380554,0.15035925805568695,-0.003708066651597619,0.19408033788204193,0.22303789854049683,0.42422395944595337,0.28705209493637085,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.26217252016067505,0.24066300690174103,0.4130953550338745
