,in,what,year,did,raymond,sullivan,publish,a,study,of,rudimentary,sets,?
earlier,0.24141792953014374,0.22624605894088745,0.21058620512485504,0.24518106877803802,0.1630394011735916,0.17611950635910034,0.08276199549436569,0.19610044360160828,0.14085416495800018,0.27635854482650757,0.19093939661979675,0.1559562385082245,0.13306351006031036
papers,0.21986161172389984,0.16029351949691772,0.1924237757921219,0.22329595685005188,0.1775805801153183,0.20308123528957367,0.4821690022945404,0.1634085327386856,0.33577218651771545,0.17829445004463196,0.19713184237480164,0.1231791228055954,0.12157123535871506
studying,0.32655033469200134,0.3393959105014801,0.14649908244609833,0.25819528102874756,0.09169653058052063,0.1452682912349701,0.24799998104572296,0.28715598583221436,0.7506858110427856,0.2883101999759674,0.36337727308273315,0.1706075817346573,0.14438828825950623
problems,0.21061907708644867,0.3306994140148163,0.14050938189029694,0.2553269863128662,0.17446723580360413,0.09102150797843933,0.22224166989326477,0.21523453295230865,0.2165839970111847,0.2450421154499054,0.15523190796375275,0.2119702696800232,0.2638136148452759
solvable,0.23117923736572266,0.3505726754665375,0.1498813033103943,0.1742035150527954,0.11109019815921783,0.21757526695728302,0.25465017557144165,0.3367801904678345,0.22361156344413757,0.24158811569213867,0.34119126200675964,0.2703727185726166,0.2862088680267334
by,0.370934396982193,0.2455483376979828,0.28805047273635864,0.18574509024620056,0.18077266216278076,0.17550812661647797,0.21025247871875763,0.32094135880470276,0.1623244434595108,0.3646814823150635,0.23607958853244781,0.18171922862529755,0.17966607213020325
turing,0.26572495698928833,0.2806522250175476,0.18190158903598785,0.16969428956508636,0.17534811794757843,0.2343875914812088,0.21223559975624084,0.25234705209732056,0.30000266432762146,0.2670239806175232,0.16950470209121704,0.1915014535188675,0.1460462063550949
machines,0.2209317833185196,0.25512105226516724,0.1182941198348999,0.24531704187393188,0.1505310982465744,0.18523667752742767,0.17203599214553833,0.21060632169246674,0.19811798632144928,0.18757474422454834,0.2689957320690155,0.25132662057876587,0.17646311223506927
with,0.4080928862094879,0.2464839518070221,0.3220449686050415,0.25472134351730347,0.13868433237075806,0.16467416286468506,0.2073194831609726,0.3783375024795532,0.15485534071922302,0.41827285289764404,0.22375044226646423,0.19561094045639038,0.2433311939239502
specific,0.26078200340270996,0.37695175409317017,0.19953656196594238,0.20584477484226227,0.07869699597358704,0.09577640891075134,0.18443170189857483,0.3531852960586548,0.21581622958183289,0.2744234502315521,0.21055911481380463,0.25130030512809753,0.30923372507095337
bounded,0.305585652589798,0.14650486409664154,0.08824551105499268,0.09211555868387222,0.14328943192958832,0.08955541253089905,0.07742339372634888,0.2297627031803131,0.14201410114765167,0.28187957406044006,0.23387792706489563,0.1639920175075531,0.029345547780394554
resources,0.2161814570426941,0.24701403081417084,0.07313815504312515,0.19938795268535614,0.08822540193796158,0.13565130531787872,0.222734734416008,0.19164273142814636,0.2803246080875397,0.2746381163597107,0.17533811926841736,0.1541953831911087,0.26047492027282715
