,when,were,the,earliest,doctor,who,books,available,?
doctor,0.16867952048778534,0.11412792652845383,0.2820442318916321,0.0661616250872612,0.9999999403953552,0.3504868149757385,0.22348254919052124,0.16156968474388123,0.1462511420249939
who,0.48282691836357117,0.3188014328479767,0.3733934462070465,0.19994589686393738,0.3504868149757385,0.9999998807907104,0.25903794169425964,0.1272890865802765,0.26220351457595825
books,0.1957922726869583,0.21913474798202515,0.23187310993671417,0.1991550624370575,0.22348254919052124,0.25903794169425964,1.0,0.2639281749725342,0.1897611767053604
have,0.40555819869041443,0.5193349123001099,0.40389683842658997,0.3157048523426056,0.17649078369140625,0.39246654510498047,0.20376041531562805,0.2687431275844574,0.32991164922714233
been,0.3339833617210388,0.5062422156333923,0.3563927710056305,0.2800230383872986,0.12184444069862366,0.3295723795890808,0.22882255911827087,0.19695866107940674,0.24354910850524902
published,0.1944759637117386,0.20513179898262024,0.22017472982406616,0.1923004388809204,0.1912035495042801,0.16961833834648132,0.4908095896244049,0.2942379117012024,0.16280238330364227
from,0.405669629573822,0.29991888999938965,0.40150508284568787,0.18898770213127136,0.15658842027187347,0.27839982509613037,0.1481952667236328,0.21971632540225983,0.19969791173934937
the,0.5091903209686279,0.3906462490558624,1.0,0.32825469970703125,0.2820442318916321,0.3733934462070465,0.23187310993671417,0.26723232865333557,0.22068053483963013
mid-sixties,0.29569923877716064,0.34943339228630066,0.2874106168746948,0.2827301621437073,0.17465120553970337,0.24023836851119995,0.3045051693916321,0.1793556660413742,0.1433895230293274
through,0.34666842222213745,0.20187680423259735,0.44071322679519653,0.15582816302776337,0.17974799871444702,0.17793183028697968,0.14718645811080933,0.14645498991012573,0.16913433372974396
to,0.5423505902290344,0.31913647055625916,0.535392165184021,0.20613901317119598,0.22950075566768646,0.42656609416007996,0.20019930601119995,0.2394571453332901,0.29463258385658264
the,0.5091903209686279,0.3906462490558624,1.0,0.32825469970703125,0.2820442318916321,0.3733934462070465,0.23187310993671417,0.26723232865333557,0.22068053483963013
present,0.20709340274333954,0.16091316938400269,0.2829846143722534,0.20450586080551147,0.1042683944106102,0.12091390043497086,0.07532315701246262,0.17497387528419495,0.21759982407093048
day,0.30730122327804565,0.23235180974006653,0.3062323033809662,0.2118261605501175,0.1563597172498703,0.2447325587272644,0.16030487418174744,0.14009660482406616,0.2141837179660797
.,0.475719153881073,0.3378238379955292,0.5934505462646484,0.21521835029125214,0.22361043095588684,0.3541337847709656,0.2393038123846054,0.3383464217185974,0.4130953550338745
,when,were,the,earliest,doctor,who,books,available,?
from,0.405669629573822,0.29991888999938965,0.40150508284568787,0.18898770213127136,0.15658842027187347,0.27839982509613037,0.1481952667236328,0.21971632540225983,0.19969791173934937
