,what,is,the,most,common,form,of,oxygen,on,the,planet,?
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.2705984115600586,0.29286009073257446,0.733189046382904,0.20428593456745148,0.5107308030128479,1.0,0.2470240592956543,0.22068053483963013
common,0.19989867508411407,0.2952355444431305,0.2705984115600586,0.42714235186576843,0.9999998807907104,0.3049631416797638,0.2949881851673126,0.2612002193927765,0.22368024289608002,0.2705984115600586,0.09557081013917923,0.20434872806072235
allotrope,0.15761715173721313,0.3405674993991852,0.24387703835964203,0.3291301131248474,0.36811521649360657,0.34502482414245605,0.2864323854446411,0.4825264811515808,0.17853499948978424,0.24387703835964203,0.2332247793674469,0.22829397022724152
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.4178851246833801,0.2949881851673126,0.29600051045417786,1.0,0.16848602890968323,0.3966929316520691,0.733189046382904,0.19911958277225494,0.1826142966747284
elemental,0.21225760877132416,0.27535027265548706,0.20710735023021698,0.16418635845184326,0.24030126631259918,0.21639637649059296,0.26839062571525574,0.29210585355758667,0.15679937601089478,0.20710735023021698,0.21018549799919128,0.1721096783876419
oxygen,0.16781960427761078,0.21825239062309265,0.20428593456745148,0.21728017926216125,0.2612002193927765,0.22106200456619263,0.16848602890968323,0.9999999403953552,0.2008662223815918,0.20428593456745148,0.23710677027702332,0.16786395013332367
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.28303956985473633,0.22368024289608002,0.1214052140712738,0.3966929316520691,0.2008662223815918,0.9999999403953552,0.5107308030128479,0.18479855358600616,0.2714994251728058
earth,0.25883176922798157,0.26888176798820496,0.2801888585090637,0.23000380396842957,0.19155855476856232,0.17146925628185272,0.2329314798116684,0.3065866231918335,0.20645220577716827,0.2801888585090637,0.6280893683433533,0.17717236280441284
is,0.28837618231773376,1.0,0.5823672413825989,0.41165053844451904,0.2952355444431305,0.3218395411968231,0.4854315221309662,0.21825239062309265,0.3635730445384979,0.5823672413825989,0.2221219539642334,0.22961433231830597
called,0.3235960602760315,0.430266410112381,0.489897221326828,0.35463574528694153,0.2879287302494049,0.39092445373535156,0.4222904443740845,0.1788431704044342,0.25462663173675537,0.489897221326828,0.23274634778499603,0.18963319063186646
dioxygen,0.22355574369430542,0.2500855028629303,0.2871758043766022,0.25574594736099243,0.2590431272983551,0.20672428607940674,0.24121849238872528,0.9219944477081299,0.22839337587356567,0.2871758043766022,0.2813027501106262,0.18348100781440735
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.2497023195028305,0.21805599331855774,0.4946078956127167,0.21812842786312103,0.49057599902153015,0.4933079481124878,0.19326971471309662,0.31091248989105225
o,0.1489914506673813,0.18684464693069458,0.19071193039417267,0.12089966237545013,0.09797684103250504,0.1058930829167366,0.16054381430149078,0.2476140707731247,0.15472573041915894,0.19071193039417267,0.1911635845899582,0.23868927359580994
2,-0.049862053245306015,-0.07940074801445007,-0.019434669986367226,-0.04698450118303299,0.07105498760938644,0.031230177730321884,-0.013777675107121468,0.04063820466399193,-0.0046874904073774815,-0.019434669986367226,0.005652918945997953,0.001977203879505396
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.35404038429260254,0.21817955374717712,0.28317511081695557,0.5352458953857422,0.2554275095462799,0.49257001280784607,0.5934505462646484,0.24422165751457214,0.4130953550338745
