,what,type,of,steam,engine,produces,most,electricity,in,the,world,today,?
considering,0.45582762360572815,0.1442776769399643,0.32865074276924133,0.13109558820724487,0.2276492863893509,0.2227369248867035,0.32683998346328735,0.2295553982257843,0.2312227040529251,0.30696970224380493,0.18527141213417053,0.277019739151001,0.41417282819747925
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.24386391043663025,0.23960842192173004,0.2709540128707886,0.4497850239276886,0.28066468238830566,0.435920387506485,0.5473989248275757,0.2972288429737091,0.3898550271987915,0.32716336846351624
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23105813562870026,0.21651263535022736,0.2783815562725067,0.47635307908058167,0.274786114692688,0.6662389636039734,1.0,0.33604270219802856,0.35740926861763,0.22068053483963013
great,0.2562883198261261,0.1103498712182045,0.3168134391307831,0.19214312732219696,0.14650259912014008,0.046319492161273956,0.21389809250831604,0.17248530685901642,0.23348836600780487,0.2822027802467346,0.21953028440475464,0.1718197911977768,0.13135133683681488
majority,0.25967487692832947,0.1443064659833908,0.29706597328186035,0.14055567979812622,0.10713469982147217,0.0940714031457901,0.3424006998538971,0.20712848007678986,0.2563854157924652,0.28757327795028687,0.17229796946048737,0.2649803161621094,0.220119908452034
of,0.33290785551071167,0.18112817406654358,1.0,0.20239725708961487,0.17095594108104706,0.24670347571372986,0.4178851246833801,0.22897469997406006,0.5696388483047485,0.733189046382904,0.2828933000564575,0.3291318118572235,0.1826142966747284
worldwide,0.20704631507396698,0.17134112119674683,0.23144318163394928,0.11476326733827591,0.1484437733888626,0.2307136356830597,0.38165467977523804,0.22804921865463257,0.30781108140945435,0.2698158025741577,0.4931164085865021,0.29319432377815247,0.2253960371017456
electric,0.15451551973819733,0.19005827605724335,0.17329032719135284,0.3633075952529907,0.31503960490226746,0.29213160276412964,0.14066481590270996,0.7092110514640808,0.19779469072818756,0.21345196664333344,0.1332201212644577,0.1394638568162918,0.15674720704555511
generation,0.1869358867406845,0.22990892827510834,0.23948384821414948,0.2492176592350006,0.24690720438957214,0.27697768807411194,0.2290399968624115,0.29217860102653503,0.1854984611272812,0.26573610305786133,0.265188604593277,0.21708303689956665,0.18250396847724915
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.13029660284519196,0.18856970965862274,0.35465162992477417,0.41165053844451904,0.22211486101150513,0.5394441485404968,0.5823672413825989,0.24458536505699158,0.3404538929462433,0.22961433231830597
produced,0.1393624097108841,0.12300962954759598,0.18961067497730255,0.1864473819732666,0.19917616248130798,0.5690850019454956,0.19145746529102325,0.24335412681102753,0.2542861998081207,0.22045251727104187,0.19007574021816254,0.16110630333423615,0.1623450517654419
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.18134352564811707,0.1870088279247284,0.23447808623313904,0.270847886800766,0.2150920331478119,0.370934396982193,0.4408751428127289,0.22306372225284576,0.16644306480884552,0.17966607213020325
turbine,0.1404699683189392,0.18301278352737427,0.17630848288536072,0.5301763415336609,0.5220824480056763,0.32706546783447266,0.12895047664642334,0.5109224915504456,0.19420358538627625,0.1799832284450531,0.18349908292293549,0.1762867122888565,0.16315746307373047
type,0.2722663879394531,1.0000001192092896,0.18112817406654358,0.2094206064939499,0.16939829289913177,0.2671908736228943,0.24228660762310028,0.20340080559253693,0.20604541897773743,0.21819381415843964,0.13339558243751526,0.17021092772483826,0.17536182701587677
