,what,other,role,do,many,pharmacists,play,?
pharmacists,0.28274545073509216,0.3319152593612671,0.09023214876651764,0.328380823135376,0.32936540246009827,1.0,0.23417280614376068,0.1797308325767517
may,0.25739946961402893,0.40045788884162903,0.15055087208747864,0.28230178356170654,0.29758191108703613,0.2343803346157074,0.16516880691051483,0.2768254578113556
also,0.42747777700424194,0.5326101183891296,0.3320251703262329,0.36242780089378357,0.6258217096328735,0.33415913581848145,0.28485944867134094,0.21848613023757935
be,0.3929833769798279,0.4629868268966675,0.1769188493490219,0.36575672030448914,0.3961109519004822,0.2688070833683014,0.26653528213500977,0.3324260413646698
small-business,0.3121749758720398,0.40582209825515747,0.23128436505794525,0.33601173758506775,0.4159712791442871,0.3867873251438141,0.20194889605045319,0.2575141489505768
proprietors,0.16715747117996216,0.24008941650390625,0.14977872371673584,0.1159195527434349,0.2222289890050888,0.2655169367790222,0.1868131309747696,0.10467316955327988
",",0.3087472915649414,0.4446498453617096,0.199491485953331,0.3283645510673523,0.40610817074775696,0.22197484970092773,0.2231253683567047,0.31091248989105225
owning,0.31457746028900146,0.2408166080713272,0.1195184737443924,0.2543022930622101,0.28307199478149414,0.29709455370903015,0.19060295820236206,0.23171958327293396
the,0.42745697498321533,0.44152235984802246,0.26607486605644226,0.30239659547805786,0.4335206151008606,0.24311043322086334,0.24793598055839539,0.22068053483963013
pharmacy,0.21638189256191254,0.18628889322280884,0.08443436771631241,0.21983878314495087,0.15472638607025146,0.7877770662307739,0.1688346564769745,0.1355620175600052
in,0.30808621644973755,0.39989137649536133,0.243671715259552,0.23402775824069977,0.41474202275276184,0.22358480095863342,0.24321173131465912,0.20430970191955566
which,0.5261979103088379,0.50507652759552,0.18845273554325104,0.31153854727745056,0.5168171525001526,0.22686466574668884,0.24836887419223785,0.25814583897590637
they,0.4431931674480438,0.5182796120643616,0.1656014621257782,0.4667694866657257,0.5400822758674622,0.40619930624961853,0.30507370829582214,0.2753053903579712
practice,0.2749895751476288,0.25364524126052856,0.14965930581092834,0.26808103919029236,0.24912574887275696,0.2789456844329834,0.17810796201229095,0.21386858820915222
.,0.3567904531955719,0.41511186957359314,0.22067026793956757,0.3613996207714081,0.3974229395389557,0.27446362376213074,0.25552695989608765,0.4130953550338745
