,what,was,the,number,of,customers,that,the,bbc,reported,had,yet,to,receive,the,service,due,to,failed,deliveries,?
finally,0.33623361587524414,0.3442646861076355,0.4516841769218445,0.2019972950220108,0.2709518074989319,0.16042952239513397,0.43332573771476746,0.4516841769218445,0.13375084102153778,0.18572652339935303,0.3374757170677185,0.40882086753845215,0.4384642541408539,0.1559668779373169,0.4516841769218445,0.170896977186203,0.18549641966819763,0.4384642541408539,0.4184649884700775,0.2499454915523529,0.16868984699249268
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2535701394081116,0.4946078956127167,0.15941546857357025,0.4137537479400635,0.4933079481124878,0.14724469184875488,0.2771649956703186,0.35487717390060425,0.2907346785068512,0.44245919585227966,0.26574233174324036,0.4933079481124878,0.2389259785413742,0.3106630742549896,0.44245919585227966,0.28599733114242554,0.21752388775348663,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.35145696997642517,0.733189046382904,0.18648205697536469,0.5473989248275757,1.0,0.2735401690006256,0.24444028735160828,0.3875846862792969,0.32892218232154846,0.535392165184021,0.2726488411426544,1.0,0.22661015391349792,0.22577603161334991,0.535392165184021,0.32787200808525085,0.28567758202552795,0.22068053483963013
bbc,0.20634698867797852,0.19087861478328705,0.2735401690006256,0.14054079353809357,0.1797877550125122,0.15620699524879456,0.22032664716243744,0.2735401690006256,1.0000001192092896,0.24320539832115173,0.2117813676595688,0.16461023688316345,0.19421324133872986,0.12246976047754288,0.2735401690006256,0.2537798583507538,0.13488031923770905,0.19421324133872986,0.09775127470493317,0.19414080679416656,0.20556949079036713
reported,0.16211873292922974,0.2993243634700775,0.24444028735160828,0.14098899066448212,0.23745855689048767,0.2167319506406784,0.2721617817878723,0.24444028735160828,0.24320539832115173,0.9999999403953552,0.41710206866264343,0.19992177188396454,0.20339804887771606,0.193873330950737,0.24444028735160828,0.1958843618631363,0.2523868680000305,0.20339804887771606,0.26839765906333923,0.2550014853477478,0.16150116920471191
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.32951247692108154,0.41498205065727234,0.3066955804824829,1.0,0.5473989248275757,0.22032664716243744,0.2721617817878723,0.4407361149787903,0.5200790762901306,0.5436353087425232,0.2748669683933258,0.5473989248275757,0.24765339493751526,0.2827286720275879,0.5436353087425232,0.3242781460285187,0.27217206358909607,0.32716336846351624
"17,000",0.1148969754576683,0.14685876667499542,0.15755057334899902,0.12126460671424866,0.19384504854679108,0.19907692074775696,0.0839046835899353,0.15755057334899902,0.08748120814561844,0.10842543095350266,0.18872378766536713,0.1785038858652115,0.11567257344722748,0.16590091586112976,0.15755057334899902,0.12343516945838928,0.08996517211198807,0.11567257344722748,0.15073415637016296,0.13392490148544312,0.16679523885250092
customers,0.2209549993276596,0.16072756052017212,0.18648205697536469,0.18391697108745575,0.1474810689687729,1.0,0.3066955804824829,0.18648205697536469,0.15620699524879456,0.2167319506406784,0.29034623503685,0.22203412652015686,0.3428913950920105,0.27230164408683777,0.18648205697536469,0.3561539351940155,0.22250647842884064,0.3428913950920105,0.2305985391139984,0.4064038097858429,0.203953355550766
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.2758786678314209,0.37755560874938965,0.29034623503685,0.4407361149787903,0.3875846862792969,0.2117813676595688,0.41710206866264343,0.9999999403953552,0.3756679892539978,0.37984350323677063,0.25699755549430847,0.3875846862792969,0.15062880516052246,0.24372361600399017,0.37984350323677063,0.39850887656211853,0.28293776512145996,0.20728366076946259
yet,0.44080492854118347,0.2944047451019287,0.32892218232154846,0.2628546357154846,0.22536693513393402,0.22203412652015686,0.5200790762901306,0.32892218232154846,0.16461023688316345,0.19992177188396454,0.3756679892539978,0.9999998807907104,0.3520398437976837,0.22438855469226837,0.32892218232154846,0.13389194011688232,0.24300813674926758,0.3520398437976837,0.3433833420276642,0.20723727345466614,0.4011770784854889
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.2706126868724823,0.41548454761505127,0.3428913950920105,0.5436353087425232,0.535392165184021,0.19421324133872986,0.20339804887771606,0.37984350323677063,0.3520398437976837,1.0,0.3372296690940857,0.535392165184021,0.24411341547966003,0.35188060998916626,1.0,0.4406343400478363,0.2617136240005493,0.29463258385658264
receive,0.20392422378063202,0.210550457239151,0.2726488411426544,0.16809892654418945,0.25992685556411743,0.27230164408683777,0.2748669683933258,0.2726488411426544,0.12246976047754288,0.193873330950737,0.25699755549430847,0.22438855469226837,0.3372296690940857,0.9999998807907104,0.2726488411426544,0.2927432954311371,0.17180076241493225,0.3372296690940857,0.2544788420200348,0.27574843168258667,0.1652119904756546
the,0.42745697498321533,0.48711544275283813,1.0,0.35145696997642517,0.733189046382904,0.18648205697536469,0.5473989248275757,1.0,0.2735401690006256,0.24444028735160828,0.3875846862792969,0.32892218232154846,0.535392165184021,0.2726488411426544,1.0,0.22661015391349792,0.22577603161334991,0.535392165184021,0.32787200808525085,0.28567758202552795,0.22068053483963013
service,0.16857224702835083,0.22689001262187958,0.22661015391349792,0.16447213292121887,0.18425606191158295,0.3561539351940155,0.24765339493751526,0.22661015391349792,0.2537798583507538,0.1958843618631363,0.15062880516052246,0.13389194011688232,0.24411341547966003,0.2927432954311371,0.22661015391349792,0.9999998807907104,0.17099058628082275,0.24411341547966003,0.12703721225261688,0.3043806850910187,0.1676298975944519
