,what,happened,to,most,of,tesla,'s,work,from,this,time,?
soon,0.3005380630493164,0.3244011104106903,0.3827410042285919,0.19094407558441162,0.23495697975158691,0.1482267826795578,-0.051862090826034546,0.2860746383666992,0.2704044282436371,0.3597148060798645,0.34375467896461487,0.17460282146930695
after,0.21973377466201782,0.40630295872688293,0.37890323996543884,0.22962093353271484,0.3867455720901489,0.0752151682972908,-0.055672239512205124,0.13635344803333282,0.4051513373851776,0.3357301354408264,0.40345117449760437,0.16608688235282898
",",0.3087472915649414,0.3230119049549103,0.44245919585227966,0.3636029064655304,0.4946078956127167,0.20599327981472015,-0.0016132977325469255,0.3283594250679016,0.39760664105415344,0.4316047728061676,0.3029961884021759,0.31091248989105225
much,0.45316147804260254,0.2898404896259308,0.40610215067863464,0.4205867648124695,0.2671096920967102,0.20609156787395477,0.06731651723384857,0.38858485221862793,0.24480824172496796,0.5015546083450317,0.3794040381908417,0.23442231118679047
of,0.33290785551071167,0.30501094460487366,0.41548454761505127,0.4178851246833801,1.0,0.18837453424930573,-0.03817026689648628,0.23473061621189117,0.4249346852302551,0.45148900151252747,0.35127586126327515,0.1826142966747284
tesla,0.23221199214458466,0.11394373327493668,0.17548894882202148,0.09699761122465134,0.18837453424930573,0.9999999403953552,0.06449045985937119,0.2545209228992462,0.10324860364198685,0.2066725641489029,0.14928559958934784,0.10250775516033173
's,0.02692362666130066,-0.012165569700300694,0.03782717138528824,0.024445664137601852,-0.03817026689648628,0.06449045985937119,0.9999999403953552,-0.03332063928246498,-0.01936490088701248,0.02106832154095173,0.01301188487559557,-0.023395681753754616
early,0.2454567849636078,0.32743096351623535,0.24557004868984222,0.3838981091976166,0.30937549471855164,0.10564569383859634,0.03384959325194359,0.2853560745716095,0.2746177613735199,0.32812264561653137,0.3353809714317322,0.15272949635982513
research—hundreds,0.3174884617328644,0.28366294503211975,0.3526053726673126,0.3784041702747345,0.33695146441459656,0.24214570224285126,-0.04857056587934494,0.427860826253891,0.28453028202056885,0.3778912127017975,0.2805424630641937,0.22492104768753052
of,0.33290785551071167,0.30501094460487366,0.41548454761505127,0.4178851246833801,1.0,0.18837453424930573,-0.03817026689648628,0.23473061621189117,0.4249346852302551,0.45148900151252747,0.35127586126327515,0.1826142966747284
invention,0.2399451732635498,0.2199486643075943,0.20048189163208008,0.27810415625572205,0.20554374158382416,0.31912633776664734,-0.01648208685219288,0.29623880982398987,0.15881232917308807,0.2765180766582489,0.20143386721611023,0.15906493365764618
models,0.22431734204292297,0.1540229618549347,0.2078617662191391,0.2565315365791321,0.19773605465888977,0.2750704288482666,0.037361569702625275,0.20659828186035156,0.2295379936695099,0.16162483394145966,0.19152137637138367,0.16656708717346191
",",0.3087472915649414,0.3230119049549103,0.44245919585227966,0.3636029064655304,0.4946078956127167,0.20599327981472015,-0.0016132977325469255,0.3283594250679016,0.39760664105415344,0.4316047728061676,0.3029961884021759,0.31091248989105225
plans,0.2364979386329651,0.27665507793426514,0.367337167263031,0.11365662515163422,0.2635323703289032,0.1346050500869751,0.036409471184015274,0.28976473212242126,0.1369670331478119,0.30520597100257874,0.22760167717933655,0.13513131439685822
",",0.3087472915649414,0.3230119049549103,0.44245919585227966,0.3636029064655304,0.4946078956127167,0.20599327981472015,-0.0016132977325469255,0.3283594250679016,0.39760664105415344,0.4316047728061676,0.3029961884021759,0.31091248989105225
notes,0.19507816433906555,0.14349621534347534,0.22688092291355133,0.12917903065681458,0.13280174136161804,0.18721121549606323,0.03824416920542717,0.23713308572769165,0.23116831481456757,0.2726522386074066,0.19543986022472382,0.23920853435993195
",",0.3087472915649414,0.3230119049549103,0.44245919585227966,0.3636029064655304,0.4946078956127167,0.20599327981472015,-0.0016132977325469255,0.3283594250679016,0.39760664105415344,0.4316047728061676,0.3029961884021759,0.31091248989105225
laboratory,0.20190474390983582,0.13488702476024628,0.20453277230262756,0.11926189810037613,0.23493865132331848,0.3209504187107086,0.00510451290756464,0.28450411558151245,0.13893836736679077,0.21374189853668213,0.16049104928970337,0.07445509731769562
