,how,does,ht,strive,to,amass,power,?
ht,0.1984879970550537,0.17249701917171478,1.0,0.06489811092615128,0.1455899029970169,0.2199798971414566,0.07793659716844559,0.28602924942970276
does,0.37637394666671753,1.0,0.17249701917171478,0.3498367369174957,0.4391997456550598,0.15828987956047058,0.18690091371536255,0.338003009557724
not,0.4869767427444458,0.6355478763580322,0.17373675107955933,0.40551450848579407,0.5149973034858704,0.2418431043624878,0.20640338957309723,0.41942933201789856
engage,0.2310582399368286,0.23212680220603943,0.044067274779081345,0.3033249080181122,0.2313132882118225,0.15393978357315063,0.16880886256694794,0.1593245565891266
in,0.2601168751716614,0.214483380317688,0.11868356168270111,0.15322692692279816,0.45010748505592346,0.2004040777683258,0.16666220128536224,0.20430970191955566
armed,0.16149981319904327,0.10074612498283386,0.16515161097049713,0.2336978018283844,0.2092485874891281,0.2125837355852127,0.2324398159980774,0.18816959857940674
jihad,0.1924213469028473,0.16942839324474335,0.16715680062770844,0.28404155373573303,0.17378291487693787,0.24229182302951813,0.2497658133506775,0.21031080186367035
or,0.3378981947898865,0.4248845875263214,0.23737215995788574,0.27956563234329224,0.38921234011650085,0.24835039675235748,0.23362433910369873,0.32389625906944275
work,0.38187548518180847,0.2975199520587921,0.10437973588705063,0.3365386426448822,0.3482864499092102,0.2082916796207428,0.1541198492050171,0.2621155381202698
for,0.3308170735836029,0.35159170627593994,0.16985204815864563,0.33154383301734924,0.4451248347759247,0.3012154996395111,0.15072456002235413,0.264628142118454
a,0.29312583804130554,0.38201746344566345,0.16875308752059937,0.2774460017681122,0.45503583550453186,0.2911597490310669,0.21580491960048676,0.23916715383529663
democratic,0.1191909909248352,0.1422075480222702,0.17458109557628632,0.2948833703994751,0.20661352574825287,0.14937449991703033,0.18460679054260254,0.1668088138103485
system,0.282820463180542,0.2021704614162445,0.17576271295547485,0.18136577308177948,0.26662686467170715,0.13876575231552124,0.23068471252918243,0.15556083619594574
",",0.22659391164779663,0.28617382049560547,0.17012560367584229,0.2551010251045227,0.44245919585227966,0.30111926794052124,0.2231994867324829,0.31091248989105225
but,0.43101516366004944,0.4353378415107727,0.09189574420452118,0.3965283930301666,0.5542377829551697,0.2601470351219177,0.2529909312725067,0.27921953797340393
works,0.28242939710617065,0.3256840407848358,0.07164978981018066,0.21439281105995178,0.22564561665058136,0.1761598140001297,0.1129489317536354,0.19597402215003967
to,0.44169697165489197,0.4391997456550598,0.1455899029970169,0.39141520857810974,1.0,0.21467050909996033,0.27001675963401794,0.29463258385658264
take,0.32433539628982544,0.2695361375808716,0.11344964057207108,0.2973931133747101,0.4075521230697632,0.1656680554151535,0.18405823409557343,0.21897350251674652
power,0.23785550892353058,0.18690091371536255,0.07793659716844559,0.2593382000923157,0.27001675963401794,0.1967112123966217,1.0000001192092896,0.15304024517536163
through,0.2704794108867645,0.21495459973812103,0.18459828197956085,0.2305791825056076,0.4062686562538147,0.24462568759918213,0.20083147287368774,0.16913433372974396
``,-0.01591024175286293,0.06539655476808548,0.12227640300989151,0.03465503454208374,0.06720756739377975,0.009028324857354164,0.02305009216070175,0.0685480609536171
ideological,0.20557492971420288,0.17470401525497437,0.1261826902627945,0.40301352739334106,0.2172296941280365,0.19005301594734192,0.2417277842760086,0.1390949934720993
struggle,0.2164759635925293,0.16541966795921326,0.10193804651498795,0.3853085935115814,0.2529485523700714,0.1381082385778427,0.3382441997528076,0.1330908089876175
