,which,descendants,of,genghis,khan,tried,to,dissociate,themselves,from,the,mongol,massacres,in,the,middle,east,?
although,0.3901670575141907,0.17133712768554688,0.3024747669696808,0.18719874322414398,0.14819692075252533,0.17419716715812683,0.4176313281059265,0.24801631271839142,0.2589617073535919,0.22925063967704773,0.3265823423862457,0.13727089762687683,0.07552996277809143,0.28763338923454285,0.3265823423862457,0.12026046961545944,0.1777118444442749,0.15541206300258636
the,0.6521818041801453,0.3091757893562317,0.733189046382904,0.3448939025402069,0.21067845821380615,0.29431280493736267,0.535392165184021,0.23418694734573364,0.3444426357746124,0.40150508284568787,1.0,0.2924198508262634,0.24657513201236725,0.6662389636039734,1.0,0.3405749201774597,0.3383176326751709,0.22068053483963013
famous,0.24636515974998474,0.22838224470615387,0.3074295222759247,0.284627765417099,0.21000099182128906,0.21364723145961761,0.12665097415447235,0.08481137454509735,0.16319862008094788,0.23072338104248047,0.28616565465927124,0.1697658896446228,0.22886475920677185,0.34673580527305603,0.28616565465927124,0.16254432499408722,0.1976231187582016,0.10379006713628769
mughal,0.1589783877134323,0.2656852900981903,0.25181251764297485,0.576445460319519,0.5494067668914795,0.14422722160816193,0.17344513535499573,0.140067458152771,0.1793372631072998,0.13877467811107635,0.2288299798965454,0.5165902376174927,0.27791300415992737,0.1640848070383072,0.2288299798965454,0.1969158798456192,0.2113410383462906,0.1443050354719162
emperors,0.22473634779453278,0.3132498264312744,0.3114609718322754,0.440491259098053,0.27338123321533203,0.18199603259563446,0.20617777109146118,0.11696285754442215,0.2640400528907776,0.19567647576332092,0.3175390362739563,0.3681061267852783,0.29876014590263367,0.2514701783657074,0.3175390362739563,0.24575349688529968,0.14500173926353455,0.20214810967445374
were,0.2807837128639221,0.3595881164073944,0.34038281440734863,0.25783681869506836,0.12865866720676422,0.33992713689804077,0.31913647055625916,0.18129019439220428,0.4153209924697876,0.29991888999938965,0.3906462490558624,0.21221880614757538,0.3225436210632324,0.3815755248069763,0.3906462490558624,0.2178332656621933,0.22886523604393005,0.17890112102031708
proud,0.1434302031993866,0.19675183296203613,0.20694765448570251,0.2069672793149948,0.1752345710992813,0.19164502620697021,0.2334870547056198,0.10123427957296371,0.20674917101860046,0.06681853532791138,0.16312110424041748,0.12393749505281448,0.09565142542123795,0.14309896528720856,0.16312110424041748,0.1499873846769333,0.11362802982330322,0.24361149966716766
descendants,0.1771552413702011,0.9999999403953552,0.31403958797454834,0.3571924567222595,0.22007568180561066,0.1459423154592514,0.21002314984798431,0.14048533141613007,0.2724897265434265,0.20136423408985138,0.3091757893562317,0.3035191297531128,0.2358243614435196,0.2244751900434494,0.3091757893562317,0.22392331063747406,0.2551511228084564,0.10391592979431152
of,0.5011631846427917,0.31403958797454834,1.0,0.2938849925994873,0.17124508321285248,0.2511886954307556,0.41548454761505127,0.2628372311592102,0.2638634443283081,0.4249346852302551,0.733189046382904,0.22712039947509766,0.20432527363300323,0.5696388483047485,0.733189046382904,0.2799445688724518,0.314786434173584,0.1826142966747284
genghis,0.26472097635269165,0.3571924567222595,0.2938849925994873,1.0,0.5896923542022705,0.2005588263273239,0.2294713407754898,0.05894121900200844,0.18597865104675293,0.19071364402770996,0.3448939025402069,0.6244974732398987,0.29200950264930725,0.224680557847023,0.3448939025402069,0.17651045322418213,0.22569963335990906,0.18813461065292358
