,what,are,environmentalists,concerned,about,having,released,from,the,amazon,region,?
environmentalists,0.19048456847667694,0.30557140707969666,1.0,0.31629782915115356,0.21960940957069397,0.1921207755804062,0.16005587577819824,0.1935180425643921,0.21014922857284546,0.191494420170784,0.15861356258392334,0.1933346390724182
are,0.29724663496017456,1.0,0.30557140707969666,0.32258060574531555,0.36165615916252136,0.3686100244522095,0.17719070613384247,0.2674213647842407,0.40399202704429626,0.15230076014995575,0.20011243224143982,0.24591213464736938
concerned,0.41510701179504395,0.32258060574531555,0.31629782915115356,1.0,0.40401527285575867,0.35025086998939514,0.21530193090438843,0.22353552281856537,0.2822320759296417,0.10390715301036835,0.17130902409553528,0.27800148725509644
about,0.47976887226104736,0.36165615916252136,0.21960940957069397,0.40401527285575867,1.0,0.32218191027641296,0.17413154244422913,0.3421173691749573,0.37995871901512146,0.20610886812210083,0.20967209339141846,0.302409827709198
loss,0.21803489327430725,0.16403886675834656,0.18697437644004822,0.2654512822628021,0.15215207636356354,0.3376044034957886,0.1465076208114624,0.14446182548999786,0.27898719906806946,0.057539403438568115,0.11807634681463242,0.1312553584575653
of,0.33290785551071167,0.39081433415412903,0.19656090438365936,0.3373318910598755,0.40939709544181824,0.38889452815055847,0.17721395194530487,0.4249346852302551,0.733189046382904,0.20143137872219086,0.2852717339992523,0.1826142966747284
biodiversity,0.24376149475574493,0.25296828150749207,0.496060311794281,0.3109091520309448,0.23264551162719727,0.15886463224887848,0.12286244332790375,0.19138310849666595,0.2809895873069763,0.3419688940048218,0.2984626591205597,0.12075836956501007
that,0.6297725439071655,0.45265161991119385,0.2557125389575958,0.3909452557563782,0.4500710964202881,0.4370327591896057,0.23219406604766846,0.3477667272090912,0.5473989248275757,0.2228476107120514,0.20183102786540985,0.32716336846351624
will,0.3510494530200958,0.39387544989585876,0.24990232288837433,0.2477501481771469,0.22317971289157867,0.33170056343078613,0.23825103044509888,0.193743497133255,0.3635469079017639,0.16242073476314545,0.11211217939853668,0.35046905279159546
result,0.19945499300956726,0.18835392594337463,0.19360557198524475,0.2922791838645935,0.1532125622034073,0.33020853996276855,0.1038644015789032,0.2199978530406952,0.27778977155685425,0.11672966182231903,0.17313316464424133,0.17218433320522308
from,0.2737620174884796,0.2674213647842407,0.1935180425643921,0.22353552281856537,0.3421173691749573,0.29647475481033325,0.19112130999565125,1.0,0.40150508284568787,0.08236479759216309,0.2132602334022522,0.19969791173934937
destruction,0.22247105836868286,0.17385336756706238,0.27406227588653564,0.2630513608455658,0.15626205503940582,0.19419962167739868,0.16458365321159363,0.20759804546833038,0.3148382306098938,0.0957387313246727,0.20305059850215912,0.12016301602125168
of,0.33290785551071167,0.39081433415412903,0.19656090438365936,0.3373318910598755,0.40939709544181824,0.38889452815055847,0.17721395194530487,0.4249346852302551,0.733189046382904,0.20143137872219086,0.2852717339992523,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,0.21014922857284546,0.2822320759296417,0.37995871901512146,0.3821379244327545,0.24578391015529633,0.40150508284568787,1.0,0.260541707277298,0.35020557045936584,0.22068053483963013
forest,0.15328429639339447,0.17875638604164124,0.2526702880859375,0.106148861348629,0.22346492111682892,0.16584700345993042,0.14186835289001465,0.15542404353618622,0.24134553968906403,0.26471444964408875,0.16004255414009094,0.1214437186717987
