,what,percentage,of,private,school,students,go,to,catholic,schools,?
over,0.28007611632347107,0.22550354897975922,0.36136594414711,0.16284549236297607,0.14844030141830444,0.23574309051036835,0.1936293989419937,0.38635820150375366,0.17831850051879883,0.1698845475912094,0.25742942094802856
61,0.030599193647503853,-0.03719731792807579,0.06426315009593964,-0.12022966891527176,0.025505611672997475,-0.03467210754752159,0.008109934628009796,0.13172759115695953,0.05223885178565979,-0.029474053531885147,-0.039689820259809494
per,0.21384303271770477,0.33415210247039795,0.17468707263469696,0.11394026130437851,0.09507620334625244,0.13741245865821838,0.21814118325710297,0.2519395351409912,0.07802289724349976,0.13300858438014984,0.22323818504810333
cent,0.17630065977573395,0.3120506703853607,0.17454902827739716,0.19973906874656677,0.1788322627544403,0.1852884143590927,0.14706219732761383,0.18867720663547516,0.10845547914505005,0.18740835785865784,0.21050448715686798
of,0.33290785551071167,0.24724560976028442,1.0,0.18706899881362915,0.2391800880432129,0.25513339042663574,0.21881330013275146,0.41548454761505127,0.3452084958553314,0.265506386756897,0.1826142966747284
private,0.16778090596199036,0.13822926580905914,0.18706899881362915,1.0,0.3584248125553131,0.35454505681991577,0.1997084766626358,0.18892748653888702,0.28277769684791565,0.4158569872379303,0.14389030635356903
students,0.2380729615688324,0.22155962884426117,0.25513339042663574,0.35454505681991577,0.6345757842063904,1.0,0.2654113471508026,0.2905822694301605,0.2439122498035431,0.6169943809509277,0.18017297983169556
attend,0.18096278607845306,0.1394040584564209,0.2297111451625824,0.2815968096256256,0.5228912830352783,0.4996132254600525,0.355017751455307,0.3481958508491516,0.25517573952674866,0.4374011754989624,0.14932334423065186
catholic,0.1882777214050293,0.17708714306354523,0.3452084958553314,0.28277769684791565,0.27484920620918274,0.2439122498035431,0.1676674336194992,0.2619607746601105,1.0000001192092896,0.3252324163913727,0.16609853506088257
schools,0.1820785105228424,0.1464802473783493,0.265506386756897,0.4158569872379303,0.7602541446685791,0.6169943809509277,0.24175070226192474,0.2362271547317505,0.3252324163913727,1.0,0.18349280953407288
.,0.3567904531955719,0.28866735100746155,0.5352458953857422,0.2534593939781189,0.24214158952236176,0.2607303857803345,0.3313661813735962,0.4645031690597534,0.270730584859848,0.2752705216407776,0.4130953550338745
