,what,kind,of,service,is,the,skydrive,service,?
on,0.34226128458976746,0.1850661337375641,0.3966929316520691,0.21384719014167786,0.3635730445384979,0.5107308030128479,0.2812092900276184,0.21384719014167786,0.2714994251728058
31,0.04987277463078499,0.07302488386631012,0.13315030932426453,0.03032085858285427,0.13722816109657288,0.12550820410251617,0.06737162172794342,0.03032085858285427,-0.017570214346051216
july,0.22688010334968567,0.08371781557798386,0.19723743200302124,0.15571479499340057,0.22825419902801514,0.2371699959039688,0.264590322971344,0.15571479499340057,0.2897891402244568
2013,-0.3886653184890747,-0.3327673673629761,-0.2904720902442932,-0.17693792283535004,-0.3365909159183502,-0.38509321212768555,-0.3630344569683075,-0.17693792283535004,-0.2969330847263336
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.2389259785413742,0.4691906273365021,0.4933079481124878,0.34465911984443665,0.2389259785413742,0.31091248989105225
bskyb,0.17457032203674316,0.15316884219646454,0.16413870453834534,0.1887708604335785,0.20114660263061523,0.20915858447551727,0.36756592988967896,0.1887708604335785,0.2979319989681244
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.24532052874565125,0.3859752118587494,0.5171257257461548,0.33194881677627563,0.24532052874565125,0.20544172823429108
microsoft,0.22177881002426147,0.1406204104423523,0.19447508454322815,0.2855581045150757,0.16905339062213898,0.23993754386901855,0.3869832456111908,0.2855581045150757,0.23943206667900085
announced,0.09249057620763779,0.03010622411966324,0.22339491546154022,0.21963496506214142,0.13701672852039337,0.2277132272720337,0.2837294638156891,0.21963496506214142,0.17416009306907654
their,0.35142919421195984,0.23866921663284302,0.4329940676689148,0.1622014343738556,0.2101074606180191,0.516537070274353,0.30998313426971436,0.1622014343738556,0.1898253709077835
settlement,0.2558431327342987,0.0666547492146492,0.25982165336608887,0.16059130430221558,0.24221304059028625,0.2599570155143738,0.22055257856845856,0.16059130430221558,0.12535437941551208
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.2389259785413742,0.4691906273365021,0.4933079481124878,0.34465911984443665,0.2389259785413742,0.31091248989105225
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.1740635335445404,0.5394441485404968,0.6662389636039734,0.32230144739151,0.1740635335445404,0.20430970191955566
which,0.5261979103088379,0.4120495617389679,0.5011631846427917,0.25458550453186035,0.4457404911518097,0.6521818041801453,0.3725770115852356,0.25458550453186035,0.25814583897590637
microsoft,0.22177881002426147,0.1406204104423523,0.19447508454322815,0.2855581045150757,0.16905339062213898,0.23993754386901855,0.3869832456111908,0.2855581045150757,0.23943206667900085
will,0.3510494530200958,0.2338019758462906,0.2473582625389099,0.22693729400634766,0.3723262846469879,0.3635469079017639,0.3743547797203064,0.22693729400634766,0.35046905279159546
not,0.5449194312095642,0.3335936963558197,0.3307090103626251,0.16309931874275208,0.3776007890701294,0.4310511648654938,0.3484930098056793,0.16309931874275208,0.41942933201789856
appeal,0.2697356641292572,0.15453720092773438,0.21036796271800995,0.15846054255962372,0.2135782092809677,0.23910744488239288,0.28412508964538574,0.15846054255962372,0.18189522624015808
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.22661015391349792,0.5823672413825989,1.0,0.36296993494033813,0.22661015391349792,0.22068053483963013
ruling,0.2606501579284668,0.16526709496974945,0.32411321997642517,0.10892601311206818,0.15393775701522827,0.31106188893318176,0.1899784356355667,0.10892601311206818,0.18874719738960266
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.2389259785413742,0.4691906273365021,0.4933079481124878,0.34465911984443665,0.2389259785413742,0.31091248989105225
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.24532052874565125,0.3859752118587494,0.5171257257461548,0.33194881677627563,0.24532052874565125,0.20544172823429108
will,0.3510494530200958,0.2338019758462906,0.2473582625389099,0.22693729400634766,0.3723262846469879,0.3635469079017639,0.3743547797203064,0.22693729400634766,0.35046905279159546
rename,0.27435487508773804,0.10241475701332092,0.12217318266630173,0.16704697906970978,0.1991320252418518,0.19180665910243988,0.32821881771087646,0.16704697906970978,0.3277662694454193
its,0.30393704771995544,0.17957401275634766,0.48690423369407654,0.180259108543396,0.4447362422943115,0.559237003326416,0.31160759925842285,0.180259108543396,0.15103481709957123
skydrive,0.31293633580207825,0.2745330333709717,0.28183984756469727,0.2601054012775421,0.34149855375289917,0.36296993494033813,1.0,0.2601054012775421,0.27291637659072876
cloud,0.19904540479183197,0.1601381152868271,0.23494718968868256,0.24075686931610107,0.21811306476593018,0.21760830283164978,0.31491440534591675,0.24075686931610107,0.15055954456329346
storage,0.18395499885082245,0.22284315526485443,0.24337847530841827,0.2384331375360489,0.23896168172359467,0.22913692891597748,0.438434898853302,0.2384331375360489,0.15578968822956085
service,0.16857224702835083,0.12527631223201752,0.18425606191158295,0.9999998807907104,0.15705204010009766,0.22661015391349792,0.2601054012775421,0.9999998807907104,0.1676298975944519
after,0.21973377466201782,0.17255128920078278,0.3867455720901489,0.1891869306564331,0.2835143506526947,0.4565047025680542,0.2986549139022827,0.1891869306564331,0.16608688235282898
an,0.2821882665157318,0.2510696351528168,0.32280945777893066,0.2286244034767151,0.4654068350791931,0.4207492768764496,0.2847840189933777,0.2286244034767151,0.19793890416622162
unspecified,0.2660098373889923,0.13869573175907135,0.26354730129241943,0.16244998574256897,0.13126707077026367,0.27699407935142517,0.20104961097240448,0.16244998574256897,0.21719498932361603
``,0.008517155423760414,-0.040448643267154694,0.06780257821083069,0.017600590363144875,0.058766357600688934,0.029072100296616554,-0.05000343918800354,0.017600590363144875,0.0685480609536171
reasonable,0.40443673729896545,0.27682337164878845,0.23641034960746765,0.2375996857881546,0.2570490837097168,0.24396859109401703,0.38388732075691223,0.2375996857881546,0.3725526034832001
period,0.24507179856300354,0.18158507347106934,0.2698146104812622,0.24042834341526031,0.1838376820087433,0.3125074505805969,0.10187962651252747,0.24042834341526031,0.18706195056438446
of,0.33290785551071167,0.2285657674074173,1.0,0.18425606191158295,0.4854315221309662,0.733189046382904,0.28183984756469727,0.18425606191158295,0.1826142966747284
time,0.36319252848625183,0.28243488073349,0.35127586126327515,0.20425699651241302,0.25187405943870544,0.43061500787734985,0.3164370059967041,0.20425699651241302,0.27391523122787476
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.24411341547966003,0.42745086550712585,0.535392165184021,0.4247458875179291,0.24411341547966003,0.29463258385658264
allow,0.2883041203022003,0.20448973774909973,0.28057926893234253,0.22857451438903809,0.18020232021808624,0.27822166681289673,0.33468037843704224,0.22857451438903809,0.2042745053768158
for,0.3017193675041199,0.28053680062294006,0.4185989499092102,0.31237727403640747,0.43268078565597534,0.4739971458911896,0.3316197693347931,0.31237727403640747,0.264628142118454
an,0.2821882665157318,0.2510696351528168,0.32280945777893066,0.2286244034767151,0.4654068350791931,0.4207492768764496,0.2847840189933777,0.2286244034767151,0.19793890416622162
orderly,0.2525652050971985,0.17287270724773407,0.2936836779117584,0.2877137362957001,0.15324416756629944,0.28499141335487366,0.24541684985160828,0.2877137362957001,0.14610685408115387
