,what,comedy,featuring,stand,up,comedian,tim,allen,debuted,in,1991,?
in,0.30808621644973755,0.2529917359352112,0.1888517439365387,0.20552469789981842,0.3120773434638977,0.18421590328216553,0.1986953467130661,0.2125987708568573,0.25110283493995667,1.0,0.0019440409960225224,0.20430970191955566
september,0.2153792530298233,0.17406487464904785,0.1250556856393814,0.15275882184505463,0.18870128691196442,0.2913687229156494,0.22514575719833374,0.19600874185562134,0.24074828624725342,0.25402772426605225,0.2155553698539734,0.2665146589279175
1991,0.15930123627185822,0.025684313848614693,-0.1250057816505432,0.04861818626523018,0.004366866312921047,0.11839606612920761,0.0051760138012468815,-0.001299553900025785,-0.055687207728624344,0.0019440409960225224,1.0,0.175977423787117
",",0.3087472915649414,0.17748676240444183,0.23595236241817474,0.27589988708496094,0.34193792939186096,0.2786799371242523,0.23056967556476593,0.29199737310409546,0.23864160478115082,0.5201468467712402,0.1221209466457367,0.31091248989105225
the,0.42745697498321533,0.18746663630008698,0.21340800821781158,0.2531624138355255,0.38423117995262146,0.15914443135261536,0.1892397254705429,0.23034030199050903,0.28418588638305664,0.6662389636039734,0.002508036559447646,0.22068053483963013
network,0.16917307674884796,0.25875306129455566,0.14265525341033936,0.12545524537563324,0.17170193791389465,0.16616980731487274,0.10537869483232498,0.1733178347349167,0.28641700744628906,0.19496823847293854,-0.046430137008428574,0.17853789031505585
premiered,0.14397189021110535,0.4005317986011505,0.3425751328468323,0.11086233705282211,0.14364254474639893,0.2892710566520691,0.2162065953016281,0.20004364848136902,0.499764621257782,0.2717820405960083,-0.0742231160402298,0.21595802903175354
home,0.1608789712190628,0.12122137099504471,0.15704603493213654,0.17515313625335693,0.2199360877275467,0.19149385392665863,0.1642022728919983,0.2289787232875824,0.1850905418395996,0.30467477440834045,0.0942445620894432,0.0757145956158638
improvement,0.3392397165298462,0.17727822065353394,0.17887000739574432,0.20056284964084625,0.25234490633010864,0.1592535674571991,0.22037848830223083,0.2059219479560852,0.16354885697364807,0.25706639885902405,0.06819694489240646,0.29089033603668213
",",0.3087472915649414,0.17748676240444183,0.23595236241817474,0.27589988708496094,0.34193792939186096,0.2786799371242523,0.23056967556476593,0.29199737310409546,0.23864160478115082,0.5201468467712402,0.1221209466457367,0.31091248989105225
