,where,was,the,ball,recovered,?
on,0.37630224227905273,0.3909217119216919,0.5107308030128479,0.1605052351951599,0.2166234701871872,0.2714994251728058
the,0.5003893971443176,0.48711544275283813,1.0,0.18895584344863892,0.2614712417125702,0.22068053483963013
next,0.2822587192058563,0.25374743342399597,0.35833123326301575,0.10990821570158005,0.21497024595737457,0.167460098862648
play,0.18222512304782867,0.23784595727920532,0.24793598055839539,0.31826484203338623,0.13591600954532623,0.11059518158435822
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.2170172780752182,0.2676272988319397,0.31091248989105225
ealy,0.20761370658874512,0.27802515029907227,0.20656827092170715,0.2552103102207184,0.11775624752044678,0.24052083492279053
knocked,0.2722212076187134,0.26522794365882874,0.25226226449012756,0.29728958010673523,0.3414326608181,0.1071818619966507
the,0.5003893971443176,0.48711544275283813,1.0,0.18895584344863892,0.2614712417125702,0.22068053483963013
ball,0.20230409502983093,0.16079293191432953,0.18895584344863892,1.0,0.12504027783870697,0.1766241192817688
out,0.4094439148902893,0.28168347477912903,0.39404502511024475,0.25823330879211426,0.27184879779815674,0.22020699083805084
of,0.38066378235816956,0.4069072902202606,0.733189046382904,0.15122076869010925,0.22457769513130188,0.1826142966747284
manning,0.1933032125234604,0.2607507109642029,0.27058160305023193,0.3111599087715149,0.2291233241558075,0.15856626629829407
's,0.0007701900321990252,0.008974763564765453,-0.01540423184633255,-0.028031641617417336,-0.014260370284318924,-0.023395681753754616
hand,0.2886570692062378,0.16591666638851166,0.253619521856308,0.30502307415008545,0.23443830013275146,0.20656698942184448
as,0.35409465432167053,0.3677520453929901,0.48381632566452026,0.15887176990509033,0.2542397677898407,0.27043893933296204
he,0.3705328106880188,0.5410010814666748,0.4571082592010498,0.20410560071468353,0.2577524781227112,0.2089974731206894
was,0.20731619000434875,1.0000001192092896,0.48711544275283813,0.16079293191432953,0.32598429918289185,0.18412111699581146
winding,0.2627582252025604,0.2048405557870865,0.2995016276836395,0.26056501269340515,0.2282712608575821,0.03567418456077576
up,0.341964989900589,0.24070115387439728,0.38423117995262146,0.19136162102222443,0.19591379165649414,0.1819818764925003
for,0.38599511981010437,0.3863949179649353,0.4739971458911896,0.1708642989397049,0.18925832211971283,0.264628142118454
a,0.40997210144996643,0.4508470594882965,0.5829201340675354,0.23578347265720367,0.2461796998977661,0.23916715383529663
pass,0.21905562281608582,0.1040167361497879,0.25961899757385254,0.21328508853912354,0.19998349249362946,0.09478675574064255
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.2170172780752182,0.2676272988319397,0.31091248989105225
and,0.43859338760375977,0.3740963041782379,0.5171257257461548,0.19981779158115387,0.25687822699546814,0.20544172823429108
then,0.5403340458869934,0.27044644951820374,0.4297412931919098,0.22892506420612335,0.23282209038734436,0.2884598970413208
recovered,0.20917601883411407,0.32598429918289185,0.2614712417125702,0.12504027783870697,1.0,0.08912046253681183
it,0.36972272396087646,0.4577186405658722,0.6251175999641418,0.1934148073196411,0.2036934196949005,0.25732165575027466
for,0.38599511981010437,0.3863949179649353,0.4739971458911896,0.1708642989397049,0.18925832211971283,0.264628142118454
carolina,0.13962842524051666,0.26687008142471313,0.24749229848384857,0.11953222006559372,0.15065045654773712,0.11847445368766785
on,0.37630224227905273,0.3909217119216919,0.5107308030128479,0.1605052351951599,0.2166234701871872,0.2714994251728058
the,0.5003893971443176,0.48711544275283813,1.0,0.18895584344863892,0.2614712417125702,0.22068053483963013
50-yard,0.2719777822494507,0.3158988356590271,0.2974485754966736,0.2723853290081024,0.29189255833625793,0.11265861243009567
line,0.22999835014343262,0.1765366792678833,0.29789501428604126,0.2138069123029709,0.08226953446865082,0.16271452605724335
.,0.41390106081962585,0.40146201848983765,0.5934505462646484,0.214210644364357,0.25115838646888733,0.4130953550338745
