,ugly,betty,'s,ratings,fell,dramatically,after,the,series,movie,to,what,night,?
ratings,0.22679908573627472,0.16220830380916595,0.11937817931175232,0.9999999403953552,0.13112926483154297,0.22290997207164764,0.21166418492794037,0.23356813192367554,0.34094566106796265,0.28687503933906555,0.23899689316749573,0.19882218539714813,0.25522953271865845,0.19248855113983154
for,0.15557648241519928,0.10197970271110535,-0.07241261005401611,0.2655225098133087,0.15289437770843506,0.27164581418037415,0.3650246858596802,0.4739971458911896,0.2715710699558258,0.22823558747768402,0.4451248347759247,0.3017193675041199,0.16021959483623505,0.264628142118454
the,0.19560444355010986,0.15101419389247894,-0.01540423184633255,0.23356813192367554,0.2598440647125244,0.3348296880722046,0.4565047025680542,1.0,0.31376904249191284,0.2636405825614929,0.535392165184021,0.42745697498321533,0.2817382514476776,0.22068053483963013
once-instant,0.1906900405883789,0.1518918126821518,0.02680462971329689,0.2620072364807129,0.14755575358867645,0.2193790227174759,0.20916084945201874,0.2649255096912384,0.1902131885290146,0.24620158970355988,0.3134825527667999,0.34953245520591736,0.18238762021064758,0.23479333519935608
hit,0.16568121314048767,0.1694321483373642,-0.03361855819821358,0.25910884141921997,0.29880011081695557,0.13711029291152954,0.18901163339614868,0.2674407958984375,0.16686764359474182,0.23845116794109344,0.20389078557491302,0.22790727019309998,0.2154874950647354,0.14460130035877228
ugly,1.0000001192092896,0.4020898938179016,-0.03448457270860672,0.22679908573627472,0.15838536620140076,0.2477698028087616,0.15133287012577057,0.19560444355010986,0.25631773471832275,0.2995770275592804,0.1812916100025177,0.21671801805496216,0.18183784186840057,0.2584706246852875
betty,0.4020898938179016,1.0000001192092896,-0.030177026987075806,0.16220830380916595,0.19259576499462128,0.19698309898376465,0.18845012784004211,0.15101419389247894,0.25928133726119995,0.3093765377998352,0.1721314936876297,0.1754712015390396,0.1957094967365265,0.13832208514213562
collapsed,0.13173310458660126,0.07878708839416504,0.04584195092320442,0.1551116406917572,0.37045222520828247,0.19769226014614105,0.30118539929389954,0.27221426367759705,0.03521183878183365,0.141684427857399,0.16424112021923065,0.21314547955989838,0.1261955350637436,0.12967832386493683
dramatically,0.2477698028087616,0.19698309898376465,-0.03678940236568451,0.22290997207164764,0.20690412819385529,0.9999999403953552,0.24524705111980438,0.3348296880722046,0.25204092264175415,0.28640252351760864,0.3553515374660492,0.2253328114748001,0.19196991622447968,0.14534473419189453
after,0.15133287012577057,0.18845012784004211,-0.055672239512205124,0.21166418492794037,0.3766758143901825,0.24524705111980438,1.0,0.4565047025680542,0.22890618443489075,0.2069835662841797,0.37890323996543884,0.21973377466201782,0.20353135466575623,0.16608688235282898
it,0.2508169114589691,0.13355262577533722,0.06608816236257553,0.2638091742992401,0.13840129971504211,0.30518829822540283,0.36872005462646484,0.6251175999641418,0.20531252026557922,0.2690727412700653,0.513711154460907,0.45803478360176086,0.23883119225502014,0.25732165575027466
