,what,dynasty,came,after,the,yuan,?
in,0.30808621644973755,0.15246383845806122,0.29996100068092346,0.44050168991088867,0.6662389636039734,0.14850552380084991,0.20430970191955566
official,0.18967986106872559,0.12904107570648193,0.15657725930213928,0.21750803291797638,0.3133983910083771,0.09966789931058884,0.18097688257694244
chinese,0.11643128097057343,0.39861640334129333,0.18307432532310486,0.17401684820652008,0.2785343527793884,0.5665212273597717,0.20843194425106049
histories,0.3272237777709961,0.28173932433128357,0.25046902894973755,0.2249307483434677,0.3027343153953552,0.14596010744571686,0.27780789136886597
",",0.3087472915649414,0.1976536363363266,0.3049119710922241,0.38860568404197693,0.4933079481124878,0.20958951115608215,0.31091248989105225
the,0.42745697498321533,0.26267939805984497,0.39390382170677185,0.4565047025680542,1.0,0.2548272907733917,0.22068053483963013
yuan,0.13503028452396393,0.49336904287338257,0.13108937442302704,0.1867045909166336,0.2548272907733917,1.0,0.12871281802654266
dynasty,0.17240095138549805,1.0,0.2051542103290558,0.19166739284992218,0.26267939805984497,0.49336904287338257,0.15884074568748474
bore,0.19731180369853973,0.15982498228549957,0.28770390152931213,0.19913049042224884,0.25482210516929626,0.08200517296791077,0.19251646101474762
the,0.42745697498321533,0.26267939805984497,0.39390382170677185,0.4565047025680542,1.0,0.2548272907733917,0.22068053483963013
mandate,0.29267245531082153,0.23376187682151794,0.13377679884433746,0.25268301367759705,0.3209454417228699,0.2200096696615219,0.2593512535095215
of,0.33290785551071167,0.285645067691803,0.3201526999473572,0.3867455720901489,0.733189046382904,0.22696353495121002,0.1826142966747284
heaven,0.31919732689857483,0.24294854700565338,0.22158196568489075,0.211270272731781,0.2808520495891571,0.21765518188476562,0.261896550655365
",",0.3087472915649414,0.1976536363363266,0.3049119710922241,0.38860568404197693,0.4933079481124878,0.20958951115608215,0.31091248989105225
following,0.2506418824195862,0.1435156613588333,0.17748412489891052,0.39623188972473145,0.39779382944107056,0.1794196367263794,0.1555173695087433
the,0.42745697498321533,0.26267939805984497,0.39390382170677185,0.4565047025680542,1.0,0.2548272907733917,0.22068053483963013
song,0.21011823415756226,0.24676866829395294,0.17360688745975494,0.16308587789535522,0.300855815410614,0.2169226109981537,0.20782215893268585
dynasty,0.17240095138549805,1.0,0.2051542103290558,0.19166739284992218,0.26267939805984497,0.49336904287338257,0.15884074568748474
and,0.31309178471565247,0.21357402205467224,0.3049735128879547,0.3765919506549835,0.5171257257461548,0.22359056770801544,0.20544172823429108
preceding,0.1640017181634903,0.22095482051372528,0.14708304405212402,0.2882288098335266,0.3293033242225647,0.23333574831485748,0.18089358508586884
the,0.42745697498321533,0.26267939805984497,0.39390382170677185,0.4565047025680542,1.0,0.2548272907733917,0.22068053483963013
ming,0.18258123099803925,0.5487013459205627,0.18923445045948029,0.26166394352912903,0.26838383078575134,0.5621496438980103,0.12298163771629333
dynasty,0.17240095138549805,1.0,0.2051542103290558,0.19166739284992218,0.26267939805984497,0.49336904287338257,0.15884074568748474
.,0.3567904531955719,0.20616187155246735,0.26265060901641846,0.35870397090911865,0.5934505462646484,0.17233723402023315,0.4130953550338745
