,how,many,touchdowns,did,newton,get,in,the,2015,season,?
pro,0.18713277578353882,0.13571034371852875,0.199878990650177,0.14497412741184235,0.10714779049158096,0.13220593333244324,0.152218297123909,0.2149612456560135,0.052606672048568726,0.13625283539295197,0.17645101249217987
bowl,0.1720007210969925,0.17932994663715363,0.432915598154068,0.18569406867027283,0.1892489492893219,0.17289145290851593,0.17236235737800598,0.21576224267482758,0.0710686594247818,0.3117852509021759,0.21118052303791046
quarterback,0.10935026407241821,0.09331715106964111,0.6703263521194458,0.13718701899051666,0.29465755820274353,0.19782772660255432,0.17283181846141815,0.23757418990135193,-0.07722106575965881,0.360336571931839,0.13221268355846405
cam,0.14944414794445038,0.13726761937141418,0.2751055061817169,0.15223097801208496,0.32548287510871887,0.1930353343486786,0.17906330525875092,0.18275147676467896,-0.0011327267857268453,0.20508506894111633,0.1622646003961563
newton,0.2514588236808777,0.1828424632549286,0.31141117215156555,0.23863376677036285,1.0000001192092896,0.11107507348060608,0.23639483749866486,0.1876603662967682,0.04000600054860115,0.1289832442998886,0.09645649790763855
had,0.2549138069152832,0.40130746364593506,0.26631444692611694,0.540525496006012,0.17341329157352448,0.33344826102256775,0.385026752948761,0.3875846862792969,0.0605347566306591,0.1978970468044281,0.20728366076946259
one,0.3213292360305786,0.4223630726337433,0.2601357400417328,0.27659472823143005,0.20534484088420868,0.2962729334831238,0.4129433035850525,0.5514441132545471,-0.006648390553891659,0.24332979321479797,0.2673267424106598
of,0.2480744868516922,0.37253960967063904,0.18799830973148346,0.2513895630836487,0.18479612469673157,0.26628199219703674,0.5696388483047485,0.733189046382904,0.21138253808021545,0.1598338931798935,0.1826142966747284
his,0.24614305794239044,0.3188176155090332,0.3102671802043915,0.3546801507472992,0.2519145607948303,0.24320417642593384,0.3598145842552185,0.4394008219242096,0.0642445981502533,0.20986881852149963,0.18075084686279297
best,0.25441184639930725,0.2589998245239258,0.2284936010837555,0.25550925731658936,0.20502272248268127,0.1688929796218872,0.2813531160354614,0.3134109377861023,-0.06681548804044724,0.20042479038238525,0.2799045741558075
seasons,0.12353117763996124,0.1946718841791153,0.39493125677108765,0.18920958042144775,0.10007040947675705,0.16780348122119904,0.2194332778453827,0.24226845800876617,-0.060289785265922546,0.8080282211303711,0.13766995072364807
",",0.22659391164779663,0.40610817074775696,0.23933975398540497,0.3015086054801941,0.2648763358592987,0.2926318049430847,0.5201468467712402,0.4933079481124878,0.06568983197212219,0.2232367992401123,0.31091248989105225
throwing,0.24389290809631348,0.2297176569700241,0.4151746332645416,0.2288447916507721,0.1744842380285263,0.3236141502857208,0.1828322857618332,0.2748998701572418,0.049856171011924744,0.14558328688144684,0.15241092443466187
for,0.3308170735836029,0.40972793102264404,0.2948407232761383,0.318512886762619,0.18168501555919647,0.342695415019989,0.4322226941585541,0.4739971458911896,-0.08512632548809052,0.24490800499916077,0.264628142118454
"3,837",-0.04463791474699974,-0.03211802616715431,-0.03826041519641876,-0.0767732635140419,0.021701980382204056,-0.07207854837179184,0.09096096456050873,0.14094862341880798,0.36837074160575867,-0.010354091413319111,-0.03566814586520195
yards,0.1345205456018448,0.13134367763996124,0.7052563428878784,0.11230118572711945,0.29241275787353516,0.13370735943317413,0.14206624031066895,0.16070343554019928,0.02945392206311226,0.3280850648880005,0.12453813850879669
and,0.33647966384887695,0.5296266674995422,0.2571038007736206,0.34479495882987976,0.22255054116249084,0.37609121203422546,0.4954058527946472,0.5171257257461548,0.015077123418450356,0.2369309365749359,0.20544172823429108
rushing,0.2803467810153961,0.21215204894542694,0.5714829564094543,0.21943612396717072,0.304086834192276,0.2619721293449402,0.21822091937065125,0.2992783486843109,-0.10239597409963608,0.2357044816017151,0.14363552629947662
for,0.3308170735836029,0.40972793102264404,0.2948407232761383,0.318512886762619,0.18168501555919647,0.342695415019989,0.4322226941585541,0.4739971458911896,-0.08512632548809052,0.24490800499916077,0.264628142118454
636,-0.007202938664704561,0.07316522300243378,0.060100194066762924,0.011679795570671558,0.14664290845394135,0.07439330965280533,0.16928495466709137,0.0817032977938652,-0.19799460470676422,0.04713992401957512,-0.036500390619039536
",",0.22659391164779663,0.40610817074775696,0.23933975398540497,0.3015086054801941,0.2648763358592987,0.2926318049430847,0.5201468467712402,0.4933079481124878,0.06568983197212219,0.2232367992401123,0.31091248989105225
while,0.2918691337108612,0.3748262822628021,0.20673201978206635,0.3330625295639038,0.1801067441701889,0.3326869010925293,0.3399278521537781,0.39804592728614807,-0.013383761048316956,0.21403980255126953,0.21076419949531555
recording,0.19648906588554382,0.20405806601047516,0.24641837179660797,0.20224055647850037,0.22601540386676788,0.17770172655582428,0.2528064250946045,0.2685704827308655,-0.07319832593202591,0.19551503658294678,0.18037092685699463
a,0.29312583804130554,0.2872205972671509,0.2318989634513855,0.2552328109741211,0.1884482353925705,0.27948489785194397,0.539380669593811,0.5829201340675354,-0.008371892385184765,0.1855505406856537,0.23916715383529663
career-high,0.2514631748199463,0.33343032002449036,0.4695356786251068,0.3148426413536072,0.19111330807209015,0.2820582985877991,0.2944321930408478,0.26239198446273804,-0.033197686076164246,0.32599934935569763,0.18277767300605774
and,0.33647966384887695,0.5296266674995422,0.2571038007736206,0.34479495882987976,0.22255054116249084,0.37609121203422546,0.4954058527946472,0.5171257257461548,0.015077123418450356,0.2369309365749359,0.20544172823429108
league-leading,0.2028302550315857,0.2940694987773895,0.46918925642967224,0.29858919978141785,0.21760407090187073,0.25639212131500244,0.366347998380661,0.41902515292167664,0.033030472695827484,0.391226589679718,0.2778867185115814
45,-0.032615967094898224,0.02003762125968933,0.01909680664539337,-0.0017516070511192083,0.026041382923722267,-0.05307977274060249,0.05398287624120712,-0.020405476912856102,0.0810927227139473,-0.022937055677175522,-0.01282194908708334
total,0.22199897468090057,0.2912171483039856,0.27890458703041077,0.14788632094860077,0.1840561330318451,0.14970579743385315,0.27667245268821716,0.27068960666656494,0.037357207387685776,0.17375686764717102,0.14396025240421295
touchdowns,0.15057362616062164,0.1144808754324913,1.0000001192092896,0.20483340322971344,0.31141117215156555,0.22884364426136017,0.17643709480762482,0.20508192479610443,0.008580083958804607,0.4151381552219391,0.1509619653224945
(,0.1676948219537735,0.1455259770154953,0.18674080073833466,0.18979617953300476,0.17499087750911713,0.2644343078136444,0.3087427020072937,0.33289089798927307,0.14610634744167328,0.1242075115442276,0.40561532974243164
35,-0.11944353580474854,-0.07066774368286133,-0.07583171874284744,-0.03584199398756027,-0.08320112526416779,0.04023030027747154,-0.023801730945706367,-0.04927394539117813,0.06824924796819687,-0.11634469032287598,-0.044106997549533844
passing,0.24499450623989105,0.15060079097747803,0.47026413679122925,0.16936171054840088,0.23282510042190552,0.29742732644081116,0.1942625194787979,0.3088957965373993,0.00843111239373684,0.24395446479320526,0.10353918373584747
",",0.22659391164779663,0.40610817074775696,0.23933975398540497,0.3015086054801941,0.2648763358592987,0.2926318049430847,0.5201468467712402,0.4933079481124878,0.06568983197212219,0.2232367992401123,0.31091248989105225
