,when,did,philip,i,convene,an,assembly,to,set,doctrine,in,the,protestant,states,?
in,0.4431333839893341,0.2593238651752472,0.26558998227119446,0.22907796502113342,0.2023158222436905,0.2605783939361572,0.2425609529018402,0.45010748505592346,0.2663729190826416,0.1543712466955185,1.0,0.6662389636039734,0.2637297511100769,0.3977442979812622,0.20430970191955566
october,0.273419588804245,0.2746104896068573,0.2038508951663971,0.28327426314353943,0.21013686060905457,0.2439003735780716,0.16875216364860535,0.23106063902378082,0.1325594037771225,0.1471439152956009,0.27560389041900635,0.2621108889579773,0.22444385290145874,0.2242458313703537,0.29706719517707825
1529,0.161387100815773,0.12269923090934753,0.22485961019992828,0.19180895388126373,0.15480200946331024,0.1430935114622116,0.11976606398820877,0.12553973495960236,0.09147559106349945,0.09894562512636185,0.24987466633319855,0.17264190316200256,0.17912836372852325,0.1394287645816803,0.17319193482398987
",",0.36674630641937256,0.3015086054801941,0.28930366039276123,0.3467482030391693,0.21723420917987823,0.3581022024154663,0.21222424507141113,0.44245919585227966,0.24912182986736298,0.15962223708629608,0.5201468467712402,0.4933079481124878,0.2710806429386139,0.3315127193927765,0.31091248989105225
philip,0.20238405466079712,0.16742472350597382,1.0,0.1982668936252594,0.24959781765937805,0.1788911074399948,0.08638303726911545,0.17181846499443054,0.12398502975702286,0.1441851556301117,0.26558998227119446,0.21499985456466675,0.23886026442050934,0.1780419945716858,0.11887923628091812
i,0.33498305082321167,0.32301032543182373,0.1982668936252594,0.9999999403953552,0.19591577351093292,0.20297521352767944,0.14896120131015778,0.3140375316143036,0.13911737501621246,0.21328094601631165,0.22907796502113342,0.26687872409820557,0.26046451926231384,0.13124917447566986,0.4695145785808563
",",0.36674630641937256,0.3015086054801941,0.28930366039276123,0.3467482030391693,0.21723420917987823,0.3581022024154663,0.21222424507141113,0.44245919585227966,0.24912182986736298,0.15962223708629608,0.5201468467712402,0.4933079481124878,0.2710806429386139,0.3315127193927765,0.31091248989105225
landgrave,0.18466418981552124,0.20445628464221954,0.3638521134853363,0.3035884201526642,0.2304578274488449,0.14877542853355408,0.2029642015695572,0.22997619211673737,0.169871523976326,0.18133516609668732,0.2533572018146515,0.21076196432113647,0.38519418239593506,0.1791660487651825,0.2453048676252365
of,0.3757161796092987,0.2513895630836487,0.24375313520431519,0.25849398970603943,0.27571213245391846,0.32280945777893066,0.2946469783782959,0.41548454761505127,0.20671486854553223,0.23378130793571472,0.5696388483047485,0.733189046382904,0.31440475583076477,0.30884552001953125,0.1826142966747284
hesse,0.1646704524755478,0.11396785080432892,0.21449171006679535,0.1959533989429474,0.1729232221841812,0.08514328300952911,0.21897563338279724,0.14232581853866577,0.12596730887889862,0.1341490000486374,0.24360625445842743,0.24440348148345947,0.3055080771446228,0.2511327564716339,0.11271942406892776
",",0.36674630641937256,0.3015086054801941,0.28930366039276123,0.3467482030391693,0.21723420917987823,0.3581022024154663,0.21222424507141113,0.44245919585227966,0.24912182986736298,0.15962223708629608,0.5201468467712402,0.4933079481124878,0.2710806429386139,0.3315127193927765,0.31091248989105225
